date,open,high,low,close,volume
2000-01-03,1.12,1.44,1.12,1.42,9996000
2000-01-04,1.46,1.6,1.38,1.58,11191000
2000-01-05,1.48,1.52,1.48,1.5,6557000
2000-01-06,1.54,1.58,1.5,1.54,3500000
2000-01-07,1.52,1.54,1.48,1.5,1312000
2000-01-10,1.46,1.52,1.46,1.5,1248000
2000-01-11,1.46,1.46,1.4,1.4,1310000
2000-01-12,1.4,1.4,1.36,1.38,610000
2000-01-13,1.4,1.4,1.4,1.4,190000
2000-01-14,1.38,1.38,1.28,1.28,1154000
2000-01-17,1.3,1.3,1.22,1.22,1921000
2000-01-18,1.26,1.26,1.24,1.24,365000
2000-01-19,1.24,1.24,1.24,1.24,172000
2000-01-20,1.24,1.28,1.2,1.26,1493000
2000-01-21,1.26,1.42,1.26,1.34,1087000
2000-01-24,1.3,1.34,1.3,1.34,298000
2000-01-25,1.3,1.32,1.3,1.3,272000
2000-01-26,1.3,1.38,1.3,1.3,812000
2000-01-27,1.32,1.32,1.22,1.22,1152000
2000-01-28,1.22,1.24,1.22,1.22,234000
2000-01-31,1.2,1.2,1.16,1.2,626000
2000-02-01,1.2,1.2,1.14,1.16,535000
2000-02-02,1.16,1.18,1.16,1.16,550000
2000-02-03,1.16,1.26,1.16,1.26,866000
2000-02-04,1.28,1.32,1.28,1.32,1048000
2000-02-07,1.28,1.3,1.26,1.26,485000
2000-02-08,1.28,1.36,1.24,1.26,3289000
2000-02-09,1.28,1.28,1.24,1.24,328000
2000-02-10,1.24,1.24,1.14,1.14,3857000
2000-02-11,1.18,1.2,1.14,1.14,1150000
2000-02-14,1.14,1.2,1.14,1.2,65000
2000-02-15,1.16,1.16,1.12,1.12,275000
2000-02-16,1.12,1.12,1.1,1.1,282000
2000-02-17,1.1,1.12,1.08,1.08,1149000
2000-02-18,1.06,1.1,1.06,1.1,99000
2000-02-21,1.14,1.14,1.12,1.14,496000
2000-02-22,1.12,1.12,1.08,1.1,624000
2000-02-23,1.1,1.16,1.1,1.16,36000
2000-02-24,1.18,1.18,1.14,1.14,345000
2000-02-28,1.1,1.1,1.06,1.1,420000
2000-02-29,1.1,1.14,1.1,1.14,174000
2000-03-01,1.1,1.1,1.06,1.06,784000
2000-03-02,1.06,1.1,1.06,1.1,239000
2000-03-03,1.1,1.28,1.1,1.22,1767000
2000-03-06,1.24,1.34,1.24,1.26,2145000
2000-03-07,1.2,1.2,1.16,1.18,334000
2000-03-08,1.1,1.1,1.1,1.1,110000
2000-03-09,1.16,1.16,1.12,1.12,1067000
2000-03-10,1.12,1.12,1.1,1.1,177000
2000-03-13,1.12,1.12,1.06,1.08,794000
2000-03-14,1.06,1.06,1.06,1.06,280000
2000-03-15,1.08,1.1,1.08,1.1,64000
2000-03-16,1.08,1.12,1.08,1.12,41000
2000-03-17,1.12,1.12,1.12,1.12,360000
2000-03-20,1.14,1.18,1.14,1.14,145000
2000-03-21,1.1,1.12,1.1,1.12,587000
2000-03-22,1.1,1.12,1.1,1.12,65000
2000-03-23,1.1,1.12,1.1,1.12,115000
2000-03-24,1.12,1.12,1.12,1.12,110000
2000-03-27,1.16,1.2,1.16,1.2,218000
2000-03-28,1.2,1.54,1.2,1.54,11028000
2000-03-29,1.56,1.56,1.24,1.32,5817000
2000-03-30,1.32,1.32,1.26,1.26,1323000
2000-03-31,1.22,1.22,1.2,1.2,1007000
2000-04-03,1.28,1.5,1.28,1.32,2451000
2000-04-04,1.3,1.3,1.22,1.22,504000
2000-04-05,1.24,1.3,1.24,1.26,516000
2000-04-06,1.26,1.26,1.22,1.22,205000
2000-04-07,1.22,1.36,1.22,1.3,531000
2000-04-10,1.26,1.32,1.26,1.3,1101000
2000-04-11,1.34,1.34,1.28,1.28,710000
2000-04-12,1.26,1.3,1.26,1.3,804000
2000-04-13,1.3,1.34,1.28,1.28,1959000
2000-04-14,1.28,1.28,1.28,1.28,200000
2000-04-17,1.2,1.22,1.12,1.12,1537000
2000-04-18,1.18,1.18,1.1,1.1,1351000
2000-04-19,1.16,1.16,1.14,1.16,113000
2000-04-24,1.1,1.14,1.1,1.14,155000
2000-04-25,1.14,1.14,1.12,1.12,209000
2000-04-26,1.1,1.28,1.1,1.28,652000
2000-04-27,1.14,1.16,1.14,1.14,170000
2000-04-28,1.16,1.16,1.14,1.16,398000
2000-05-02,1.14,1.14,1.14,1.14,170000
2000-05-03,1.12,1.16,1.12,1.14,719000
2000-05-04,1.1,1.1,1.08,1.08,1149000
2000-05-05,1.06,1.1,1.06,1.08,1303000
2000-05-08,1.08,1.08,1.04,1.04,653000
2000-05-09,1.02,1.06,1.02,1.02,1017000
2000-05-10,1.04,1.04,1.02,1.02,225000
2000-05-11,1.02,1.02,0.98,0.98,2449000
2000-05-12,1.0,1.02,0.98,0.98,740000
2000-05-15,0.98,0.98,0.98,0.98,20000
2000-05-16,0.98,1.0,0.98,1.0,160000
