date,open,high,low,close,volume
1999-02-05,0.42,0.42,0.42,0.42,50000
1999-02-08,0.42,0.42,0.42,0.42,50000
1999-02-09,0.42,0.42,0.42,0.42,50000
1999-02-10,0.42,0.42,0.42,0.42,50000
1999-02-11,0.42,0.42,0.42,0.42,50000
1999-02-12,0.64,0.64,0.64,0.64,30000
1999-02-17,0.5,0.5,0.5,0.5,10000
1999-02-26,0.6,0.6,0.6,0.6,10000
1999-03-11,0.59,0.59,0.59,0.59,20000
1999-04-07,0.88,0.88,0.88,0.88,20000
1999-04-13,0.69,0.69,0.69,0.69,20000
1999-04-14,0.63,0.63,0.63,0.63,10000
1999-04-30,0.59,0.59,0.59,0.59,10000
1999-05-03,0.6,0.6,0.6,0.6,30000
1999-05-10,0.5,0.51,0.5,0.51,230000
1999-05-12,0.5,0.51,0.5,0.51,20000
1999-05-14,0.59,0.59,0.55,0.55,120000
1999-05-17,0.56,0.56,0.55,0.55,150000
1999-05-18,0.62,0.62,0.6,0.6,250000
1999-05-21,0.6,0.62,0.59,0.59,390000
1999-05-27,0.59,0.6,0.55,0.55,160000
1999-05-31,0.54,0.54,0.5,0.5,220000
1999-06-01,0.5,0.5,0.5,0.5,200000
1999-06-03,0.5,0.5,0.5,0.5,200000
1999-06-04,0.5,0.5,0.49,0.49,70000
1999-06-08,0.48,0.5,0.44,0.5,210000
1999-06-11,0.5,0.5,0.46,0.5,60000
1999-06-16,0.5,0.55,0.5,0.55,310000
1999-06-17,0.54,0.54,0.54,0.54,20000
1999-06-18,0.5,0.55,0.5,0.55,470000
1999-06-21,0.55,0.56,0.55,0.56,120000
1999-06-22,0.65,0.65,0.58,0.62,1300000
1999-06-23,0.62,0.62,0.58,0.58,340000
1999-06-24,0.58,0.58,0.58,0.58,20000
1999-06-25,0.58,0.58,0.57,0.57,170000
1999-06-29,0.55,0.55,0.55,0.55,1750000
1999-06-30,0.56,0.56,0.55,0.55,400000
1999-07-01,0.56,0.56,0.55,0.55,550000
1999-07-02,0.6,0.62,0.55,0.55,360000
1999-07-05,0.57,0.57,0.55,0.57,780000
1999-07-06,0.59,0.59,0.59,0.59,200000
1999-07-07,0.55,0.58,0.55,0.58,210000
1999-07-08,0.57,0.8,0.57,0.6,790000
1999-07-09,0.61,0.61,0.6,0.6,2510000
1999-07-12,0.52,0.58,0.52,0.58,420000
1999-07-13,0.61,0.61,0.58,0.58,310000
1999-07-14,0.55,0.58,0.55,0.57,210000
1999-07-15,0.58,0.58,0.57,0.57,300000
1999-07-16,0.55,0.55,0.55,0.55,250000
1999-07-19,0.55,0.55,0.5,0.52,520000
1999-07-20,0.51,0.51,0.5,0.5,100000
1999-07-21,0.5,0.5,0.5,0.5,710000
1999-07-22,0.5,0.5,0.48,0.48,300000
1999-07-23,0.5,0.5,0.48,0.48,250000
1999-07-26,0.46,0.46,0.45,0.46,240000
1999-07-27,0.44,0.44,0.41,0.41,190000
1999-08-04,0.61,0.61,0.61,0.61,10000
1999-08-09,0.5,0.5,0.5,0.5,50000
1999-08-13,0.49,0.49,0.49,0.49,110000
1999-08-19,0.5,0.5,0.5,0.5,100000
1999-08-31,0.49,0.49,0.49,0.49,10000
1999-09-01,0.48,0.48,0.48,0.48,10000
1999-09-08,0.46,0.46,0.45,0.45,110000
1999-09-09,0.45,0.45,0.45,0.45,60000
1999-09-17,0.45,0.45,0.45,0.45,20000
1999-09-20,0.44,0.44,0.44,0.44,10000
1999-09-21,0.44,0.44,0.44,0.44,40000
1999-09-24,0.42,0.42,0.42,0.42,10000
1999-09-28,0.43,0.43,0.42,0.42,70000
1999-09-29,0.44,0.44,0.44,0.44,20000
1999-09-30,0.6,0.6,0.6,0.6,100000
1999-10-05,0.6,0.6,0.6,0.6,50000
1999-10-06,0.45,0.58,0.45,0.58,150000
1999-10-12,0.42,0.42,0.42,0.42,50000
1999-10-13,0.42,0.42,0.42,0.42,30000
1999-10-18,0.42,0.42,0.4,0.4,70000
1999-10-19,0.36,0.36,0.36,0.36,10000
1999-10-22,0.35,0.35,0.35,0.35,20000
1999-10-26,0.35,0.35,0.35,0.35,30000
1999-11-29,0.53,0.53,0.53,0.53,50000
1999-12-07,0.53,0.53,0.53,0.53,10000
1999-12-13,0.42,0.42,0.42,0.42,20000
1999-12-29,0.52,0.52,0.52,0.52,100000
2000-01-18,0.4,0.4,0.4,0.4,10000
2000-01-19,0.4,0.4,0.4,0.4,10000
2000-02-14,0.3,0.3,0.3,0.3,50000
2000-03-07,0.3,0.3,0.3,0.3,10000
2000-03-28,0.35,0.35,0.35,0.35,10000
2000-03-29,0.35,0.35,0.35,0.35,20000
2000-03-31,0.39,0.39,0.39,0.39,100000
2000-04-03,0.4,0.4,0.4,0.4,420000
2000-04-17,0.36,0.36,0.36,0.36,10000
2000-04-18,0.38,0.38,0.38,0.38,50000
2000-04-28,0.43,0.43,0.43,0.43,50000
2000-05-03,0.43,0.43,0.43,0.43,10000
2000-05-12,0.4,0.4,0.4,0.4,10000
2000-05-23,0.24,0.24,0.24,0.24,100000
2000-05-30,0.34,0.34,0.34,0.34,50000
2000-06-05,0.45,0.45,0.45,0.45,30000
2000-06-22,0.49,0.49,0.49,0.49,120000
2000-06-29,0.35,0.35,0.35,0.35,10000
2000-06-30,0.49,0.49,0.49,0.49,50000
2000-07-10,0.35,0.35,0.35,0.35,10000
2000-07-11,0.49,0.49,0.49,0.49,80000
2000-08-22,0.39,0.39,0.39,0.39,10000
2000-10-13,0.235,0.235,0.235,0.235,50000
2000-12-27,0.33,0.33,0.33,0.33,10000
2000-12-28,0.4,0.4,0.4,0.4,10000
2001-04-02,0.24,0.24,0.24,0.24,110000
2001-09-11,0.26,0.26,0.26,0.26,550000
2001-12-26,0.36,0.36,0.36,0.36,10000
2001-12-27,0.5,0.5,0.5,0.5,10000
2002-02-14,0.47,0.47,0.47,0.47,170000
2002-02-20,0.47,0.47,0.47,0.47,10000
2002-06-03,0.47,0.47,0.47,0.47,100000
2003-03-04,0.37,0.37,0.37,0.37,250000
