date,open,high,low,close,volume
2000-01-03,95.0,96.0,95.0,96.0,1800
2000-01-04,96.0,102.0,96.0,102.0,7100
2000-01-12,100.0,100.0,97.0,97.0,31100
2000-01-13,96.0,96.0,93.5,93.5,38100
2000-01-14,94.0,96.5,94.0,96.0,10900
2000-01-17,96.0,96.0,90.0,93.0,60800
2000-01-18,93.0,93.0,93.0,93.0,5000
2000-01-20,90.0,91.0,89.0,91.0,135300
2000-01-21,92.0,95.5,92.0,95.0,508700
2000-01-25,102.0,102.0,100.0,100.0,53420
2000-01-26,100.0,100.0,95.0,96.0,1079800
2000-01-27,95.0,95.0,93.5,95.0,92900
2000-01-31,91.0,93.5,91.0,93.5,39000
2000-02-01,93.5,96.0,93.5,95.5,78000
2000-02-02,94.5,94.5,94.5,94.5,4500
2000-02-03,100.0,100.0,94.0,94.0,45600
2000-02-04,93.0,93.0,92.5,92.5,9700
2000-02-08,92.5,92.5,91.0,91.0,63800
2000-02-09,91.0,91.0,89.0,89.0,81000
2000-02-10,88.5,89.0,88.5,89.0,216300
2000-02-11,89.0,89.0,89.0,89.0,6100
2000-02-14,88.5,88.5,87.0,87.5,23100
2000-02-15,87.0,87.5,83.5,84.5,57600
2000-02-16,84.0,84.0,80.0,80.0,8400
2000-02-17,80.0,80.0,75.0,75.5,548700
2000-02-18,75.0,76.5,75.0,76.5,35500
2000-02-21,75.5,75.5,74.0,75.0,10200
2000-02-22,74.0,74.0,72.5,73.0,70300
2000-02-23,73.0,73.0,71.0,71.0,14700
2000-02-24,72.0,72.0,71.5,71.5,34200
2000-02-28,70.0,70.0,67.0,68.0,45400
2000-02-29,68.5,68.5,66.0,66.0,20300
2000-03-01,66.0,66.0,64.0,64.0,14500
2000-03-02,62.5,62.5,62.0,62.0,7300
2000-03-03,62.0,68.5,62.0,68.5,5500
2000-03-06,72.0,74.5,72.0,74.5,13300
2000-03-07,74.5,75.0,74.5,74.5,7600
2000-03-08,74.5,74.5,70.0,72.0,10400
2000-03-09,70.0,70.0,68.0,68.0,28600
2000-03-10,69.0,71.0,69.0,71.0,7200
2000-03-13,71.0,73.0,71.0,73.0,27200
2000-03-14,75.0,85.0,75.0,82.0,23000
2000-03-15,82.0,82.0,79.0,80.0,32300
2000-03-16,72.0,72.0,72.0,72.0,100
2000-03-17,72.0,80.0,72.0,76.0,10000
2000-03-20,83.0,85.0,81.0,81.0,12100
2000-03-21,84.0,84.0,82.0,82.0,11100
2000-03-22,81.0,82.0,81.0,82.0,3700
2000-03-23,81.0,81.0,81.0,81.0,8200
2000-03-24,81.0,81.0,80.5,80.5,16700
2000-03-27,80.0,80.0,78.0,80.0,32000
2000-03-28,79.5,79.5,77.0,77.5,55200
2000-03-29,74.5,74.5,72.0,73.0,47200
2000-03-30,71.5,71.5,66.0,67.5,127700
2000-03-31,67.5,68.5,67.5,68.0,74100
2000-04-03,68.0,74.0,68.0,74.0,105800
2000-04-04,75.0,75.0,72.0,72.0,33100
2000-04-05,70.5,70.5,70.0,70.5,41400
2000-04-06,70.0,70.0,69.5,69.5,81500
2000-04-07,73.0,75.0,72.0,73.0,17600
2000-04-10,75.0,75.0,73.0,73.5,333300
2000-04-11,74.0,74.5,73.5,74.0,70300
2000-04-12,74.5,74.5,73.0,73.0,55300
2000-04-13,73.0,73.0,70.0,70.0,1333500
2000-04-14,71.5,71.5,71.0,71.5,10300
2000-04-17,71.5,72.5,71.0,72.0,33100
2000-04-18,72.5,72.5,70.0,70.0,52800
2000-04-19,70.0,72.5,70.0,72.5,12000
2000-04-24,74.5,74.5,74.5,74.5,2600
2000-04-25,74.0,74.0,73.5,73.5,16000
2000-04-26,73.0,73.0,68.5,70.0,25000
2000-04-27,70.0,70.0,68.5,68.5,16200
2000-04-28,68.0,68.0,62.0,64.0,111400
2000-05-02,64.0,69.0,64.0,68.0,11400
2000-05-03,65.0,65.0,63.0,63.5,22900
2000-05-04,62.0,63.5,62.0,63.0,800
2000-05-05,62.5,62.5,59.0,59.0,89200
2000-05-08,59.0,59.0,55.0,55.0,10400
2000-05-09,55.0,58.0,55.0,56.0,5100
2000-05-10,62.0,63.5,62.0,63.5,2700
2000-05-12,64.0,64.0,62.0,64.0,517100
2000-05-15,64.0,65.0,64.0,65.0,12400
2000-05-16,65.0,65.0,65.0,65.0,204600
2000-05-17,65.0,65.5,65.0,65.5,104500
2000-05-18,65.0,65.5,65.0,65.0,107500
2000-05-19,65.0,65.5,64.5,65.0,62000
2000-05-22,64.5,64.5,64.0,64.0,44000
2000-05-23,62.0,62.0,61.5,62.0,26200
2000-05-24,52.5,52.5,51.5,51.5,60700
2000-05-25,64.0,65.5,64.0,65.0,39100
2000-05-26,65.0,65.0,65.0,65.0,14500
2000-05-29,47.0,48.5,47.0,47.5,39300
2000-05-30,67.0,67.5,67.0,67.5,23500
2000-05-31,50.0,51.5,49.5,51.5,109200
2000-06-01,67.5,68.0,67.5,68.0,61500
2000-06-02,68.5,71.5,68.5,71.5,35900
2000-06-05,71.5,78.0,71.5,78.0,81100
2000-06-06,80.0,83.0,80.0,82.5,111500
2000-06-07,82.0,82.0,74.0,74.0,51600
2000-06-08,74.5,74.5,69.0,70.0,106000
2000-06-09,70.0,70.0,68.0,70.0,1037800
2000-06-13,70.0,70.0,68.5,69.5,10300
2000-06-14,69.0,69.0,67.0,67.0,8500
2000-06-15,67.0,67.0,63.0,63.0,21000
2000-06-16,63.0,63.0,60.0,60.5,92000
2000-06-19,60.0,60.0,59.0,59.0,84500
2000-06-20,59.0,59.0,58.0,58.0,46100
2000-06-21,58.0,58.0,58.0,58.0,10300
2000-06-22,58.0,58.0,58.0,58.0,18700
2000-06-23,59.0,65.0,59.0,61.5,94700
2000-06-26,60.0,60.0,58.5,58.5,25300
2000-06-27,57.5,58.0,57.5,58.0,2100
2000-06-28,58.0,58.0,57.0,57.0,44600
2000-06-29,58.5,58.5,56.5,56.5,26400
2000-06-30,56.5,56.5,56.0,56.5,31700
2000-07-03,57.5,57.5,55.0,55.5,52300
2000-07-04,57.0,57.0,57.0,57.0,400
2000-07-05,55.5,55.5,55.0,55.5,64500
2000-07-06,56.0,57.0,55.5,57.0,45300
2000-07-07,57.0,57.0,56.5,56.5,53500
2000-07-10,56.5,60.0,56.5,57.0,150600
2000-07-11,56.5,56.5,56.5,56.5,15400
2000-07-12,56.5,57.0,56.5,57.0,56600
2000-07-13,58.0,59.0,58.0,58.5,19700
2000-07-14,59.0,59.5,58.0,58.0,55500
2000-07-19,58.0,63.0,58.0,62.0,184600
2000-07-20,61.0,61.0,55.5,56.0,75000
2000-07-21,56.5,58.0,56.5,56.5,36800
2000-07-24,57.0,58.5,57.0,58.5,31100
2000-07-25,59.0,60.0,58.5,59.5,72400
2000-07-26,59.5,59.5,59.5,59.5,24600
2000-07-27,59.5,60.0,59.5,59.5,89700
2000-07-28,59.0,59.0,41.0,48.0,4601300
2000-07-31,49.0,49.0,47.5,47.5,73200
2000-08-01,48.0,48.5,48.0,48.0,71800
2000-08-02,48.5,50.0,48.0,50.0,69700
2000-08-04,50.0,51.0,49.5,49.5,80300
2000-08-07,50.0,50.0,49.5,49.5,17300
2000-08-08,49.0,49.0,48.0,48.5,32900
2000-08-09,48.0,48.5,48.0,48.0,96200
2000-08-10,48.0,48.5,48.0,48.0,124000
2000-08-11,48.5,49.0,48.5,49.0,11600
2000-08-14,49.0,49.0,45.0,46.0,158200
