date,open,high,low,close,volume
2007-07-11,14.0,14.0,12.25,12.75,25681000
2007-07-12,12.75,13.75,12.5,13.5,9952400
2007-07-13,13.75,14.75,13.75,13.75,7518500
2007-07-16,13.75,13.75,13.0,13.0,2729700
2007-07-17,13.0,13.0,12.0,12.25,4391200
2007-07-18,12.25,12.75,12.25,12.25,845300
2007-07-19,12.25,12.25,12.0,12.0,1383000
2007-07-20,12.25,12.5,12.0,12.0,741100
2007-07-23,12.0,12.0,11.5,11.5,1161800
2007-07-24,11.75,12.0,11.75,11.75,680300
2007-07-25,11.75,12.0,11.25,11.75,1660300
2007-07-26,11.75,12.0,11.75,11.75,243900
2007-07-27,11.5,11.75,10.75,11.25,1760700
2007-07-30,11.25,11.5,11.0,11.0,581900
2007-07-31,11.25,11.5,10.25,10.25,2267100
2007-08-01,10.25,10.25,9.7,9.8,645600
2007-08-02,9.9,10.25,9.1,9.1,1030000
2007-08-03,9.3,9.8,8.4,8.5,1073000
2007-08-06,8.0,9.0,7.5,8.5,454000
2007-08-07,9.0,9.3,8.7,8.7,551000
2007-08-08,8.8,8.8,8.6,8.6,126000
2007-08-09,9.0,9.3,8.8,9.0,578000
2007-08-10,8.6,8.6,8.5,8.5,268000
2007-08-13,8.8,9.0,8.4,8.4,41000
2007-08-14,8.7,9.0,8.4,8.4,37000
2007-08-15,8.5,8.5,7.9,8.0,449000
2007-08-16,7.8,7.8,7.1,7.1,771000
2007-08-17,7.1,7.4,6.7,6.7,270000
2007-08-21,6.8,7.9,6.8,7.8,138000
2007-08-22,7.5,7.5,7.4,7.5,87000
2007-08-23,7.7,7.9,7.6,7.9,123000
2007-08-24,8.0,8.0,7.7,7.9,10000
2007-08-28,7.8,8.0,7.5,7.5,95000
2007-08-29,7.6,7.6,7.4,7.4,90000
2007-08-30,7.8,7.8,7.4,7.7,64000
2007-08-31,7.8,7.8,7.3,7.5,269000
2007-09-03,7.5,7.8,7.2,7.6,238000
2007-09-04,7.5,7.5,7.4,7.4,15000
2007-09-05,7.5,7.6,7.1,7.2,128000
2007-09-06,7.0,7.1,7.0,7.0,137000
2007-09-07,6.9,7.1,6.8,7.0,256000
2007-09-10,6.8,7.0,6.8,7.0,23000
2007-09-11,6.8,6.8,6.7,6.7,93000
2007-09-12,6.7,6.8,6.7,6.7,409000
2007-09-13,6.8,6.8,6.6,6.6,487000
2007-09-14,6.9,7.1,6.8,6.8,161000
2007-09-17,6.8,6.9,6.8,6.8,163000
2007-09-18,6.7,6.7,6.7,6.7,24000
2007-09-19,6.8,7.0,6.8,6.9,426000
2007-09-20,7.0,7.0,6.8,6.9,53000
2007-09-21,6.8,6.8,6.7,6.8,70000
2007-09-24,6.9,7.3,6.9,7.1,277000
2007-09-25,7.1,7.7,7.1,7.7,814000
2007-09-26,7.7,7.8,7.5,7.6,308000
2007-09-27,7.6,7.7,7.5,7.5,386000
2007-09-28,7.6,7.6,7.2,7.2,343000
2007-10-01,7.2,7.6,7.2,7.5,45000
2007-10-02,7.7,8.0,7.5,7.5,868000
2007-10-03,7.5,7.8,7.5,7.5,206000
2007-10-04,7.5,7.5,7.5,7.5,98000
2007-10-05,7.5,7.7,7.5,7.5,109000
2007-10-08,7.5,7.6,7.4,7.4,270000
2007-10-09,7.7,7.7,7.4,7.5,130000
2007-10-10,7.5,7.5,7.4,7.5,43000
2007-10-11,7.5,7.5,7.4,7.4,99000
2007-10-15,7.4,8.2,7.4,8.1,788000
2007-10-16,8.5,8.7,8.3,8.6,1551000
2007-10-17,8.7,8.7,8.3,8.3,356000
2007-10-18,8.3,8.4,8.1,8.1,309000
2007-10-19,8.1,8.2,8.1,8.2,304000
2007-10-22,8.0,8.0,7.6,7.6,450000
2007-10-23,7.6,7.7,7.6,7.7,81000
2007-10-24,7.9,7.9,7.9,7.9,25000
2007-10-25,7.8,7.8,7.8,7.8,35000
2007-10-26,8.0,8.3,7.9,8.1,438000
2007-10-30,8.3,8.3,8.3,8.3,4000
2007-10-31,8.0,8.1,8.0,8.0,26000
2007-11-05,7.9,7.9,7.9,7.9,44000
2007-11-06,7.7,7.7,7.6,7.6,54000
2007-11-07,7.6,7.7,7.6,7.7,41000
2007-11-08,7.5,7.5,7.5,7.5,127000
2007-11-09,7.6,7.6,7.5,7.5,21000
2007-11-12,7.4,7.4,7.2,7.2,25000
2007-11-13,7.0,7.0,6.9,7.0,102000
2007-11-14,7.1,7.5,7.1,7.5,41000
2007-11-15,7.5,8.0,7.5,7.5,63000
2007-11-16,7.3,7.3,7.3,7.3,6000
2007-11-20,7.1,7.1,7.0,7.0,7000
2007-11-21,6.8,6.8,6.7,6.7,215000
2007-11-22,6.7,6.7,6.5,6.5,39000
2007-11-23,6.4,7.0,6.4,7.0,33000
2007-11-26,7.0,7.0,7.0,7.0,24000
2007-11-27,7.0,7.0,7.0,7.0,1000
2007-11-28,6.9,6.9,6.9,6.9,5000
2007-11-29,6.9,7.0,6.7,6.7,275000
2007-12-03,6.7,6.7,6.7,6.7,8000
2007-12-04,7.0,7.3,7.0,7.3,12000
2007-12-06,7.3,7.3,6.9,6.9,150000
2007-12-07,7.0,7.0,6.7,6.9,148000
2007-12-10,6.8,6.9,6.7,6.7,139000
2007-12-11,6.8,6.8,6.8,6.8,111000
2007-12-12,6.7,6.8,6.6,6.6,216000
2007-12-13,6.8,6.8,6.8,6.8,18000
2007-12-14,6.8,6.9,6.6,6.6,84000
2007-12-17,6.6,6.9,6.6,6.9,25000
2007-12-18,6.6,7.0,6.6,7.0,120000
2007-12-19,6.8,7.0,6.8,7.0,68000
2007-12-20,7.0,7.0,7.0,7.0,100000
2007-12-21,6.8,7.0,6.7,6.7,158000
2007-12-26,7.0,7.0,6.6,7.0,313000
2007-12-27,6.9,7.1,6.9,7.1,225000
2008-01-02,7.0,7.0,7.0,7.0,5000
2008-01-03,7.0,7.0,6.8,6.8,5000
2008-01-04,6.8,6.9,6.8,6.9,20000
