date,open,high,low,close,volume
2018-04-30,106.1,106.1,106.1,106.1,1300
2018-05-02,106.2,106.2,106.2,106.2,5700
2018-05-10,110.9,110.9,110.9,110.9,260
2018-05-11,110.9,110.9,110.9,110.9,60
2018-05-16,111.0,111.0,111.0,111.0,90
2018-05-17,111.0,111.0,111.0,111.0,480
2018-05-18,111.0,111.0,111.0,111.0,270
2018-05-22,111.0,111.0,111.0,111.0,150
2018-06-04,111.0,111.0,111.0,111.0,16000
2018-06-07,111.0,111.0,111.0,111.0,30
2018-06-20,108.0,108.0,108.0,108.0,300
2018-06-21,109.0,109.0,108.0,108.0,200
2018-06-22,108.5,108.5,108.5,108.5,500
2018-06-27,108.5,108.5,108.5,108.5,20
2018-07-02,108.5,108.5,108.5,108.5,500
2018-07-03,108.5,108.5,108.5,108.5,2300
2018-07-04,107.0,107.0,107.0,107.0,4900
2018-07-06,108.5,110.0,108.5,110.0,8680
2018-07-09,110.0,110.0,110.0,110.0,200
2018-07-10,109.0,109.0,109.0,109.0,100
2018-07-12,106.0,106.0,106.0,106.0,200
2018-07-24,106.2,106.2,106.2,106.2,50
2018-07-27,108.0,108.0,108.0,108.0,110
2018-07-30,108.0,108.0,106.2,106.2,420
2018-08-09,110.0,110.0,109.9,109.9,210
2018-08-14,106.5,106.5,106.0,106.0,10000
2018-08-16,112.0,112.0,112.0,112.0,4660
2018-08-23,106.0,106.0,106.0,106.0,1000
2018-08-24,106.0,106.0,106.0,106.0,2100
2018-09-06,109.9,109.9,109.9,109.9,80
2018-09-18,104.0,104.0,104.0,104.0,20500
2018-09-26,104.0,104.0,104.0,104.0,16910
2018-09-27,103.0,103.0,103.0,103.0,3090
2018-10-02,103.1,103.1,103.0,103.0,180
2018-10-03,103.0,103.0,103.0,103.0,90
2018-10-04,102.1,102.6,102.1,102.1,980
2018-10-05,109.0,109.0,101.2,101.2,340
2018-10-08,103.1,103.1,101.3,101.3,340
2018-10-09,102.0,102.0,102.0,102.0,500
2018-10-22,102.2,102.2,102.2,102.2,120
2018-10-23,105.0,105.0,105.0,105.0,200
2018-10-30,104.9,104.9,104.9,104.9,10
2018-10-31,104.9,105.0,104.9,105.0,1550
2018-11-05,103.0,103.0,103.0,103.0,30
2018-11-06,105.0,105.0,105.0,105.0,1010
2018-11-08,103.0,103.0,103.0,103.0,210
2018-11-09,103.1,103.1,103.1,103.1,200
2018-11-12,103.1,103.1,103.0,103.0,3150
2018-11-13,103.1,103.1,103.1,103.1,100
2018-11-14,103.0,103.1,103.0,103.1,3790
2018-11-15,103.1,103.1,103.1,103.1,2080
2018-11-16,109.5,109.5,108.8,108.8,40
2018-11-19,101.6,109.9,101.6,109.9,40
2018-11-20,105.0,105.0,105.0,105.0,100
2018-11-21,102.0,102.0,102.0,102.0,50
2018-11-22,102.1,102.1,102.0,102.0,200
2018-11-28,105.0,105.0,102.0,102.0,2840
2018-11-29,102.0,102.0,102.0,102.0,3280
2018-12-03,102.0,102.0,102.0,102.0,1230
2018-12-04,102.0,102.0,102.0,102.0,1000
2018-12-05,102.2,102.2,102.2,102.2,8150
2018-12-12,103.0,103.0,103.0,103.0,50
2018-12-14,102.2,102.2,102.2,102.2,100
2018-12-20,102.3,102.3,102.2,102.2,5000
2018-12-21,105.0,105.0,105.0,105.0,100
2018-12-26,102.2,102.2,102.0,102.0,3190
2019-01-09,108.0,108.0,108.0,108.0,10
2019-01-11,105.0,105.0,105.0,105.0,150
2019-01-14,108.0,108.0,103.1,103.1,320
2019-01-15,105.9,106.0,105.9,106.0,1150
2019-01-16,106.0,106.0,105.0,105.0,770
2019-01-17,105.0,106.0,105.0,106.0,780
2019-01-18,105.5,106.0,105.5,106.0,3000
2019-01-21,106.0,106.0,106.0,106.0,120
2019-01-23,105.0,105.0,105.0,105.0,240
2019-01-24,105.5,105.5,105.5,105.5,10
2019-01-28,105.0,105.0,105.0,105.0,100
2019-01-29,103.2,107.0,103.0,103.0,1070
2019-02-01,106.0,107.0,106.0,107.0,350
2019-02-06,106.5,106.5,106.5,106.5,300
2019-02-07,106.5,106.5,106.5,106.5,200
2019-02-12,106.5,106.5,106.5,106.5,80
2019-03-04,106.0,106.0,106.0,106.0,30
2019-03-12,103.5,103.5,103.5,103.5,230
2019-03-15,103.5,103.5,103.1,103.1,210
2019-03-18,103.0,103.0,103.0,103.0,410
2019-03-22,106.4,106.4,106.4,106.4,140
2019-03-28,106.4,106.4,106.4,106.4,790
2019-04-03,106.0,106.0,106.0,106.0,10
2019-04-04,106.0,106.0,106.0,106.0,40
2019-04-05,106.0,106.0,106.0,106.0,30
