date,open,high,low,close,volume
1999-02-12,0.75,0.75,0.75,0.75,50000
1999-02-19,0.75,0.75,0.7,0.7,2340000
1999-02-22,0.7,0.7,0.55,0.55,7440000
1999-02-24,0.65,0.65,0.65,0.65,100000
1999-02-25,0.65,0.65,0.65,0.65,100000
1999-02-26,0.65,0.65,0.65,0.65,1000000
1999-03-02,0.6,0.6,0.57,0.57,6660000
1999-03-05,0.65,0.65,0.65,0.65,300000
1999-03-10,0.7,0.7,0.7,0.7,40000
1999-03-11,0.6,0.6,0.6,0.6,20000
1999-03-17,0.89,0.89,0.89,0.89,80000
1999-03-18,0.9,0.9,0.9,0.9,15010000
1999-03-31,0.89,0.9,0.89,0.9,15100000
1999-05-20,0.75,0.75,0.75,0.75,10000000
1999-05-24,0.9,0.9,0.9,0.9,200000
1999-05-25,0.85,0.9,0.85,0.9,690000
1999-05-26,0.9,0.9,0.9,0.9,230000
1999-05-28,0.9,0.9,0.9,0.9,200000
1999-05-31,0.9,0.9,0.9,0.9,50000
1999-06-01,0.91,0.91,0.91,0.91,50000
1999-06-02,0.9,0.95,0.9,0.95,110000
1999-06-03,0.98,0.99,0.98,0.98,100000
1999-06-07,1.0,1.0,1.0,1.0,320000
1999-06-08,1.0,1.0,1.0,1.0,39250000
1999-06-09,1.04,1.24,1.04,1.18,1480000
1999-06-10,1.24,1.36,1.24,1.34,6811000
1999-06-11,1.4,1.42,1.36,1.42,46666000
1999-06-14,1.42,1.44,1.42,1.44,2061000
1999-06-15,1.4,1.44,1.4,1.42,29872000
1999-06-16,1.44,1.52,1.44,1.48,24798000
1999-06-17,1.5,1.5,1.48,1.5,9357000
1999-06-18,1.5,1.58,1.5,1.54,16622000
1999-06-21,1.54,1.54,1.54,1.54,16967000
1999-06-22,1.54,1.56,1.52,1.56,8637000
1999-06-23,1.56,1.58,1.56,1.56,27930000
1999-06-24,1.52,1.52,1.5,1.5,5090000
1999-06-25,1.48,1.48,1.4,1.4,174000
1999-06-28,1.4,1.4,1.4,1.4,4650000
1999-06-29,1.42,1.46,1.4,1.46,4471000
1999-06-30,1.48,1.56,1.48,1.56,25447000
1999-07-01,1.58,1.62,1.58,1.6,14824000
1999-07-02,1.62,1.62,1.6,1.6,2701000
1999-07-05,1.6,1.62,1.6,1.62,499000
1999-07-06,1.6,1.62,1.6,1.62,3336000
1999-07-07,1.62,1.72,1.62,1.7,20811000
1999-07-08,1.74,1.74,1.74,1.74,3367000
1999-07-09,1.76,1.8,1.74,1.78,51288000
1999-07-12,1.72,1.72,1.72,1.72,1200000
1999-07-13,1.72,1.72,1.7,1.7,672000
1999-07-14,1.72,1.72,1.7,1.7,266000
1999-07-15,1.7,1.7,1.7,1.7,1255000
1999-07-16,1.7,1.7,1.7,1.7,1041000
1999-07-19,1.7,1.7,1.7,1.7,7200000
1999-07-20,1.68,1.68,1.68,1.68,133000
1999-07-21,1.66,1.66,1.66,1.66,5550000
1999-07-22,1.64,1.64,1.64,1.64,500000
1999-07-23,1.64,1.64,1.62,1.64,30705000
1999-07-26,1.6,1.6,1.6,1.6,500000
1999-07-27,1.58,1.58,1.54,1.54,2206000
1999-07-28,1.5,1.52,1.5,1.52,8600000
1999-07-29,1.52,1.52,1.5,1.5,4710000
1999-07-30,1.5,1.5,1.5,1.5,1250000
1999-08-02,1.52,1.52,1.52,1.52,500000
1999-08-04,1.52,1.52,1.52,1.52,700000
1999-08-05,1.54,1.54,1.54,1.54,6000000
1999-08-06,1.54,1.54,1.54,1.54,10600000
1999-08-09,1.52,1.52,1.52,1.52,34000
1999-08-10,1.52,1.52,1.52,1.52,466000
1999-08-11,1.54,1.56,1.54,1.54,6810000
1999-08-12,1.54,1.54,1.54,1.54,10000
1999-08-13,1.52,1.52,1.52,1.52,100000
1999-08-17,1.54,1.56,1.54,1.56,15010000
1999-08-18,1.58,1.58,1.58,1.58,30000
1999-08-19,1.58,1.58,1.58,1.58,20000
1999-08-20,1.58,1.58,1.54,1.54,50000
1999-08-23,1.58,1.58,1.58,1.58,30000
1999-08-24,1.58,1.58,1.58,1.58,200000
1999-08-27,1.6,1.6,1.6,1.6,40000
1999-09-02,1.64,1.64,1.64,1.64,50000
1999-09-03,1.6,1.6,1.6,1.6,40000
1999-09-06,1.52,1.52,1.52,1.52,1000
1999-09-07,1.6,1.6,1.6,1.6,40000
1999-09-09,1.66,1.66,1.66,1.66,10000
1999-09-14,1.66,1.66,1.66,1.66,500000
1999-09-21,1.64,1.64,1.64,1.64,16000
1999-09-22,1.64,1.64,1.64,1.64,39000
1999-09-23,1.64,1.64,1.64,1.64,20000
1999-09-27,1.66,1.66,1.64,1.66,20492000
1999-09-28,1.66,1.66,1.66,1.66,15100000
1999-09-30,1.66,1.68,1.66,1.68,125000
1999-10-05,1.68,1.68,1.68,1.68,50000
1999-10-08,1.66,1.66,1.66,1.66,2000
1999-10-12,1.68,1.68,1.68,1.68,10000
1999-10-14,1.54,1.54,1.54,1.54,157000
1999-10-15,1.52,1.52,1.52,1.52,7000
1999-10-18,1.52,1.52,1.48,1.48,430000
1999-10-20,1.5,1.5,1.5,1.5,15000
1999-11-08,1.58,1.58,1.58,1.58,3005000
1999-11-17,1.36,1.36,1.34,1.34,805000
1999-11-18,1.36,1.36,1.34,1.34,157000
1999-11-23,1.36,1.36,1.36,1.36,100000
1999-11-24,1.5,1.5,1.5,1.5,10000
1999-11-25,1.5,1.5,1.5,1.5,5000000
1999-11-26,1.36,1.36,1.36,1.36,300000
1999-11-29,1.4,1.4,1.4,1.4,600000
1999-12-01,1.5,1.5,1.5,1.5,3000
1999-12-02,1.36,1.36,1.36,1.36,290000
1999-12-03,1.4,1.4,1.4,1.4,600000
1999-12-07,1.4,1.4,1.4,1.4,2086000
1999-12-09,1.4,1.4,1.36,1.36,746000
1999-12-10,1.4,1.4,1.4,1.4,200000
1999-12-13,1.4,1.4,1.4,1.4,240000
1999-12-14,1.34,1.34,1.34,1.34,5000
1999-12-16,1.5,1.5,1.5,1.5,90000
1999-12-17,1.5,1.5,1.5,1.5,2000
1999-12-20,1.44,1.5,1.44,1.5,10006000
1999-12-21,1.5,1.5,1.5,1.5,5000
1999-12-22,1.42,1.68,1.42,1.68,63000
1999-12-24,1.62,1.62,1.62,1.62,50000
1999-12-27,1.4,1.6,1.4,1.6,137000
1999-12-28,1.7,1.78,1.7,1.7,66000
1999-12-29,1.68,1.94,1.68,1.94,656000
2000-01-10,1.44,1.44,1.44,1.44,200000
2000-01-11,1.44,1.44,1.42,1.42,800000
2000-01-13,1.4,1.4,1.4,1.4,20000
2000-01-26,1.4,1.42,1.4,1.42,42000
2000-02-01,1.4,1.4,1.38,1.38,1630000
2000-02-03,1.28,1.28,1.26,1.26,1300000
2000-02-10,1.28,1.28,1.28,1.28,16000
2000-02-14,1.28,1.28,1.28,1.28,2109000
2000-02-15,1.28,1.28,1.28,1.28,1000000
2000-02-18,1.26,1.26,1.26,1.26,40000
2000-02-29,1.22,1.22,1.22,1.22,23000
2000-03-02,1.22,1.22,1.22,1.22,35000
2000-03-07,1.26,1.26,1.26,1.26,100000
2000-03-08,1.22,1.22,1.22,1.22,1750000
2000-03-09,1.2,1.2,1.1,1.1,1900000
2000-03-14,1.2,1.2,1.06,1.06,2630000
2000-03-22,1.1,1.1,1.1,1.1,400000
2000-03-23,1.12,1.12,1.12,1.12,200000
2000-03-28,1.12,1.12,1.12,1.12,204000
2000-03-29,1.1,1.1,1.1,1.1,879000
