date,open,high,low,close,volume
1999-02-12,2.2,2.2,2.2,2.2,2000
1999-02-16,2.22,2.22,2.22,2.22,5000
1999-02-18,2.24,2.28,2.24,2.28,31000
1999-02-19,2.3,2.3,2.3,2.3,7000
1999-02-22,2.28,2.3,2.28,2.3,52000
1999-02-26,2.26,2.26,2.26,2.26,2000
1999-03-01,2.24,2.24,2.24,2.24,20000
1999-03-02,2.24,2.24,2.24,2.24,130000
1999-03-03,2.3,2.36,2.3,2.36,6000
1999-03-04,2.4,2.4,2.2,2.2,97000
1999-03-08,2.4,2.44,2.4,2.4,154000
1999-03-09,2.44,2.44,2.44,2.44,10000
1999-03-10,2.4,2.46,2.4,2.46,268000
1999-03-11,2.46,2.46,2.4,2.4,160000
1999-03-15,2.36,2.36,2.36,2.36,60000
1999-03-18,2.3,2.4,2.3,2.4,181000
1999-03-23,2.4,2.4,2.4,2.4,100000
1999-03-24,2.4,2.4,2.4,2.4,30000
1999-03-25,2.5,2.5,2.5,2.5,50000
1999-03-26,2.5,2.5,2.42,2.42,120000
1999-03-29,2.5,2.5,2.5,2.5,5000
1999-03-30,2.5,2.5,2.5,2.5,10000
1999-04-07,2.5,2.5,2.5,2.5,61000
1999-04-12,2.5,2.55,2.5,2.55,79000
1999-04-15,2.5,2.5,2.5,2.5,215000
1999-04-19,2.5,2.5,2.5,2.5,4000
1999-04-20,2.5,2.5,2.5,2.5,2000
1999-04-21,2.5,2.5,2.5,2.5,25000
1999-04-22,2.6,2.7,2.6,2.7,105000
1999-04-23,2.7,2.8,2.7,2.8,146000
1999-04-26,2.9,3.5,2.9,3.25,700000
1999-04-27,3.3,3.3,2.8,3.1,148000
1999-04-28,3.2,3.2,3.2,3.2,25000
1999-04-29,3.2,3.35,3.2,3.35,35000
1999-04-30,3.2,3.3,3.2,3.2,27000
1999-05-03,3.2,3.2,3.2,3.2,25000
1999-05-05,3.2,3.2,3.0,3.0,137000
1999-05-06,3.0,3.0,3.0,3.0,134000
1999-05-07,3.0,3.4,3.0,3.4,42000
1999-05-10,3.2,3.2,3.2,3.2,100000
1999-05-13,3.0,3.0,3.0,3.0,40000
1999-05-21,2.8,2.8,2.8,2.8,20000
1999-05-24,3.0,3.0,3.0,3.0,34000
1999-05-25,3.0,3.0,3.0,3.0,30000
1999-05-27,3.0,3.0,3.0,3.0,10000
1999-05-31,3.0,3.0,3.0,3.0,8000
1999-06-01,3.1,3.1,3.05,3.05,10000
1999-06-03,3.1,3.3,3.1,3.3,21000
1999-06-08,3.1,3.2,3.1,3.2,25000
1999-06-09,3.1,3.2,3.1,3.2,176000
1999-06-10,3.35,3.35,3.25,3.25,45000
1999-06-11,3.2,3.2,3.2,3.2,55000
1999-06-14,3.2,3.3,3.2,3.3,134000
1999-06-15,3.3,3.5,3.3,3.5,120000
1999-06-16,3.5,4.0,3.5,4.0,36000
1999-06-18,3.6,4.0,3.6,3.8,68000
1999-06-21,4.0,4.3,4.0,4.3,67000
1999-06-22,4.5,4.5,4.0,4.0,135000
1999-06-24,4.0,4.0,4.0,4.0,30000
1999-06-25,3.8,3.9,3.8,3.9,30000
1999-06-28,4.2,4.6,4.2,4.6,25000
1999-06-29,4.1,4.1,4.1,4.1,20000
1999-06-30,4.1,4.1,4.1,4.1,5000
1999-07-01,4.0,4.0,4.0,4.0,5000
1999-07-02,4.0,4.0,4.0,4.0,118000
1999-07-05,4.1,4.3,4.1,4.3,7000
1999-07-06,4.3,4.3,4.3,4.3,5000
1999-07-07,4.1,4.5,4.1,4.5,27000
1999-07-08,4.5,4.9,4.5,4.9,132000
1999-07-09,4.5,4.5,4.3,4.3,42000
1999-07-13,4.6,4.6,4.6,4.6,64000
1999-07-14,4.4,4.5,4.4,4.5,42000
1999-07-15,4.5,4.7,4.5,4.7,90000
1999-07-16,4.6,4.7,4.6,4.7,192000
1999-07-19,4.6,5.0,4.6,5.0,203000
1999-07-20,5.0,5.0,5.0,5.0,20000
1999-07-22,4.5,4.6,4.5,4.5,253000
1999-07-26,4.3,4.3,4.3,4.3,30000
1999-07-27,4.2,4.2,4.0,4.0,21000
1999-08-04,4.1,4.1,4.0,4.0,139000
1999-08-05,4.0,4.0,4.0,4.0,50000
1999-08-11,4.0,4.0,4.0,4.0,50000
1999-08-13,4.0,4.0,4.0,4.0,50000
1999-08-16,4.0,4.0,4.0,4.0,55000
1999-08-19,4.0,4.0,4.0,4.0,4000
1999-08-20,4.0,4.0,4.0,4.0,4000
1999-08-23,4.6,4.6,4.6,4.6,1000
1999-08-31,4.4,4.4,4.4,4.4,14000
1999-09-01,4.4,4.4,4.4,4.4,23000
1999-09-03,4.4,4.4,4.4,4.4,13000
1999-09-07,4.3,4.5,4.3,4.5,60000
1999-09-08,4.3,4.3,4.3,4.3,3000
1999-09-09,4.3,4.3,4.3,4.3,22000
1999-09-17,4.5,4.5,4.5,4.5,100000
1999-09-20,4.4,4.4,4.4,4.4,2000
1999-09-21,4.3,4.3,4.3,4.3,5000
1999-09-23,4.4,4.4,4.4,4.4,5000
1999-09-28,4.4,4.4,4.4,4.4,20000
1999-09-29,4.4,4.4,4.4,4.4,20000
1999-09-30,4.4,4.4,4.4,4.4,10000
1999-10-01,4.5,4.6,4.5,4.6,100000
1999-10-05,4.9,5.0,4.9,5.0,140000
1999-10-06,5.0,5.0,5.0,5.0,72000
1999-10-11,5.0,5.0,4.9,4.9,80000
1999-10-12,5.0,5.0,4.9,4.9,10000
1999-10-13,4.8,4.8,4.5,4.5,82000
1999-10-14,4.3,4.5,4.1,4.5,55000
1999-10-18,4.5,4.5,4.5,4.5,11000
1999-10-19,4.5,4.5,4.5,4.5,116000
1999-10-25,4.1,4.1,4.1,4.1,25000
1999-10-27,4.6,4.6,4.2,4.2,25000
1999-11-03,4.0,4.0,4.0,4.0,6000
1999-11-05,4.2,4.2,4.2,4.2,6000
1999-11-08,4.5,4.5,4.2,4.2,38000
1999-11-15,4.2,4.2,4.2,4.2,12000
