date,open,high,low,close,volume
2018-04-30,1021.0,1021.0,1020.0,1020.0,1500
2018-05-11,1024.0,1024.0,1020.0,1020.0,10000
2018-05-18,1021.0,1021.0,1020.0,1020.0,5000
2018-05-24,1022.0,1022.0,1021.0,1022.0,1380
2018-05-25,1022.0,1022.0,1022.0,1022.0,3470
2018-05-28,1022.0,1022.0,1022.0,1022.0,1000
2018-06-04,1021.0,1021.0,1021.0,1021.0,1000
2018-06-05,1021.0,1021.0,1021.0,1021.0,5000
2018-06-08,1021.0,1021.0,1021.0,1021.0,700
2018-06-14,1021.0,1021.0,1021.0,1021.0,500
2018-06-18,1021.0,1021.0,1021.0,1021.0,50
2018-06-19,1021.0,1021.0,1021.0,1021.0,50
2018-06-20,1021.0,1021.0,1021.0,1021.0,50
2018-06-22,1021.0,1021.0,1021.0,1021.0,50
2018-06-26,1021.0,1021.0,1021.0,1021.0,3400
2018-07-05,1021.0,1021.0,1021.0,1021.0,500
2018-07-10,1030.0,1030.0,1030.0,1030.0,500
2018-07-16,1030.0,1042.0,1030.0,1042.0,180
2018-07-17,1030.0,1030.0,1030.0,1030.0,785
2018-07-18,1030.0,1030.0,1030.0,1030.0,60
2018-07-19,1030.0,1030.0,1030.0,1030.0,205
2018-07-20,1030.0,1030.0,1030.0,1030.0,670
2018-07-24,1030.0,1030.0,1030.0,1030.0,50
2018-07-25,1030.0,1030.0,1030.0,1030.0,150
2018-07-30,1021.0,1021.0,1021.0,1021.0,2000
2018-08-06,1020.0,1020.0,1010.0,1010.0,2050
2018-08-08,1045.0,1045.0,1045.0,1045.0,50
2018-08-09,1021.0,1021.0,1010.0,1010.0,2120
2018-08-20,1021.0,1021.0,1010.0,1010.0,1620
2018-08-22,1010.0,1010.0,1010.0,1010.0,50
2018-08-30,1011.0,1011.0,1011.0,1011.0,1500
2018-08-31,1011.0,1011.0,1011.0,1011.0,1980
2018-09-05,1011.0,1011.0,1011.0,1011.0,1000
2018-09-10,1011.0,1011.0,1011.0,1011.0,500
2018-09-11,1011.0,1011.0,1011.0,1011.0,500
2018-09-13,1012.0,1012.0,1011.0,1011.0,50
2018-09-14,1011.0,1011.0,1010.0,1010.0,1070
2018-09-19,1011.0,1011.0,1011.0,1011.0,50
2018-09-20,1011.0,1011.0,1010.0,1010.0,2470
2018-09-24,1005.0,1005.0,1005.0,1005.0,100
2018-09-25,1005.0,1005.0,1005.0,1005.0,300
2018-09-27,1000.0,1000.0,1000.0,1000.0,2000
2018-10-03,1000.0,1000.0,1000.0,1000.0,150
2018-10-04,1010.0,1010.0,1010.0,1010.0,50
2018-10-10,1010.0,1010.0,1010.0,1010.0,20
2018-10-22,1005.0,1005.0,1000.0,1000.0,200
2018-10-23,1000.0,1000.0,1000.0,1000.0,15
2018-10-30,1000.0,1000.0,1000.0,1000.0,305
2018-11-09,990.0,990.0,990.0,990.0,50
2018-11-20,990.0,990.0,990.0,990.0,80
2018-11-21,990.0,990.0,990.0,990.0,10
2018-11-29,990.0,990.0,920.0,989.5,350
2018-12-04,990.0,990.0,980.0,980.0,300
2018-12-05,990.0,990.0,990.0,990.0,2250
2018-12-10,932.0,932.0,932.0,932.0,50
2018-12-12,990.0,990.0,990.0,990.0,20
2018-12-17,980.0,995.0,980.0,995.0,140
2018-12-18,980.0,980.0,980.0,980.0,200
2018-12-19,985.0,985.0,985.0,985.0,50
2018-12-21,1005.0,1007.0,1005.0,1007.0,30
2018-12-26,900.0,951.0,900.0,951.0,150
2018-12-27,980.0,1000.0,980.0,980.0,540
2019-01-02,980.0,980.0,980.0,980.0,160
2019-01-04,980.0,980.0,955.0,979.5,340
2019-01-07,999.5,999.5,980.0,980.0,900
2019-01-08,980.0,980.0,980.0,980.0,750
2019-01-10,999.5,999.5,999.5,999.5,20
2019-01-14,980.0,980.0,980.0,980.0,1050
2019-01-18,998.0,998.0,995.0,998.0,220
2019-01-21,996.5,999.5,996.5,999.5,1500
2019-01-28,963.0,963.0,963.0,963.0,30
2019-02-04,965.0,965.0,962.0,962.0,50
2019-02-06,963.5,963.5,963.5,963.5,30
2019-02-08,990.0,990.0,990.0,990.0,10
2019-02-11,971.0,971.0,971.0,971.0,50
2019-02-13,971.0,971.0,971.0,971.0,20
2019-02-19,998.0,998.0,998.0,998.0,50
2019-02-21,985.0,985.0,985.0,985.0,30
2019-02-26,985.0,985.0,971.0,971.0,1240
2019-03-04,971.5,971.5,971.0,971.0,240
2019-03-05,971.0,971.0,970.0,970.0,770
2019-03-06,972.5,972.5,972.5,972.5,30
2019-03-07,980.0,980.0,980.0,980.0,200
2019-03-11,975.0,975.0,972.5,972.5,520
2019-03-13,980.0,980.0,980.0,980.0,90
2019-03-14,980.0,990.0,980.0,990.0,1100
2019-03-18,990.0,990.0,990.0,990.0,100
2019-03-19,990.0,990.0,990.0,990.0,30
2019-03-20,998.0,998.0,998.0,998.0,10
2019-03-21,998.0,998.0,998.0,998.0,10
2019-03-22,998.0,998.0,998.0,998.0,10
2019-03-27,985.0,985.0,985.0,985.0,30
2019-03-28,998.0,998.0,998.0,998.0,120
2019-03-29,985.0,985.0,985.0,985.0,80
2019-04-01,970.5,970.5,970.5,970.5,20
2019-04-02,1000.0,1000.0,1000.0,1000.0,10
2019-04-08,1000.0,1000.0,1000.0,1000.0,20
2019-04-10,972.0,972.0,971.0,971.0,220
2019-04-11,972.0,972.0,972.0,972.0,20
2019-04-12,990.0,990.0,990.0,990.0,500
2019-04-16,973.5,973.5,973.0,973.0,910
2019-04-22,974.0,975.0,971.0,971.0,2150
2019-04-23,971.0,971.0,970.0,970.0,610
2019-04-24,990.0,990.0,990.0,990.0,110
2019-04-29,998.5,998.5,970.0,970.0,70
