date,open,high,low,close,volume
2001-08-10,2.22,2.3,2.22,2.3,445000
2001-08-13,2.32,2.42,2.32,2.42,482000
2001-08-14,2.44,2.5,2.44,2.5,146000
2001-08-15,2.5,2.55,2.5,2.55,237000
2001-08-16,2.5,2.55,2.5,2.55,101000
2001-08-17,2.5,2.55,2.5,2.55,90000
2001-08-20,2.5,2.5,2.5,2.5,6000
2001-08-21,2.5,2.5,2.5,2.5,61000
2001-08-22,2.55,2.55,2.55,2.55,25000
2001-08-24,2.5,2.5,2.5,2.5,40000
2001-08-28,2.5,2.5,2.5,2.5,5000
2001-08-30,2.48,2.48,2.48,2.48,20000
2001-08-31,2.5,2.5,2.5,2.5,50000
2001-09-03,2.48,2.5,2.48,2.5,40000
2001-09-06,2.5,2.5,2.5,2.5,10000
2001-11-07,2.5,2.5,2.5,2.5,10000
2002-01-08,2.55,2.55,2.55,2.55,85000
2002-01-15,2.6,2.6,2.6,2.6,3000
2002-03-01,2.7,2.7,2.7,2.7,16000
2003-04-08,2.7,3.0,2.7,3.0,30000
2003-06-05,3.0,3.0,3.0,3.0,80000
2003-06-06,3.0,3.0,3.0,3.0,50000
2003-06-09,3.1,3.1,3.1,3.1,70000
2003-06-10,2.8,3.0,2.8,3.0,40000
2003-06-26,3.1,3.1,3.1,3.1,50000
2003-06-30,3.1,3.3,3.1,3.3,100000
2003-07-04,3.3,3.3,3.3,3.3,51000
2003-07-07,3.3,3.35,3.3,3.35,70000
2003-07-08,3.4,3.4,3.4,3.4,20000
2003-07-10,3.35,3.35,3.35,3.35,30000
2003-07-11,3.4,3.4,3.4,3.4,20000
2003-07-15,3.45,3.45,3.45,3.45,70000
2003-07-17,3.45,3.45,3.45,3.45,20000
2003-07-23,3.5,3.5,3.5,3.5,10000
2003-09-10,3.0,3.0,2.9,2.9,30000
2003-09-18,2.5,2.5,2.5,2.5,10000
2003-09-19,2.5,2.5,2.5,2.5,50000
2003-09-23,2.5,2.5,2.5,2.5,100000
2003-10-22,2.5,2.5,2.5,2.5,100000
2003-12-09,2.6,2.6,2.6,2.6,50000
2004-01-06,2.6,2.6,2.6,2.6,60000
2004-01-09,2.6,2.6,2.6,2.6,40000
2004-01-13,2.5,2.5,2.5,2.5,50000
2004-01-16,2.5,2.5,2.5,2.5,50000
2004-01-20,2.5,2.5,2.5,2.5,50000
2004-01-22,2.6,2.6,2.6,2.6,30000
2004-01-23,2.6,2.6,2.6,2.6,60000
2004-01-26,2.5,2.5,2.5,2.5,10000
2004-02-02,2.7,2.7,2.7,2.7,50000
2004-02-04,2.6,2.6,2.6,2.6,50000
2004-06-15,2.7,2.8,2.7,2.7,200000
2004-12-06,2.7,2.8,2.7,2.8,120000
2004-12-09,2.9,2.9,2.9,2.9,112000
2004-12-10,2.9,2.9,2.9,2.9,200000
2004-12-15,2.8,2.8,2.8,2.8,100000
2004-12-21,2.8,2.8,2.8,2.8,100000
2005-01-13,2.85,2.85,2.85,2.85,70000
2005-01-18,2.85,2.85,2.85,2.85,50000
2005-01-19,2.85,2.85,2.85,2.85,50000
2005-01-24,2.85,2.85,2.85,2.85,110000
2005-01-25,2.9,2.95,2.9,2.95,80000
2005-01-26,3.0,3.0,3.0,3.0,70000
2005-02-03,3.1,3.1,3.1,3.1,30000
2005-02-04,3.2,3.2,3.2,3.2,86000
