date,open,high,low,close,volume
2001-03-20,60.0,60.0,60.0,60.0,4900
2002-01-30,60.0,60.0,60.0,60.0,100
2002-12-19,60.0,60.0,60.0,60.0,750000
2003-06-10,60.0,60.0,60.0,60.0,4900
2003-06-25,60.0,60.0,60.0,60.0,2000000
2003-11-28,26.5,26.5,26.5,26.5,100
2003-12-30,27.5,27.5,27.5,27.5,1000
2004-01-22,29.0,29.0,29.0,29.0,2600
2004-06-24,30.5,30.5,30.5,30.5,8300
2004-09-07,32.0,32.0,32.0,32.0,10000
2004-09-28,32.0,32.0,32.0,32.0,10300
2004-12-29,34.5,34.5,34.5,34.5,896000
2005-02-14,37.0,37.0,37.0,37.0,100
2005-02-18,39.0,39.0,39.0,39.0,900
2005-03-18,29.0,29.0,29.0,29.0,10000
2005-03-31,30.0,30.0,30.0,30.0,900
2005-06-14,30.0,30.0,30.0,30.0,60000
2005-06-15,35.0,35.0,35.0,35.0,1000
2005-06-20,36.0,36.0,36.0,36.0,1000
2005-06-21,38.0,38.0,38.0,38.0,38100
2005-06-29,53.0,53.0,53.0,53.0,100
2005-07-18,60.0,60.0,60.0,60.0,100
2005-08-01,60.0,60.0,60.0,60.0,800
2005-08-22,55.0,55.0,55.0,55.0,1000
2005-09-23,55.0,55.0,55.0,55.0,5800
2005-10-03,50.0,50.0,50.0,50.0,1000
2005-11-24,50.0,50.0,50.0,50.0,9000
2005-12-14,50.0,50.0,50.0,50.0,20000
2006-03-21,46.0,46.0,46.0,46.0,500
2006-03-28,42.0,42.0,42.0,42.0,1000
2006-04-05,42.0,42.0,42.0,42.0,7300
2006-04-06,40.0,40.0,40.0,40.0,1000
2006-04-19,38.0,38.0,38.0,38.0,1000
2006-05-26,38.0,38.0,38.0,38.0,8200
2006-08-17,39.5,39.5,39.5,39.5,1000
2006-08-22,40.0,40.0,40.0,40.0,5300
2006-09-11,41.5,41.5,41.5,41.5,2000
2006-09-22,41.5,41.5,41.5,41.5,36900
2006-10-30,43.0,43.0,43.0,43.0,5000
