date,open,high,low,close,volume
1999-02-16,0.21,0.25,0.205,0.25,120000
1999-02-18,0.22,0.27,0.22,0.27,20000
1999-02-22,0.22,0.22,0.22,0.22,50000
1999-02-24,0.22,0.23,0.22,0.23,50000
1999-02-26,0.23,0.23,0.23,0.23,50000
1999-03-01,0.23,0.23,0.23,0.23,600000
1999-03-02,0.23,0.23,0.22,0.22,860000
1999-03-03,0.225,0.225,0.22,0.22,310000
1999-03-08,0.2,0.2,0.2,0.2,30000
1999-03-10,0.2,0.2,0.2,0.2,500000
1999-03-11,0.18,0.18,0.18,0.18,10000
1999-03-16,0.2,0.2,0.2,0.2,100000
1999-03-19,0.2,0.2,0.2,0.2,60000
1999-03-22,0.2,0.2,0.2,0.2,250000
1999-03-23,0.2,0.2,0.2,0.2,100000
1999-03-24,0.21,0.21,0.21,0.21,90000
1999-03-25,0.21,0.21,0.21,0.21,250000
1999-03-29,0.21,0.21,0.21,0.21,1000000
1999-03-30,0.21,0.25,0.21,0.24,1850000
1999-03-31,0.245,0.245,0.245,0.245,30000
1999-04-05,0.24,0.24,0.24,0.24,450000
1999-04-06,0.245,0.245,0.24,0.24,380000
1999-04-07,0.24,0.31,0.24,0.3,2080000
1999-04-08,0.32,0.36,0.31,0.36,9520000
1999-04-12,0.38,0.42,0.38,0.42,8080000
1999-04-13,0.42,0.45,0.42,0.44,5710000
1999-04-14,0.44,0.5,0.43,0.49,26130000
1999-04-15,0.49,0.52,0.47,0.47,23280000
1999-04-16,0.46,0.46,0.45,0.46,2500000
1999-04-19,0.47,0.47,0.47,0.47,13810000
1999-04-20,0.44,0.44,0.41,0.41,880000
1999-04-21,0.41,0.43,0.4,0.41,1880000
1999-04-22,0.41,0.41,0.41,0.41,40000
1999-04-23,0.43,0.43,0.42,0.42,2740000
1999-04-26,0.42,0.42,0.42,0.42,300000
1999-04-27,0.41,0.41,0.4,0.41,290000
1999-04-28,0.4,0.41,0.39,0.41,6610000
1999-04-29,0.43,0.47,0.42,0.46,14530000
1999-04-30,0.45,0.45,0.42,0.44,650000
1999-05-03,0.42,0.43,0.42,0.42,1800000
1999-05-04,0.42,0.42,0.42,0.42,20000
1999-05-05,0.42,0.42,0.42,0.42,2000000
1999-05-06,0.42,0.45,0.42,0.45,350000
1999-05-07,0.45,0.5,0.45,0.45,2810000
1999-05-10,0.46,0.47,0.46,0.47,610000
1999-05-11,0.45,0.45,0.42,0.42,1290000
1999-05-12,0.41,0.43,0.4,0.43,1220000
1999-05-13,0.41,0.42,0.41,0.42,2110000
1999-05-14,0.42,0.43,0.42,0.42,1340000
1999-05-17,0.41,0.41,0.41,0.41,520000
1999-05-18,0.4,0.4,0.4,0.4,20000
1999-05-19,0.4,0.41,0.4,0.4,950000
1999-05-20,0.4,0.4,0.38,0.38,610000
1999-05-24,0.35,0.35,0.35,0.35,20000
1999-05-25,0.4,0.44,0.4,0.44,2170000
1999-05-26,0.4,0.4,0.4,0.4,600000
1999-05-27,0.4,0.4,0.4,0.4,17720000
1999-05-28,0.4,0.4,0.4,0.4,200000
1999-06-01,0.35,0.35,0.35,0.35,600000
1999-06-02,0.39,0.39,0.39,0.39,10000
1999-06-10,0.33,0.33,0.32,0.32,190000
1999-06-11,0.38,0.38,0.35,0.35,330000
1999-06-15,0.33,0.33,0.33,0.33,70000
1999-06-17,0.36,0.37,0.32,0.32,870000
1999-06-18,0.31,0.32,0.31,0.32,80000
1999-06-21,0.33,0.33,0.33,0.33,360000
1999-06-22,0.33,0.34,0.33,0.34,940000
1999-06-23,0.33,0.33,0.32,0.32,820000
1999-06-24,0.32,0.32,0.32,0.32,10000
1999-06-28,0.33,0.33,0.33,0.33,1500000
1999-06-29,0.34,0.39,0.34,0.39,1950000
1999-06-30,0.4,0.4,0.39,0.39,2130000
1999-07-01,0.4,0.41,0.4,0.41,1270000
1999-07-02,0.4,0.4,0.4,0.4,800000
1999-07-05,0.4,0.4,0.37,0.37,710000
1999-07-06,0.37,0.39,0.37,0.39,740000
1999-07-07,0.39,0.42,0.38,0.42,3730000
1999-07-08,0.4,0.41,0.4,0.4,780000
1999-07-09,0.41,0.45,0.4,0.44,4400000
1999-07-12,0.45,0.48,0.45,0.48,7970000
1999-07-13,0.48,0.52,0.47,0.47,20990000
1999-07-14,0.45,0.45,0.41,0.43,3380000
1999-07-15,0.41,0.48,0.41,0.48,6020000
1999-07-16,0.49,0.53,0.49,0.5,11890000
1999-07-19,0.49,0.5,0.47,0.47,2900000
1999-07-20,0.44,0.47,0.44,0.47,750000
1999-07-21,0.43,0.45,0.43,0.43,3850000
1999-07-22,0.43,0.44,0.42,0.42,5550000
1999-07-23,0.42,0.43,0.42,0.43,1300000
1999-07-26,0.42,0.42,0.4,0.41,3580000
1999-07-27,0.4,0.43,0.4,0.43,3750000
1999-07-28,0.43,0.45,0.43,0.45,780000
1999-07-29,0.44,0.45,0.44,0.45,1000000
1999-07-30,0.45,0.47,0.45,0.47,1580000
1999-08-02,0.47,0.48,0.47,0.48,330000
1999-08-04,0.48,0.49,0.48,0.49,600000
1999-08-05,0.47,0.48,0.46,0.46,8700000
1999-08-06,0.47,0.47,0.45,0.46,1960000
1999-08-09,0.47,0.48,0.47,0.48,5700000
1999-08-10,0.47,0.47,0.46,0.46,780000
1999-08-11,0.45,0.45,0.44,0.44,1200000
1999-08-12,0.44,0.44,0.43,0.44,1350000
1999-08-13,0.43,0.43,0.43,0.43,100000
1999-08-16,0.44,0.48,0.44,0.44,9730000
1999-08-17,0.42,0.42,0.42,0.42,10000
1999-08-18,0.42,0.42,0.42,0.42,70000
1999-08-19,0.41,0.41,0.41,0.41,1000000
1999-08-23,0.41,0.42,0.41,0.42,550000
1999-08-24,0.41,0.42,0.41,0.42,1820000
1999-08-25,0.44,0.44,0.41,0.41,1850000
1999-08-26,0.41,0.41,0.41,0.41,810000
1999-08-27,0.41,0.41,0.41,0.41,610000
1999-08-30,0.42,0.42,0.42,0.42,600000
1999-08-31,0.41,0.41,0.41,0.41,1180000
1999-09-01,0.42,0.45,0.42,0.44,2280000
1999-09-02,0.44,0.44,0.43,0.43,1070000
1999-09-03,0.42,0.43,0.42,0.43,1310000
1999-09-06,0.45,0.45,0.43,0.43,1150000
1999-09-07,0.43,0.46,0.43,0.45,7180000
1999-09-08,0.44,0.49,0.44,0.45,4500000
1999-09-09,0.44,0.45,0.44,0.45,1550000
1999-09-10,0.45,0.45,0.45,0.45,1400000
1999-09-13,0.44,0.44,0.43,0.44,720000
