date,open,high,low,close,volume
2011-09-12,3.0,13.0,3.0,8.6,6200000
2011-09-13,10.0,11.98,9.2,9.96,11672200
2011-09-14,10.5,10.7,7.5,7.5,9845900
2011-09-15,7.6,7.9,5.2,6.45,5689700
2011-09-16,6.45,7.7,5.7,7.0,4228600
2011-09-19,7.25,7.28,6.5,7.02,2272200
2011-09-20,6.88,7.0,6.4,6.5,1182900
2011-09-21,6.87,6.9,6.55,6.6,638700
2011-09-22,6.61,6.61,6.28,6.29,871500
2011-09-23,6.0,6.0,5.4,5.45,1727900
2011-09-26,5.45,5.45,4.0,4.48,964800
2011-09-28,4.7,5.3,4.7,5.08,926000
2011-09-29,5.08,5.26,4.96,5.26,393600
2011-09-30,5.33,5.95,5.33,5.7,1060200
2011-10-03,5.5,5.7,5.3,5.6,354300
2011-10-04,5.49,5.65,5.3,5.58,262400
2011-10-05,5.72,5.72,5.6,5.69,215600
2011-10-06,5.95,6.28,5.9,6.0,590700
2011-10-07,6.1,6.3,6.0,6.0,485700
2011-10-10,6.1,6.2,6.1,6.1,127900
2011-10-11,6.3,6.32,6.1,6.2,621400
2011-10-12,6.2,6.2,6.1,6.1,315700
2011-10-13,6.15,6.2,6.1,6.15,302500
2011-10-14,6.1,6.25,6.02,6.15,235700
2011-10-17,6.2,6.58,6.1,6.45,781400
2011-10-18,6.5,6.54,6.45,6.5,484100
2011-10-19,6.58,6.6,6.3,6.31,190800
2011-10-20,6.28,6.35,6.28,6.31,108900
2011-10-21,6.21,6.3,6.21,6.3,126600
2011-10-24,6.3,6.32,6.25,6.27,87700
2011-10-25,6.3,6.36,6.3,6.36,213400
2011-10-26,6.3,6.36,6.3,6.36,83300
2011-10-27,6.5,6.5,6.36,6.5,102300
2011-10-28,6.5,6.5,6.36,6.38,192100
2011-11-02,6.3,6.3,6.17,6.2,558900
2011-11-03,6.14,6.3,6.14,6.3,712000
2011-11-04,6.3,7.0,6.3,6.55,678800
2011-11-08,6.54,6.55,6.3,6.55,370100
2011-11-09,6.5,6.6,6.5,6.51,125100
2011-11-10,6.3,6.32,6.3,6.32,118200
2011-11-11,6.5,6.57,6.32,6.56,472000
2011-11-14,6.9,7.4,6.8,6.95,1306700
2011-11-15,7.0,7.2,6.95,7.15,394700
2011-11-16,7.2,7.2,7.0,7.12,327600
2011-11-17,7.01,7.14,7.0,7.01,134700
2011-11-18,7.01,7.38,7.01,7.1,1116500
2011-11-21,7.1,7.24,6.9,6.9,394200
2011-11-22,6.9,6.9,6.5,6.8,454900
2011-11-23,6.8,6.81,6.8,6.8,105400
2011-11-24,6.8,6.81,6.7,6.7,486500
2011-11-25,6.59,6.85,6.59,6.8,712100
2011-11-28,6.6,7.0,6.6,7.0,452100
2011-11-29,6.95,7.1,6.95,7.1,343400
2011-12-01,7.4,7.4,7.0,7.1,264600
2011-12-02,7.1,7.15,7.07,7.15,484500
2011-12-05,7.09,7.15,6.91,7.15,150700
2011-12-06,7.15,7.15,7.01,7.01,111800
2011-12-07,7.0,7.14,6.89,6.99,430800
2011-12-08,7.0,7.49,6.99,7.4,1396400
2011-12-09,7.42,7.59,7.3,7.49,292600
2011-12-12,7.4,7.5,7.31,7.31,274900
2011-12-13,7.31,7.4,7.28,7.28,91500
2011-12-14,7.3,7.3,7.05,7.07,517900
2011-12-15,7.07,7.2,6.91,7.01,449200
2011-12-16,7.1,7.1,6.9,7.0,242000
2011-12-19,7.04,7.04,7.0,7.04,22900
2011-12-20,7.05,7.19,7.05,7.12,94900
2011-12-21,7.06,7.2,7.06,7.1,147900
2011-12-22,7.12,7.12,7.01,7.08,27400
2011-12-23,7.1,7.1,7.1,7.1,54500
2011-12-26,7.1,7.1,7.08,7.1,21600
2011-12-27,7.1,7.1,7.08,7.08,31400
2011-12-28,7.08,7.13,7.02,7.13,31600
2011-12-29,7.03,7.05,7.02,7.02,147400
2012-01-02,7.03,7.19,7.03,7.1,477000
2012-01-03,7.2,7.69,7.2,7.45,413500
2012-01-04,7.32,7.65,7.32,7.54,182500
2012-01-05,7.54,8.41,7.54,8.33,1576000
2012-01-06,8.2,8.8,8.02,8.69,817000
2012-01-09,8.7,9.42,8.5,9.06,1242200
2012-01-10,9.08,9.25,8.82,8.83,712200
2012-01-11,8.85,9.18,8.83,9.0,255700
2012-01-12,9.0,9.0,8.86,8.9,159700
2012-01-13,8.9,9.5,8.9,9.2,819000
2012-01-16,9.2,9.62,9.2,9.45,850400
2012-01-17,9.45,10.0,9.45,9.97,3658500
2012-01-18,9.97,9.97,9.47,9.5,920900
2012-01-19,9.5,9.7,9.47,9.61,288900
2012-01-20,9.7,10.02,9.7,9.81,1250600
2012-01-24,9.85,9.85,9.5,9.65,112400
2012-01-25,9.55,9.8,9.55,9.75,260000
2012-01-26,9.7,10.4,9.7,10.0,2871000
2012-01-27,10.28,10.44,9.98,10.0,401600
2012-01-30,10.1,10.28,9.9,9.9,264700
2012-01-31,9.9,10.1,9.9,10.0,119100
2012-02-01,10.0,10.0,9.5,9.6,463700
2012-02-02,9.8,9.8,9.55,9.55,221700
2012-02-03,9.55,10.66,9.55,10.66,2715600
2012-02-06,10.68,10.72,9.92,9.92,1140600
2012-02-07,9.94,10.14,9.8,9.94,269500
2012-02-08,10.2,10.3,10.0,10.2,297400
2012-02-09,10.12,10.12,9.98,10.0,189300
2012-02-10,9.98,10.4,9.96,10.1,426300
2012-02-13,10.2,10.2,10.0,10.1,28200
2012-02-14,10.4,10.5,10.1,10.1,195100
2012-02-15,10.2,10.28,9.96,10.0,223300
2012-02-16,10.28,10.28,10.0,10.0,173600
2012-02-17,10.18,10.8,10.18,10.72,2751700
2012-02-20,10.78,11.42,10.72,11.26,2705800
2012-02-21,11.26,11.88,11.1,11.88,1257500
2012-02-22,11.98,13.6,11.88,13.22,3478200
2012-02-23,13.42,13.7,12.0,12.2,1532200
2012-02-24,12.24,12.98,11.5,12.0,1976600
2012-02-27,12.16,12.6,11.94,12.5,1038900
2012-02-28,12.8,12.86,12.4,12.62,605400
2012-02-29,12.64,12.82,12.5,12.8,741700
2012-03-01,12.78,13.0,12.6,12.9,1872800
2012-03-02,12.8,13.4,12.8,13.2,1006000
2012-03-05,13.2,13.6,13.0,13.48,1099100
2012-03-06,13.48,14.18,13.44,13.5,1864800
2012-03-07,13.4,13.5,13.0,13.3,808000
2012-03-08,13.8,13.8,13.3,13.3,330200
2012-03-09,13.5,13.5,13.28,13.3,410500
2012-03-12,13.5,13.5,13.28,13.28,294500
2012-03-13,13.22,13.26,12.68,12.68,754400
2012-03-14,12.6,13.0,12.2,12.22,1050500
2012-03-15,12.18,12.18,11.0,11.5,2162700
2012-03-16,11.52,12.0,11.38,11.9,346100
2012-03-19,11.8,12.24,11.8,12.24,153100
2012-03-20,12.26,12.62,12.24,12.24,192300
2012-03-21,12.24,12.24,11.7,12.0,213800
2012-03-22,11.8,12.0,11.64,11.7,351900
2012-03-23,11.8,11.98,11.7,11.8,419700
2012-03-26,11.8,11.92,11.7,11.8,55300
2012-03-27,11.8,11.9,11.6,11.9,150400
2012-03-28,12.0,12.0,11.8,11.9,130200
2012-03-29,11.7,11.9,11.5,11.8,64800
2012-03-30,11.8,11.88,11.6,11.7,190100
2012-04-02,11.6,11.9,11.58,11.9,202000
2012-04-03,11.6,12.2,11.6,12.1,171300
2012-04-04,11.62,12.08,11.62,11.8,10700
2012-04-10,12.1,12.1,11.6,11.8,88500
2012-04-11,11.6,11.8,11.5,11.8,139200
2012-04-12,11.56,11.7,11.54,11.7,101300
2012-04-13,11.5,11.66,11.4,11.66,99400
2012-04-16,11.68,11.68,11.16,11.4,882100
2012-04-17,11.42,11.42,11.1,11.4,226600
2012-04-18,11.3,11.6,11.3,11.6,195900
2012-04-19,11.58,12.38,11.58,12.3,1545500
2012-04-20,12.4,12.48,12.36,12.4,383300
2012-04-23,12.36,14.12,12.36,13.8,2377500
2012-04-24,14.3,16.2,13.84,16.2,4515000
2012-04-25,17.5,24.3,17.5,24.3,7049100
2012-04-26,28.5,35.0,27.0,33.0,12464900
2012-04-27,30.0,30.9,28.25,28.5,5964200
2012-04-30,27.9,27.9,23.05,23.8,8710500
