date,open,high,low,close,volume
1999-02-04,25.0,25.0,25.0,25.0,14500
1999-02-05,25.0,25.0,25.0,25.0,4000
1999-02-08,25.0,25.0,25.0,25.0,4000
1999-02-09,25.0,25.0,25.0,25.0,4000
1999-02-10,25.0,25.0,25.0,25.0,4000
1999-02-11,25.0,25.0,25.0,25.0,4000
1999-03-03,27.0,27.0,24.0,24.0,1600
1999-03-04,25.0,25.0,25.0,25.0,400
1999-03-12,26.0,27.0,26.0,27.0,70200
1999-03-17,24.0,24.0,24.0,24.0,300
1999-03-22,25.0,25.0,25.0,25.0,2000
1999-03-23,25.0,25.5,25.0,25.5,39100
1999-03-25,26.5,26.5,26.5,26.5,1000
1999-03-29,26.0,26.5,26.0,26.5,15700
1999-03-30,26.5,26.5,26.5,26.5,8000
1999-03-31,27.0,27.0,26.5,27.0,7500
1999-04-05,25.5,25.5,25.5,25.5,100
1999-04-07,27.0,28.0,27.0,28.0,500
1999-04-08,28.0,28.0,28.0,28.0,2800
1999-04-13,32.0,36.0,32.0,34.0,176900
1999-04-14,34.5,35.5,34.0,34.5,135500
1999-04-15,34.0,34.0,31.0,32.5,88200
1999-04-16,32.5,32.5,32.5,32.5,1000
1999-04-19,35.0,35.0,34.5,34.5,64800
1999-04-20,34.5,34.5,34.5,34.5,66700
1999-04-21,35.0,35.0,34.5,34.5,88800
1999-04-22,34.5,37.0,34.5,36.5,159100
1999-04-23,37.5,37.5,36.0,36.0,36200
1999-04-26,37.5,37.5,36.0,36.0,1700
1999-04-27,36.0,36.0,35.0,36.0,25900
1999-04-28,35.0,36.0,35.0,35.0,15600
1999-04-29,35.0,35.5,34.0,35.5,14500
1999-04-30,35.5,35.5,35.0,35.0,16000
1999-05-03,36.0,38.5,36.0,36.5,52300
1999-05-04,36.5,36.5,35.5,35.5,19200
1999-05-05,35.5,35.5,35.0,35.0,8800
1999-05-06,35.5,35.5,35.0,35.5,15000
1999-05-07,35.5,36.5,35.5,36.0,29600
1999-05-10,37.0,37.0,36.0,36.0,38600
1999-05-11,36.0,36.0,36.0,36.0,8700
1999-05-12,36.0,36.5,36.0,36.5,36000
1999-05-13,36.0,36.0,36.0,36.0,1000
1999-05-14,36.0,36.0,35.0,35.0,12400
1999-05-17,35.0,35.0,35.0,35.0,10000
1999-05-18,35.0,35.0,34.5,34.5,21000
1999-05-19,36.0,36.0,34.5,34.5,5200
1999-05-20,34.5,34.5,34.5,34.5,3000
1999-05-21,34.5,34.5,34.5,34.5,500
1999-05-31,33.5,33.5,33.0,33.0,22000
1999-06-04,31.0,33.0,31.0,33.0,6300
1999-06-08,34.0,34.0,33.5,33.5,9700
1999-06-10,33.0,33.5,33.0,33.5,14300
1999-06-11,33.5,33.5,33.5,33.5,1800
1999-06-18,33.0,33.5,33.0,33.0,74700
1999-06-21,33.5,33.5,33.0,33.0,11400
1999-06-22,33.5,33.5,33.5,33.5,14100
1999-06-23,33.0,33.0,33.0,33.0,6000
1999-06-24,33.5,33.5,33.5,33.5,5000
1999-06-25,33.0,33.5,33.0,33.0,13500
1999-06-28,32.5,32.5,32.5,32.5,1000
1999-06-29,32.5,32.5,32.5,32.5,13000
1999-06-30,32.5,32.5,32.0,32.0,34000
1999-07-01,32.0,32.0,32.0,32.0,900
1999-07-02,32.5,32.5,32.5,32.5,5000
1999-07-05,32.0,32.0,32.0,32.0,1600
1999-07-06,32.0,32.5,32.0,32.5,7300
1999-07-07,32.5,32.5,32.0,32.0,8700
1999-07-08,32.0,32.5,32.0,32.5,10300
1999-07-09,32.5,32.5,32.5,32.5,14000
1999-07-12,33.0,33.0,32.5,32.5,19500
1999-07-13,32.5,32.5,32.5,32.5,10000
1999-07-16,32.0,32.0,32.0,32.0,17600
1999-07-20,31.0,31.0,31.0,31.0,1000
1999-07-22,31.0,31.0,31.0,31.0,7900
1999-07-23,30.0,31.0,30.0,31.0,3000
1999-07-27,24.0,24.0,24.0,24.0,2200
1999-08-02,29.0,29.0,29.0,29.0,1000
1999-08-05,30.0,30.0,30.0,30.0,600
1999-08-06,29.0,29.0,29.0,29.0,113700
1999-08-09,30.0,30.0,30.0,30.0,1800
1999-08-16,29.0,29.0,29.0,29.0,2500
1999-08-20,29.0,29.0,29.0,29.0,12500
1999-08-24,29.0,29.0,29.0,29.0,300
1999-08-26,29.0,29.0,29.0,29.0,2000
1999-08-27,29.0,29.0,29.0,29.0,4000
1999-08-30,26.0,26.0,26.0,26.0,400
1999-09-14,30.0,32.0,30.0,32.0,14800
1999-09-17,29.0,29.0,29.0,29.0,11000
1999-09-20,30.0,30.0,29.5,29.5,3500
1999-09-21,29.5,29.5,29.0,29.5,7000
1999-09-22,29.5,29.5,29.5,29.5,4000
1999-09-23,28.0,28.0,28.0,28.0,500
1999-09-27,29.0,29.0,28.5,28.5,8200
1999-09-28,28.5,29.0,28.5,29.0,2300
1999-09-30,29.0,29.0,28.0,28.0,3200
1999-10-01,28.5,28.5,28.0,28.0,1300
1999-10-04,28.0,28.0,28.0,28.0,2800
1999-10-05,28.0,28.0,27.5,28.0,17000
1999-10-06,28.0,28.0,28.0,28.0,4200
1999-10-07,29.0,29.0,29.0,29.0,200
1999-10-08,29.0,29.0,29.0,29.0,1800
1999-10-11,29.0,29.0,29.0,29.0,2000
1999-10-12,28.0,28.0,28.0,28.0,1000
1999-10-13,28.0,28.0,28.0,28.0,13300
1999-10-14,28.0,28.0,28.0,28.0,13700
1999-10-15,28.0,29.0,28.0,29.0,20800
1999-10-18,29.0,29.0,29.0,29.0,7000
