date,open,high,low,close,volume
1999-05-11,2.0,2.0,2.0,2.0,4000
1999-05-31,2.02,2.02,2.02,2.02,1000
1999-07-08,2.12,2.12,2.12,2.12,5000
1999-10-19,2.0,2.0,2.0,2.0,71000
2000-02-14,2.24,2.24,2.24,2.24,6000
2000-02-16,2.24,2.24,2.24,2.24,14000
2000-08-15,2.24,2.24,2.24,2.24,5000
2001-02-02,2.3,2.3,2.3,2.3,1000
2001-06-29,2.2,2.2,2.2,2.2,42000
2001-09-04,2.2,2.2,2.2,2.2,47000
2001-09-18,2.2,2.2,2.1,2.1,63000
2001-10-19,2.1,2.1,2.1,2.1,110000
2001-11-15,2.1,2.1,2.1,2.1,6000
2001-11-22,2.5,2.5,2.5,2.5,15000
2001-11-29,2.5,2.5,2.5,2.5,27000
2001-12-27,2.65,2.65,2.65,2.65,100000
2002-02-19,2.65,2.65,2.65,2.65,1000
2002-03-15,2.75,2.75,2.75,2.75,10000
2002-09-23,2.5,2.5,2.5,2.5,15000
2002-09-26,2.5,2.5,2.5,2.5,1000
2003-04-16,2.5,2.5,2.5,2.5,90000
2003-08-12,2.5,2.5,2.5,2.5,117000
2003-09-08,2.5,2.5,2.5,2.5,3000
2004-07-20,1.5,1.5,1.5,1.5,12750000
2004-09-20,1.02,1.02,1.02,1.02,46000
2004-11-05,1.2,1.2,1.2,1.2,28000
2005-02-10,1.04,1.04,1.04,1.04,3000
2005-02-11,1.04,1.2,1.04,1.2,25000
2005-02-15,1.2,1.2,1.2,1.2,8000
2005-02-23,1.2,1.2,1.2,1.2,8000
2005-03-01,1.24,1.24,1.24,1.24,30000
2005-03-02,1.28,1.28,1.1,1.1,4811000
2005-03-03,1.2,1.3,1.2,1.3,51000
2005-03-04,1.24,1.24,1.24,1.24,37000
2005-03-07,1.3,1.3,1.3,1.3,20000
2005-03-08,1.3,1.3,1.3,1.3,50000
2005-03-09,1.3,1.3,1.3,1.3,20000
2005-03-11,1.3,1.3,1.3,1.3,56000
2005-03-14,1.3,1.3,1.3,1.3,30000
2005-03-15,1.3,1.3,1.3,1.3,20000
2005-04-04,1.0,1.0,1.0,1.0,65000
2005-04-05,1.02,1.02,1.02,1.02,30000
2005-04-22,1.0,1.0,1.0,1.0,1000
2005-05-04,1.0,1.0,1.0,1.0,20000
2005-05-26,1.0,1.0,1.0,1.0,50000
2005-05-27,1.0,1.0,1.0,1.0,40000
2005-06-01,1.0,1.0,1.0,1.0,30000
2005-06-06,1.0,1.0,1.0,1.0,30000
2005-06-07,1.0,1.0,1.0,1.0,30000
2005-07-29,0.85,0.85,0.85,0.85,10000
2005-08-02,0.85,0.9,0.85,0.9,70000
2005-08-04,0.9,0.9,0.9,0.9,50000
2005-08-10,0.9,0.9,0.9,0.9,10000
2005-08-18,0.86,0.86,0.86,0.86,50000
2005-08-19,0.86,0.86,0.86,0.86,140000
2005-08-22,0.86,0.86,0.86,0.86,300000
2005-08-23,0.94,0.94,0.94,0.94,10000
2005-08-25,0.84,0.9,0.84,0.9,400000
2005-08-30,0.94,0.94,0.94,0.94,50000
2005-09-02,1.2,1.2,1.2,1.2,320000
2005-09-08,1.0,1.0,1.0,1.0,8000
2005-09-09,1.0,1.04,1.0,1.04,60000
2005-09-12,1.0,1.0,1.0,1.0,16000
2005-09-22,1.04,1.04,1.04,1.04,40000
2005-09-23,1.0,1.0,1.0,1.0,17000
2005-09-26,1.0,1.0,1.0,1.0,10000
2005-10-05,1.14,1.14,1.14,1.14,10000
2005-10-06,1.14,1.14,1.14,1.14,16000
2005-10-11,1.06,1.06,1.06,1.06,2000
2005-10-12,1.06,1.06,1.06,1.06,85000
2005-10-21,1.04,1.04,1.04,1.04,50000
2005-10-27,1.0,1.0,1.0,1.0,50000
2005-11-16,1.0,1.0,1.0,1.0,50000
2005-11-30,0.96,0.96,0.96,0.96,20000
2005-12-06,0.96,1.0,0.96,1.0,110000
2005-12-07,1.0,1.0,1.0,1.0,20000
2005-12-08,1.0,1.0,1.0,1.0,60000
2005-12-12,0.9,0.9,0.9,0.9,20000
2005-12-21,0.87,0.87,0.87,0.87,90000
2006-01-06,1.0,1.0,1.0,1.0,20000
2006-01-10,1.0,1.0,1.0,1.0,30000
2006-01-12,1.0,1.0,1.0,1.0,40000
2006-01-17,1.0,1.0,1.0,1.0,730000
2006-01-23,1.1,1.1,1.1,1.1,50000
2006-01-24,1.06,1.1,1.06,1.1,59000
2006-01-25,1.1,1.1,1.1,1.1,31000
2006-01-31,1.2,1.26,1.2,1.26,308000
2006-02-01,1.28,1.28,1.28,1.28,5000
2006-02-08,1.3,1.3,1.3,1.3,30000
2006-02-15,1.3,1.3,1.3,1.3,39000
2006-02-16,1.3,1.3,1.3,1.3,29000
2006-02-17,1.3,1.3,1.3,1.3,40000
2006-02-21,1.3,1.3,1.3,1.3,5000
2006-02-22,1.3,1.3,1.3,1.3,2000
2006-02-24,1.3,1.3,1.3,1.3,49000
2006-02-27,1.3,1.3,1.3,1.3,1000
2006-03-07,1.3,1.3,1.3,1.3,30000
2006-03-10,1.2,1.2,1.2,1.2,1000
2006-03-15,1.3,1.3,1.3,1.3,22000
2006-03-22,1.4,1.62,1.3,1.62,101000
2006-03-23,1.7,1.7,1.7,1.7,3000
2006-03-24,2.0,2.0,2.0,2.0,30000
2006-03-28,1.8,2.0,1.8,2.0,42000
2006-03-31,1.8,1.8,1.8,1.8,2000
2006-04-06,1.8,1.8,1.8,1.8,32000
2006-04-07,2.0,2.0,2.0,2.0,20000
2006-04-10,1.7,1.7,1.7,1.7,22000
2006-04-12,1.9,1.94,1.9,1.94,17000
2006-04-18,1.8,1.8,1.8,1.8,3000
2006-04-19,1.9,1.9,1.9,1.9,10000
2006-04-20,1.9,2.2,1.9,2.18,146000
2006-04-21,2.2,2.3,2.2,2.3,131000
2006-04-24,2.04,2.04,2.04,2.04,35000
2006-04-26,2.04,2.3,2.04,2.2,122000
2006-04-27,2.2,2.3,2.2,2.24,197000
2006-04-28,2.28,2.85,2.28,2.85,764000
2006-05-02,2.85,3.3,2.85,3.15,167000
2006-05-03,3.2,3.2,3.15,3.15,132000
2006-05-04,3.15,3.15,3.0,3.1,32000
2006-05-05,3.0,3.0,3.0,3.0,3000
2006-05-08,3.0,3.0,3.0,3.0,1000
2006-05-09,2.8,2.8,2.8,2.8,52000
2006-05-10,2.8,3.1,2.8,3.1,85000
2006-05-11,3.1,3.4,3.1,3.3,135000
2006-05-12,3.2,3.2,3.2,3.2,30000
2006-05-17,3.0,3.0,3.0,3.0,10000
2006-05-18,3.0,3.0,3.0,3.0,15000
2006-05-19,2.95,2.95,2.95,2.95,11000
2006-05-22,2.95,2.95,2.9,2.9,7000
2006-05-24,2.7,2.7,2.7,2.7,15000
2006-05-25,2.5,2.5,2.5,2.5,22000
2006-05-26,3.0,3.0,3.0,3.0,10000
2006-06-02,2.28,2.28,2.28,2.28,1000
2006-06-07,2.28,2.28,2.28,2.28,6000
2006-06-08,2.28,2.28,2.26,2.26,30000
2006-06-14,2.22,2.22,2.22,2.22,1000
2006-06-22,2.2,2.3,2.2,2.3,71000
2006-06-27,2.3,2.3,2.3,2.3,20000
2006-06-30,2.2,2.3,2.2,2.3,50000
2006-07-03,2.3,2.3,2.2,2.2,60000
2006-07-04,2.3,2.3,2.3,2.3,21000
2006-07-05,2.3,2.3,2.3,2.3,29000
2006-07-06,2.3,2.6,2.3,2.6,132000
2006-07-07,2.6,2.6,2.6,2.6,62000
2006-07-10,2.7,2.7,2.7,2.7,30000
2006-07-11,2.7,2.7,2.7,2.7,40000
2006-07-13,2.5,2.5,2.5,2.5,28000
2006-07-18,2.3,2.3,2.3,2.3,1000
2006-07-19,2.3,2.3,2.3,2.3,17000
2006-07-20,2.3,2.3,2.3,2.3,21000
2006-07-21,2.3,2.4,2.3,2.4,42000
2006-07-25,2.6,2.7,2.6,2.7,40000
2006-07-26,2.75,2.75,2.75,2.75,56000
2006-07-27,2.75,2.75,2.75,2.75,2000
2006-07-28,2.7,2.7,2.7,2.7,100000
2006-08-02,2.6,2.6,2.5,2.5,11000
2006-08-04,2.7,2.7,2.6,2.6,20000
2006-08-10,2.6,2.6,2.6,2.6,13000
2006-08-11,2.55,2.55,2.55,2.55,9000
2006-08-15,2.55,2.55,2.55,2.55,1000
2006-08-24,2.55,2.6,2.55,2.6,7000
2006-08-25,2.6,2.6,2.6,2.6,3000
2006-08-28,2.6,2.6,2.6,2.6,2000
2006-08-29,2.65,2.65,2.65,2.65,20000
2006-08-31,2.65,2.65,2.65,2.65,44000
2006-09-05,2.65,2.65,2.65,2.65,4000
2006-09-06,2.65,2.65,2.65,2.65,3000
2006-09-07,2.65,2.65,2.65,2.65,10000
2006-09-08,2.65,2.65,2.65,2.65,2000
2006-09-11,2.65,2.65,2.65,2.65,24000
2006-09-12,2.4,2.4,2.4,2.4,5000
2006-09-13,2.6,2.6,2.6,2.6,6000
2006-09-18,2.6,2.6,2.6,2.6,4000
2006-09-20,2.6,2.6,2.6,2.6,164000
2006-09-22,2.6,2.6,2.6,2.6,88000
2006-09-26,2.4,2.4,2.4,2.4,1000
2006-09-27,2.4,2.4,2.4,2.4,1000
2006-10-02,2.5,2.5,2.5,2.5,1020000
2006-10-03,2.4,2.4,2.4,2.4,1000
2006-10-04,2.4,2.4,2.4,2.4,17000
2006-10-05,2.4,2.4,2.4,2.4,15000
2006-10-09,2.38,2.38,2.38,2.38,2000
2006-10-10,2.3,2.3,2.3,2.3,5000
2006-10-11,2.28,2.28,2.2,2.2,4000
2006-10-12,2.2,2.2,2.2,2.2,59000
2006-10-17,2.2,2.2,2.2,2.2,1000
2006-10-18,2.38,2.38,2.38,2.38,15000
2006-10-19,2.26,2.26,2.26,2.26,6000
2006-10-20,2.32,2.32,2.32,2.32,12000
2006-10-25,2.24,2.24,2.24,2.24,3000
2006-10-26,2.28,2.28,2.28,2.28,1000
2006-10-31,2.32,2.32,2.32,2.32,2000
