date,open,high,low,close,volume
1999-02-05,0.7,0.7,0.7,0.7,40000
1999-02-08,0.7,0.7,0.7,0.7,40000
1999-02-09,0.7,0.7,0.7,0.7,40000
1999-02-10,0.7,0.7,0.7,0.7,40000
1999-02-11,0.7,0.7,0.7,0.7,40000
1999-02-23,0.7,0.7,0.7,0.7,200000
1999-03-09,0.65,0.65,0.65,0.65,100000
1999-03-10,0.65,0.65,0.65,0.65,10000
1999-03-24,0.45,0.45,0.45,0.45,100000
1999-03-25,0.5,0.57,0.5,0.55,600000
1999-03-29,0.58,0.58,0.58,0.58,100000
1999-03-30,0.55,0.55,0.55,0.55,10000
1999-04-06,0.6,0.6,0.6,0.6,10000
1999-04-14,0.6,0.6,0.6,0.6,20000
1999-04-16,0.55,0.55,0.55,0.55,10000
1999-04-19,0.6,0.68,0.6,0.68,50000
1999-04-20,0.68,0.68,0.66,0.66,150000
1999-04-22,0.66,0.66,0.66,0.66,140000
1999-04-26,0.68,0.74,0.68,0.74,250000
1999-04-28,0.7,0.71,0.7,0.71,90000
1999-04-29,0.74,0.75,0.74,0.75,400000
1999-04-30,0.75,0.77,0.75,0.76,350000
1999-05-04,0.76,0.76,0.7,0.7,270000
1999-05-05,0.72,0.72,0.72,0.72,110000
1999-05-06,0.71,0.8,0.71,0.8,520000
1999-05-07,0.81,0.85,0.81,0.85,920000
1999-05-11,0.81,0.81,0.81,0.81,200000
1999-05-13,0.77,0.77,0.77,0.77,150000
1999-05-14,0.77,0.77,0.77,0.77,120000
1999-05-17,0.76,0.76,0.76,0.76,90000
1999-05-18,0.76,0.78,0.76,0.78,410000
1999-05-20,0.75,0.75,0.75,0.75,80000
1999-05-21,0.75,0.75,0.75,0.75,210000
1999-05-25,0.75,0.75,0.75,0.75,340000
1999-05-26,0.75,0.75,0.75,0.75,70000
1999-06-07,0.75,0.75,0.75,0.75,50000
1999-06-08,0.72,0.74,0.72,0.74,120000
1999-06-09,0.7,0.75,0.7,0.75,40000
1999-06-10,0.76,0.76,0.76,0.76,20000
1999-06-14,0.76,0.76,0.75,0.75,1850000
1999-06-15,0.76,0.76,0.76,0.76,20000
1999-06-16,0.77,0.77,0.77,0.77,170000
1999-06-17,0.78,0.79,0.78,0.79,40000
1999-06-23,0.71,0.71,0.71,0.71,30000
1999-06-24,0.76,0.78,0.76,0.78,170000
1999-06-25,0.79,0.79,0.79,0.79,180000
1999-06-29,0.81,0.81,0.81,0.81,20000
1999-06-30,0.82,0.82,0.8,0.8,60000
1999-07-01,0.79,0.79,0.79,0.79,10000
1999-07-05,0.78,0.78,0.78,0.78,180000
1999-07-06,0.8,0.8,0.8,0.8,10000
1999-07-08,0.81,0.82,0.81,0.81,70000
1999-07-09,0.81,0.81,0.81,0.81,40000
1999-07-12,0.81,0.81,0.81,0.81,20000
1999-07-13,0.81,0.81,0.81,0.81,30000
1999-07-14,0.82,0.82,0.82,0.82,70000
1999-07-15,0.9,0.9,0.82,0.83,320000
1999-07-16,0.86,0.92,0.86,0.92,410000
1999-07-19,0.92,0.92,0.9,0.9,200000
1999-07-20,0.88,0.88,0.88,0.88,10000
1999-07-21,0.83,0.83,0.81,0.81,70000
1999-08-02,0.7,0.81,0.7,0.81,230000
1999-08-05,0.8,0.8,0.8,0.8,50000
1999-08-09,0.8,0.8,0.8,0.8,50000
1999-08-10,0.8,0.8,0.79,0.8,70000
1999-08-11,0.79,0.79,0.78,0.78,70000
1999-08-12,0.78,0.78,0.78,0.78,10000
1999-08-13,0.75,0.75,0.75,0.75,100000
1999-08-23,0.88,0.88,0.88,0.88,10000
1999-08-31,0.8,0.8,0.8,0.8,50000
1999-09-01,0.78,0.78,0.78,0.78,160000
1999-09-07,0.71,0.75,0.71,0.75,150000
1999-09-08,0.75,0.75,0.75,0.75,10000
1999-09-13,0.7,0.7,0.7,0.7,10000
1999-09-14,0.75,0.75,0.75,0.75,50000
