date,open,high,low,close,volume
2000-01-03,4.45,4.45,4.45,4.45,1000
2000-01-04,4.4,4.4,4.2,4.2,35000
2000-01-05,4.1,4.1,4.05,4.05,200000
2000-01-06,4.0,4.05,4.0,4.05,242000
2000-01-07,4.1,4.1,4.1,4.1,514000
2000-01-10,4.4,4.4,4.4,4.4,2000
2000-01-11,4.1,4.1,4.0,4.0,47000
2000-01-12,4.0,4.0,4.0,4.0,300000
2000-01-13,4.0,4.0,3.95,3.95,48000
2000-01-17,3.95,4.1,3.95,4.1,11000
2000-01-18,4.0,4.0,3.95,3.95,79000
2000-01-19,3.95,4.0,3.95,3.95,246000
2000-01-20,3.9,3.9,3.85,3.85,213000
2000-01-21,3.85,3.85,3.7,3.85,780000
2000-01-24,3.8,3.8,3.8,3.8,288000
2000-01-25,3.7,3.7,3.45,3.45,435000
2000-01-26,3.45,3.45,3.25,3.25,264000
2000-01-27,3.25,3.25,3.2,3.2,2467000
2000-01-28,3.2,3.2,3.2,3.2,47000
2000-01-31,3.4,3.5,3.4,3.5,180000
2000-02-01,3.5,3.5,3.25,3.25,466000
2000-02-02,3.5,3.5,3.35,3.35,5581000
2000-02-03,3.4,3.4,3.2,3.3,862000
2000-02-04,3.3,3.5,3.25,3.4,386000
2000-02-08,3.3,3.3,3.3,3.3,10000
2000-02-09,3.3,3.35,3.25,3.3,214000
2000-02-10,3.35,3.35,3.35,3.35,6000
2000-02-11,3.35,3.35,3.35,3.35,10000
2000-02-15,3.35,3.35,3.35,3.35,57000
2000-02-16,3.3,3.3,3.25,3.3,57000
2000-02-18,3.25,3.3,3.1,3.25,469000
2000-02-21,3.25,3.25,3.25,3.25,1000
2000-02-22,3.15,3.15,3.15,3.15,3000
2000-02-23,3.15,3.15,3.15,3.15,141000
2000-02-24,3.3,3.3,3.3,3.3,121000
2000-02-28,3.3,3.3,3.3,3.3,37000
2000-02-29,3.3,3.3,3.2,3.2,105000
2000-03-01,3.2,3.2,3.0,3.2,629000
2000-03-02,3.15,3.15,3.1,3.1,322000
2000-03-03,3.15,3.15,3.1,3.1,600000
2000-03-06,3.1,3.2,3.1,3.15,136000
2000-03-08,3.2,3.2,3.2,3.2,10000
2000-03-09,3.25,3.25,3.2,3.25,20000
2000-03-10,3.2,3.2,3.2,3.2,84000
2000-03-13,3.2,3.2,3.15,3.15,128000
2000-03-14,3.15,3.15,3.1,3.15,80000
2000-03-15,3.15,3.15,3.1,3.1,207000
2000-03-16,3.1,3.1,3.1,3.1,30000
2000-03-17,3.3,4.3,3.3,3.5,1406000
2000-03-20,3.5,3.8,3.5,3.5,375000
2000-03-21,3.5,3.5,3.2,3.2,222000
2000-03-22,3.2,3.2,3.0,3.05,99000
2000-03-23,3.1,3.25,3.05,3.25,102000
2000-03-24,3.2,3.2,3.1,3.1,398000
2000-03-27,3.1,3.4,3.05,3.1,148000
2000-03-28,3.2,3.2,3.0,3.0,153000
2000-03-29,3.0,3.0,2.9,2.9,878000
2000-03-30,2.9,2.9,2.7,2.7,684000
2000-03-31,2.7,2.7,2.38,2.4,2845000
2000-04-03,2.4,2.7,2.4,2.7,624000
2000-04-04,2.75,2.75,2.65,2.7,466000
2000-04-05,2.8,3.0,2.8,3.0,917000
2000-04-06,3.0,3.0,2.9,2.9,101000
2000-04-07,2.9,2.9,2.75,2.75,103000
2000-04-10,2.8,2.9,2.8,2.9,142000
2000-04-11,2.8,2.8,2.8,2.8,213000
2000-04-12,2.7,2.7,2.6,2.65,672000
2000-04-13,2.65,2.65,2.65,2.65,81000
2000-04-14,2.6,2.6,2.6,2.6,87000
2000-04-17,2.4,2.5,2.4,2.5,37000
2000-04-18,2.5,2.55,2.44,2.44,123000
2000-04-19,2.44,2.44,2.44,2.44,12000
2000-04-25,2.44,2.44,2.44,2.44,10000
2000-04-27,2.44,2.5,2.44,2.44,131000
2000-04-28,2.48,2.5,2.44,2.44,143000
2000-05-02,2.46,2.46,2.38,2.4,426000
2000-05-03,2.38,2.4,2.38,2.4,92000
2000-05-04,2.4,2.4,2.38,2.4,30000
2000-05-05,2.4,2.4,2.36,2.36,113000
2000-05-08,2.4,2.4,2.4,2.4,1000
2000-05-10,2.3,2.3,2.3,2.3,52000
2000-05-11,2.24,2.24,2.24,2.24,50000
2000-05-12,2.1,2.1,2.1,2.1,143000
2000-05-15,2.38,2.38,2.38,2.38,1000
2000-05-18,2.38,2.38,2.36,2.36,68000
2000-05-22,2.4,2.4,2.4,2.4,1000
2000-05-23,2.1,2.12,2.1,2.12,2000
2000-05-24,1.0,1.0,1.0,1.0,480000
2000-05-25,2.46,2.46,2.44,2.44,146000
2000-05-26,2.42,2.42,2.42,2.42,3000
2000-05-29,1.06,1.1,1.06,1.08,674000
2000-05-30,2.3,2.3,2.16,2.16,285000
2000-05-31,1.02,1.02,0.99,1.0,882000
2000-06-01,2.02,2.06,2.0,2.02,459000
2000-06-02,2.02,2.1,2.02,2.08,163000
2000-06-05,2.1,2.12,2.1,2.12,35000
2000-06-06,2.14,2.4,2.14,2.38,251000
2000-06-07,2.38,2.4,2.38,2.38,62000
2000-06-08,2.38,2.38,2.38,2.38,40000
2000-06-09,2.3,2.32,2.3,2.32,31000
2000-06-13,2.3,2.3,2.3,2.3,10000
2000-06-14,2.3,2.3,2.3,2.3,3000
2000-06-16,2.3,2.38,2.3,2.38,40000
2000-06-19,2.3,2.3,2.3,2.3,91000
2000-06-20,2.2,2.3,2.2,2.2,1543000
2000-06-21,2.3,2.3,2.3,2.3,1000
2000-06-22,2.2,2.3,2.2,2.3,605000
2000-06-23,2.2,2.2,2.2,2.2,6000
2000-06-26,2.2,2.2,2.2,2.2,104000
2000-06-29,2.3,2.3,2.3,2.3,19000
2000-06-30,2.3,2.3,2.3,2.3,39000
2000-07-03,2.32,2.32,2.32,2.32,36000
2000-07-05,2.1,2.1,2.1,2.1,20000
2000-07-06,2.0,2.2,2.0,2.0,424000
2000-07-07,2.0,2.0,1.96,1.96,703000
2000-07-10,2.0,2.0,1.96,1.96,515000
2000-07-11,1.98,2.06,1.98,2.02,615000
2000-07-12,2.02,2.2,2.02,2.2,4857000
2000-07-14,2.18,2.18,2.18,2.18,35000
2000-07-19,2.02,2.02,2.0,2.0,229000
2000-07-26,2.0,2.0,1.92,1.92,194000
2000-07-27,1.9,1.9,1.9,1.9,1862000
2000-07-28,1.9,2.0,1.88,2.0,505000
2000-07-31,1.9,1.9,1.9,1.9,40000
2000-08-02,1.88,1.88,1.82,1.86,1939000
2000-08-03,1.86,2.0,1.86,2.0,9501000
2000-08-04,2.0,2.0,2.0,2.0,50000
2000-08-07,1.9,1.9,1.9,1.9,64000
2000-08-09,2.0,2.0,2.0,2.0,1213000
2000-08-11,1.9,1.9,1.9,1.9,140000
2000-08-14,2.0,2.0,2.0,2.0,2000
2000-08-15,1.94,1.94,1.9,1.9,50000
2000-08-16,1.9,1.9,1.9,1.9,25000
2000-08-17,2.0,2.0,2.0,2.0,263000
2000-08-18,1.96,2.0,1.94,2.0,447000
2000-08-21,2.0,2.0,2.0,2.0,2000
2000-08-22,2.0,2.0,1.98,1.98,302000
2000-08-23,2.0,2.0,1.96,1.96,243000
2000-08-24,2.0,2.0,2.0,2.0,757000
2000-08-25,2.02,2.02,1.98,1.98,274000
2000-08-30,2.02,2.06,2.0,2.02,1931000
2000-08-31,2.04,2.04,1.9,1.9,850000
2000-09-01,2.0,2.04,2.0,2.04,307000
2000-09-04,2.0,2.0,1.94,1.94,157000
2000-09-05,1.98,1.98,1.9,1.9,706000
2000-09-06,1.98,2.0,1.98,2.0,8920000
2000-09-08,1.98,2.0,1.98,1.98,194000
2000-09-11,1.98,2.02,1.98,1.98,633000
2000-09-12,1.98,1.98,1.9,1.9,75000
2000-09-13,1.9,1.9,1.9,1.9,10000
2000-09-14,1.9,1.9,1.9,1.9,2000000
2000-09-19,1.8,1.8,1.6,1.7,129000
2000-09-20,1.6,1.64,1.6,1.64,101000
2000-09-21,1.64,1.64,1.6,1.6,602000
2000-09-26,1.6,1.6,1.6,1.6,79000
2000-09-27,1.62,1.64,1.62,1.64,148000
2000-09-29,1.66,1.66,1.66,1.66,3433000
2000-10-05,1.6,1.6,1.5,1.5,2230000
2000-10-09,1.48,1.48,1.48,1.48,63000
2000-10-10,1.46,1.46,1.44,1.44,22000
2000-10-11,1.34,1.34,1.3,1.3,356000
2000-10-12,1.3,1.3,1.28,1.28,89000
2000-10-13,1.24,1.24,1.24,1.24,20000
2000-10-16,1.2,1.2,1.18,1.18,62000
2000-10-17,1.18,1.18,1.18,1.18,20000
2000-10-18,1.16,1.16,1.14,1.14,175000
2000-10-19,1.14,1.14,1.1,1.1,273000
2000-10-20,1.1,1.1,1.04,1.04,8550000
2000-10-23,1.04,1.06,1.04,1.06,778000
2000-10-24,1.04,1.04,1.02,1.02,40000
2000-10-25,1.04,1.04,0.96,0.96,1060000
2000-10-26,0.96,0.96,0.9,0.9,460000
2000-10-27,0.9,0.9,0.9,0.9,100000
2000-10-31,0.89,0.89,0.89,0.89,50000
2000-11-06,0.9,0.94,0.9,0.93,3430000
2000-11-07,0.95,1.02,0.95,1.0,790000
2000-11-08,0.97,0.97,0.96,0.97,40000
2000-11-09,0.97,0.97,0.95,0.95,380000
2000-11-10,0.95,0.95,0.95,0.95,60000
2000-11-15,0.95,0.95,0.9,0.9,8070000
2000-11-16,0.89,0.89,0.87,0.88,300000
2000-11-17,0.88,0.9,0.87,0.87,350000
2000-11-21,0.9,0.9,0.89,0.9,260000
2000-11-23,1.0,1.12,1.0,1.04,20760000
2000-11-24,1.0,1.04,1.0,1.02,202000
2000-11-27,1.02,1.06,1.02,1.06,505000
2000-11-28,1.06,1.06,1.0,1.0,1750000
2000-11-29,1.0,1.0,0.98,1.0,1140000
2000-12-01,0.98,0.98,0.98,0.98,30000
2000-12-04,0.98,0.98,0.98,0.98,10000
2000-12-05,0.98,1.04,0.98,1.04,420000
2000-12-06,1.0,1.0,1.0,1.0,542000
2000-12-19,0.95,0.96,0.95,0.95,100000
2000-12-20,0.95,0.96,0.95,0.96,200000
2000-12-26,0.99,1.0,0.98,1.0,1000000
2000-12-27,1.0,1.08,1.0,1.08,2210000
2000-12-28,1.02,1.02,1.02,1.02,578000
2000-12-29,1.0,1.0,1.0,1.0,320000
2001-01-02,0.95,1.0,0.95,1.0,1390000
2001-01-03,1.0,1.0,1.0,1.0,10000
2001-01-09,0.99,1.0,0.99,1.0,380000
2001-01-10,1.0,1.0,1.0,1.0,10000
2001-01-11,1.0,1.0,1.0,1.0,30000
2001-01-15,1.0,1.0,1.0,1.0,250000
2001-01-17,1.0,1.0,1.0,1.0,10000
2001-01-18,0.95,0.96,0.86,0.86,260000
2001-01-22,1.08,1.14,1.0,1.0,2380000
2001-01-23,1.0,1.0,1.0,1.0,710000
2001-01-24,1.0,1.06,1.0,1.04,1350000
2001-01-25,1.02,1.08,1.0,1.06,7046000
2001-01-26,1.06,1.08,1.0,1.0,5715000
2001-01-29,1.02,1.06,1.0,1.0,3800000
2001-01-30,1.0,1.0,1.0,1.0,5260000
2001-01-31,1.0,1.08,1.0,1.08,19350000
2001-02-01,1.08,1.22,1.08,1.12,9216000
2001-02-02,1.18,1.22,1.08,1.1,3903000
2001-02-05,1.14,1.14,1.06,1.06,574000
2001-02-06,1.08,1.08,1.04,1.04,1124000
2001-02-07,1.06,1.06,1.04,1.06,480000
