date,open,high,low,close,volume
1999-02-12,0.225,0.225,0.225,0.225,300000
1999-02-19,0.22,0.22,0.22,0.22,50000
1999-02-23,0.24,0.24,0.24,0.24,120000
1999-02-24,0.23,0.23,0.23,0.23,70000
1999-02-26,0.24,0.24,0.24,0.24,300000
1999-03-01,0.26,0.26,0.26,0.26,10000
1999-03-02,0.22,0.22,0.22,0.22,30000
1999-03-03,0.23,0.23,0.22,0.225,500000
1999-03-05,0.24,0.26,0.24,0.25,770000
1999-03-09,0.24,0.24,0.24,0.24,100000
1999-03-10,0.23,0.23,0.23,0.23,310000
1999-03-11,0.25,0.25,0.24,0.24,350000
1999-03-12,0.24,0.24,0.24,0.24,30000
1999-03-15,0.24,0.25,0.24,0.24,3940000
1999-03-16,0.25,0.25,0.235,0.24,920000
1999-03-17,0.235,0.24,0.235,0.24,60000
1999-03-18,0.25,0.25,0.25,0.25,950000
1999-03-23,0.26,0.26,0.26,0.26,100000
1999-03-25,0.24,0.24,0.24,0.24,30000
1999-03-26,0.25,0.26,0.25,0.25,350000
1999-03-30,0.24,0.24,0.24,0.24,190000
1999-03-31,0.24,0.24,0.24,0.24,780000
1999-04-05,0.24,0.24,0.24,0.24,10000
1999-04-06,0.26,0.28,0.26,0.26,870000
1999-04-07,0.27,0.31,0.27,0.31,7220000
1999-04-08,0.3,0.3,0.29,0.3,1440000
1999-04-12,0.3,0.3,0.29,0.29,1460000
1999-04-13,0.29,0.29,0.28,0.28,1320000
1999-04-14,0.29,0.29,0.28,0.28,700000
1999-04-15,0.26,0.26,0.26,0.26,550000
1999-04-16,0.26,0.26,0.25,0.25,1460000
1999-04-19,0.26,0.27,0.26,0.27,1270000
1999-04-20,0.27,0.27,0.26,0.26,1900000
1999-04-21,0.26,0.26,0.25,0.25,1550000
1999-04-22,0.25,0.26,0.24,0.26,2620000
1999-04-23,0.27,0.28,0.27,0.27,1040000
1999-04-26,0.28,0.29,0.28,0.29,5220000
1999-04-27,0.29,0.31,0.29,0.3,7490000
1999-04-28,0.31,0.33,0.3,0.3,4740000
1999-04-29,0.3,0.31,0.29,0.31,1200000
1999-04-30,0.31,0.33,0.31,0.32,5720000
1999-05-03,0.32,0.33,0.32,0.32,1750000
1999-05-04,0.34,0.34,0.31,0.31,2380000
1999-05-05,0.33,0.35,0.32,0.34,10210000
1999-05-06,0.35,0.38,0.35,0.38,11850000
1999-05-07,0.38,0.4,0.34,0.34,6860000
1999-05-10,0.35,0.36,0.35,0.36,2370000
1999-05-11,0.36,0.36,0.35,0.35,1290000
1999-05-12,0.36,0.37,0.36,0.37,1580000
1999-05-13,0.38,0.38,0.37,0.38,5730000
1999-05-14,0.38,0.38,0.37,0.37,2290000
1999-05-17,0.37,0.37,0.35,0.35,1180000
1999-05-18,0.36,0.38,0.36,0.37,1830000
1999-05-19,0.37,0.37,0.36,0.37,3540000
1999-05-20,0.36,0.36,0.36,0.36,3350000
1999-05-21,0.35,0.35,0.34,0.35,760000
1999-05-24,0.36,0.36,0.34,0.34,300000
1999-05-25,0.34,0.35,0.34,0.35,240000
1999-05-26,0.35,0.35,0.35,0.35,540000
1999-05-27,0.35,0.35,0.34,0.35,1750000
1999-05-31,0.34,0.34,0.33,0.33,1800000
1999-06-01,0.32,0.33,0.32,0.33,160000
1999-06-02,0.32,0.33,0.32,0.33,1300000
1999-06-03,0.33,0.33,0.33,0.33,300000
1999-06-04,0.33,0.33,0.32,0.32,2720000
1999-06-07,0.31,0.31,0.31,0.31,340000
