date,open,high,low,close,volume
2012-05-11,7.7,7.71,4.02,4.9,8191000
2012-05-14,5.09,5.15,3.65,3.75,2730000
2012-05-15,3.73,3.73,2.51,3.05,1388000
2012-05-16,3.16,3.3,2.6,2.6,2546000
2012-05-17,2.7,3.6,2.7,3.48,2972000
2012-05-18,3.39,4.0,3.13,3.6,2298000
2012-05-21,3.6,3.9,3.6,3.7,947000
2012-05-22,3.7,3.89,3.5,3.55,847000
2012-05-23,3.55,3.55,3.39,3.48,244000
2012-05-24,3.55,3.6,3.28,3.3,434000
2012-05-25,3.46,3.5,3.23,3.23,683000
2012-05-28,3.25,3.25,3.12,3.14,529000
2012-05-29,3.15,3.37,3.14,3.15,623000
2012-05-30,3.16,3.17,3.0,3.1,789000
2012-05-31,3.2,3.2,3.0,3.02,743000
2012-06-01,3.0,3.35,3.0,3.15,672000
2012-06-04,3.15,3.15,3.04,3.14,126000
2012-06-05,3.14,3.14,3.05,3.06,86000
2012-06-06,3.06,3.25,3.06,3.2,599000
2012-06-07,3.25,3.25,3.18,3.18,371000
2012-06-08,3.16,3.16,3.1,3.15,93000
2012-06-11,3.24,3.24,3.12,3.16,130000
2012-06-13,3.2,3.2,3.12,3.12,180000
2012-06-14,3.14,3.19,3.12,3.12,63000
2012-06-15,3.16,3.18,3.08,3.08,85000
2012-06-18,3.16,3.16,3.1,3.1,66000
2012-06-19,3.05,3.1,3.05,3.09,136000
2012-06-20,3.1,3.12,3.07,3.09,401000
2012-06-21,3.08,3.11,3.08,3.08,450000
2012-06-22,3.08,3.09,3.07,3.08,163000
2012-06-25,3.08,3.1,3.07,3.08,318000
2012-06-26,3.08,3.09,3.08,3.08,61000
2012-06-27,3.07,3.09,3.06,3.07,110000
2012-06-28,3.09,3.25,3.05,3.13,378000
2012-06-29,3.13,3.13,3.08,3.1,241000
2012-07-02,3.09,3.17,3.09,3.1,127000
2012-07-03,3.1,3.17,3.1,3.13,229000
2012-07-04,3.15,3.17,3.13,3.14,74000
2012-07-05,3.15,3.17,3.14,3.14,250000
2012-07-06,3.14,3.55,3.14,3.55,1296000
2012-07-09,3.5,3.53,3.35,3.45,448000
2012-07-10,3.35,3.36,3.2,3.3,441000
2012-07-11,3.3,3.5,3.18,3.22,578000
2012-07-12,3.22,3.39,3.16,3.32,101000
2012-07-13,3.2,3.5,3.2,3.44,100000
2012-07-16,3.4,3.4,3.21,3.26,141000
2012-07-17,3.26,3.3,3.2,3.25,218000
2012-07-18,3.4,3.4,3.02,3.09,1298000
2012-07-19,3.15,3.17,3.11,3.12,141000
2012-07-20,3.12,3.2,3.12,3.17,33000
2012-07-23,3.17,3.17,3.05,3.09,72000
2012-07-24,3.06,3.15,3.05,3.09,134000
2012-07-25,3.09,3.25,3.09,3.16,109000
2012-07-26,3.16,3.16,3.1,3.13,45000
2012-07-27,3.13,3.13,3.11,3.12,73000
2012-07-30,3.13,3.16,3.12,3.13,89000
2012-07-31,3.13,3.13,3.09,3.1,368000
2012-08-01,3.18,3.18,3.08,3.14,101000
2012-08-02,3.08,3.09,3.05,3.09,255000
2012-08-03,3.08,4.1,3.08,4.0,6696000
2012-08-06,4.33,4.63,4.2,4.31,3980000
2012-08-08,4.31,4.31,4.05,4.05,1292000
2012-08-09,4.1,4.14,3.98,3.98,1007000
2012-08-10,4.1,4.42,4.05,4.06,1556000
2012-08-13,4.07,4.2,4.05,4.06,262000
2012-08-14,4.03,4.25,4.03,4.09,651000
2012-08-15,4.1,4.2,4.09,4.09,115000
2012-08-16,4.09,4.09,3.98,3.98,266000
2012-08-17,3.92,3.94,3.85,3.85,471000
2012-08-22,3.86,4.0,3.85,3.85,105000
2012-08-23,3.96,3.96,3.85,3.85,43000
2012-08-24,3.8,3.8,3.57,3.58,543000
2012-08-28,3.58,3.74,3.58,3.63,179000
2012-08-29,3.62,3.62,3.58,3.58,198000
2012-08-30,3.56,3.6,3.56,3.6,164000
2012-08-31,3.6,3.6,3.55,3.57,128000
2012-09-03,3.59,3.68,3.59,3.65,114000
2012-09-04,3.65,3.7,3.56,3.56,137000
2012-09-05,3.57,3.57,3.45,3.45,438000
2012-09-06,3.46,3.46,3.41,3.41,108000
2012-09-07,3.45,3.5,3.4,3.4,292000
2012-09-10,3.54,3.54,3.39,3.39,127000
2012-09-11,3.38,3.38,3.32,3.33,486000
2012-09-12,3.33,3.35,3.3,3.33,245000
2012-09-13,3.33,3.33,3.28,3.29,405000
2012-09-14,3.3,3.32,3.28,3.29,241000
2012-09-17,3.29,3.33,3.29,3.3,311000
2012-09-18,3.3,3.3,3.27,3.28,319000
