date,open,high,low,close,volume
1999-02-04,14.25,14.5,13.75,13.75,54400
1999-02-05,13.75,13.75,13.75,13.75,91900
1999-02-08,13.75,13.75,13.75,13.75,91900
1999-02-09,13.75,13.75,13.75,13.75,91900
1999-02-10,13.75,13.75,13.75,13.75,91900
1999-02-11,13.75,13.75,13.75,13.75,91900
1999-02-12,13.75,13.75,13.75,13.75,8500
1999-02-15,14.0,14.25,14.0,14.25,6900
1999-02-16,14.0,14.25,14.0,14.25,2100
1999-02-17,14.25,14.25,14.0,14.0,35200
1999-02-19,14.5,14.5,14.25,14.25,23900
1999-02-22,14.5,15.25,14.5,15.0,116900
1999-02-23,15.0,15.0,14.75,15.0,127500
1999-02-24,14.25,14.5,14.25,14.5,33900
1999-02-25,14.25,14.5,14.25,14.5,25500
1999-02-26,14.75,15.0,14.5,15.0,78000
1999-03-01,14.5,14.5,14.5,14.5,5000
1999-03-02,14.25,14.5,14.25,14.5,116000
1999-03-03,14.5,14.5,14.25,14.5,205800
1999-03-04,14.5,14.5,14.25,14.5,87800
1999-03-05,14.5,14.5,14.0,14.5,47000
1999-03-08,14.25,14.5,14.0,14.5,130400
1999-03-09,14.25,14.25,14.25,14.25,30500
1999-03-10,14.25,14.75,14.25,14.5,32000
1999-03-12,14.25,14.25,14.25,14.25,101800
1999-03-15,14.5,15.25,14.5,15.25,50600
1999-03-16,14.5,14.5,14.5,14.5,14400
1999-03-17,14.5,15.0,14.25,15.0,64900
1999-03-18,14.5,15.25,14.5,15.25,42800
1999-03-22,14.5,15.25,14.5,15.25,27500
1999-03-23,15.0,15.25,15.0,15.25,87800
1999-03-24,14.5,15.0,14.5,15.0,105100
1999-03-25,15.0,15.0,14.5,14.75,150600
1999-03-26,14.5,14.5,14.5,14.5,300
1999-03-29,14.5,14.75,14.5,14.5,155700
1999-03-30,14.75,14.75,14.5,14.5,302900
1999-03-31,14.5,14.75,14.5,14.5,209200
1999-04-05,14.25,14.75,14.25,14.75,58400
1999-04-06,15.0,15.5,15.0,15.0,91200
1999-04-07,15.0,15.0,15.0,15.0,275500
1999-04-08,15.25,17.0,15.25,17.0,311100
1999-04-12,17.5,18.0,17.0,17.0,443100
1999-04-13,17.0,18.5,17.0,18.0,311500
1999-04-14,18.0,18.25,17.75,18.0,658100
1999-04-19,20.75,23.0,20.75,23.0,406800
1999-04-20,22.0,23.0,22.0,22.5,454800
1999-04-21,22.75,24.5,22.75,24.25,2155500
1999-04-22,24.5,27.5,24.5,26.5,1612500
1999-04-23,27.0,27.5,26.5,26.5,979900
1999-04-26,26.5,26.5,25.5,25.5,465400
1999-04-27,26.5,27.0,26.5,27.0,1029900
1999-04-29,31.0,33.0,31.0,33.0,1754900
1999-04-30,33.0,33.5,32.5,33.5,1666800
1999-05-03,32.5,33.0,32.0,32.0,1171900
1999-05-04,32.5,33.0,32.0,33.0,1546700
1999-05-05,32.5,32.5,31.0,31.0,96400
1999-05-06,32.5,32.5,31.5,32.0,530400
1999-05-07,32.0,32.5,32.0,32.0,278800
1999-05-10,32.5,32.5,31.5,32.0,377400
1999-05-11,31.5,32.0,31.5,32.0,378100
1999-05-12,31.5,32.5,31.5,32.5,638000
1999-05-13,33.5,37.0,33.0,34.5,1043300
1999-05-14,35.0,35.5,34.0,34.5,865900
1999-05-17,34.0,34.5,32.5,34.0,256500
1999-05-18,34.0,34.0,32.5,33.5,340300
1999-05-19,33.5,33.5,32.0,32.0,263200
1999-05-20,31.5,32.0,31.0,31.0,244900
1999-05-21,32.0,33.0,32.0,32.5,304200
1999-05-24,32.0,34.0,32.0,34.0,269300
1999-05-25,33.0,33.5,32.5,32.5,191000
1999-05-26,32.0,32.5,32.0,32.5,133900
1999-05-27,32.5,33.0,32.5,33.0,211600
1999-05-28,32.5,32.5,32.0,32.5,236000
1999-05-31,32.5,33.0,32.5,33.0,629100
1999-06-01,33.0,35.0,33.0,34.0,658200
1999-06-02,33.5,35.5,33.5,35.0,2638200
1999-06-03,35.0,35.0,33.5,33.5,274500
1999-06-04,34.5,34.5,33.0,33.0,370100
1999-06-07,33.0,33.0,32.5,32.5,8200
1999-06-08,32.0,33.0,32.0,33.0,91300
1999-06-09,33.0,33.5,33.0,33.5,305800
1999-06-10,33.0,33.0,33.0,33.0,95500
1999-06-11,33.0,33.5,33.0,33.5,147500
1999-06-14,33.5,33.5,33.0,33.0,95500
1999-06-15,33.0,33.0,33.0,33.0,67900
1999-06-16,33.0,33.0,33.0,33.0,227400
1999-06-17,33.0,33.0,33.0,33.0,186600
1999-06-18,33.0,33.5,33.0,33.5,243900
1999-06-21,33.0,33.5,33.0,33.0,72200
1999-06-22,33.0,33.5,33.0,33.0,4900
1999-06-23,33.0,33.5,32.0,32.0,1115200
1999-06-28,30.0,30.5,30.0,30.0,252300
1999-06-29,30.5,32.0,30.5,32.0,47000
1999-06-30,32.0,33.0,31.5,33.0,188200
1999-07-01,32.5,33.0,32.5,32.5,363500
1999-07-02,32.0,32.0,30.5,31.0,5700
1999-07-05,31.0,31.5,31.0,31.0,191800
1999-07-06,31.5,32.5,31.5,32.0,24400
1999-07-07,32.5,33.0,32.0,33.0,125600
1999-07-08,32.5,33.0,32.5,33.0,13500
1999-07-09,33.0,33.5,32.5,32.5,180300
1999-07-12,32.0,32.5,32.0,32.5,44000
1999-07-13,32.5,33.0,32.5,33.0,63500
1999-07-14,33.0,33.5,33.0,33.5,721100
1999-07-15,33.5,34.0,33.5,34.0,145800
1999-07-16,33.5,34.0,33.5,34.0,112100
1999-07-19,34.0,34.0,33.5,34.0,53700
1999-07-20,33.5,33.5,33.5,33.5,290900
1999-07-21,33.5,35.0,33.5,33.5,323400
1999-07-22,33.5,33.5,32.0,32.0,108800
1999-07-23,32.0,32.0,31.5,31.5,171100
1999-07-26,31.5,31.5,30.0,31.0,590400
1999-07-27,30.0,30.0,29.5,30.0,140400
1999-07-28,31.0,33.0,31.0,33.0,243600
1999-07-29,33.0,33.0,33.0,33.0,401600
1999-07-30,31.5,33.5,31.5,33.5,188100
1999-08-02,33.0,33.0,33.0,33.0,46100
1999-08-04,33.0,33.0,32.5,32.5,577000
1999-08-05,32.5,32.5,32.0,32.0,77500
1999-08-06,32.0,32.0,32.0,32.0,266200
1999-08-09,31.0,32.0,31.0,32.0,318000
1999-08-10,32.0,32.5,32.0,32.5,7100
1999-08-11,32.5,33.0,32.5,33.0,128500
1999-08-12,32.0,33.0,32.0,32.5,271500
1999-08-13,31.5,32.5,31.5,32.0,22500
1999-08-16,32.0,33.0,32.0,33.0,102800
