date,open,high,low,close,volume
2018-05-17,1.95,1.95,1.95,1.95,3000
2018-05-31,2.15,2.15,2.15,2.15,1000
2018-06-01,2.0,2.0,2.0,2.0,10000
2018-06-04,2.0,2.0,2.0,2.0,1000
2018-06-20,2.1,2.1,1.96,1.96,4000
2018-06-21,1.96,1.96,1.96,1.96,2000
2018-07-03,1.96,1.96,1.96,1.96,3000
2018-07-10,1.96,1.96,1.96,1.96,2000
2018-07-19,1.98,1.98,1.98,1.98,5000
2018-07-23,1.98,1.98,1.98,1.98,5000
2018-08-03,2.0,2.0,2.0,2.0,4000
2018-08-09,1.92,1.92,1.92,1.92,1000
2018-08-20,1.92,1.93,1.92,1.93,8000
2018-08-22,1.92,1.92,1.92,1.92,2000
2018-08-24,1.92,1.92,1.92,1.92,3000
2018-08-29,1.92,1.92,1.92,1.92,2000
2018-08-31,1.94,1.94,1.94,1.94,1000
2018-09-07,1.92,1.92,1.91,1.91,5000
2018-09-12,1.91,1.91,1.91,1.91,1000
2018-09-13,1.91,1.91,1.91,1.91,3000
2018-09-20,1.91,1.91,1.85,1.85,14000
2018-09-26,1.85,1.85,1.85,1.85,2000
2018-11-19,2.0,2.09,2.0,2.09,3000
2018-12-03,2.16,2.16,2.16,2.16,1000
2018-12-27,2.15,2.15,2.15,2.15,9000
2018-12-28,2.15,2.15,2.15,2.15,1000
2019-01-02,1.2,1.2,1.2,1.2,5000
2019-01-03,1.8,1.8,1.8,1.8,3000
2019-01-09,1.6,1.6,1.6,1.6,1000
2019-01-16,1.8,1.8,1.8,1.8,23000
2019-02-04,1.8,1.8,1.8,1.8,16000
2019-02-06,2.0,2.0,2.0,2.0,1000
2019-02-07,2.1,2.1,2.1,2.1,1000
2019-02-18,1.82,1.82,1.8,1.8,704000
2019-02-19,1.8,1.82,1.8,1.82,18000
2019-02-20,1.8,1.8,1.76,1.76,27000
2019-02-22,1.75,1.75,1.75,1.75,13000
2019-02-26,1.7,1.7,1.7,1.7,9000
2019-03-05,1.8,1.8,1.8,1.8,2000
2019-03-08,1.8,1.8,1.8,1.8,1000
2019-03-12,1.8,1.8,1.8,1.8,1000
2019-03-19,1.7,1.7,1.7,1.7,5000
2019-03-20,1.7,1.71,1.7,1.71,7000
2019-04-01,1.79,1.79,1.78,1.78,7000
2019-04-03,1.3,1.3,1.3,1.3,8000
2019-04-04,1.5,1.5,1.5,1.5,8000
2019-04-05,1.5,1.5,1.5,1.5,35000
2019-04-15,1.45,1.45,1.45,1.45,1000
2019-04-25,1.45,1.45,1.45,1.45,10000
2019-04-26,1.65,1.65,1.65,1.65,1000
2019-04-29,1.45,1.45,1.45,1.45,1000
2019-04-30,1.45,1.45,1.45,1.45,19000
2019-05-02,1.4,1.43,1.4,1.43,61000
2019-05-08,1.32,1.32,1.32,1.32,67000
2019-05-22,1.36,1.36,1.36,1.36,4000
2019-06-07,1.36,1.36,1.36,1.36,4000
2019-06-14,1.36,1.36,1.36,1.36,24000
2019-07-02,1.36,1.36,1.36,1.36,1000
2019-07-08,1.36,1.36,1.36,1.36,6000
2019-07-17,1.36,1.36,1.36,1.36,4000
2019-07-22,1.36,1.36,1.36,1.36,15000
2019-07-24,1.4,1.4,1.4,1.4,1000
2019-07-29,1.38,1.38,1.38,1.38,1000
2019-08-01,1.75,1.75,1.74,1.74,6000
2019-08-05,1.6,1.6,1.39,1.45,3000
2019-08-08,1.42,1.42,1.42,1.42,1000
2019-08-09,1.42,1.42,1.42,1.42,1000
2019-08-19,1.42,1.42,1.42,1.42,5000
2019-08-22,1.4,1.4,1.4,1.4,5000
2019-08-28,1.4,1.4,1.4,1.4,6000
2019-08-30,1.72,1.72,1.4,1.4,14000
2019-09-02,1.4,1.4,1.4,1.4,1000
2019-09-05,1.4,1.4,1.4,1.4,2000
2019-09-23,1.4,1.4,1.4,1.4,1000
2019-09-25,1.73,1.73,1.6,1.6,9000
2019-09-30,1.4,1.4,1.4,1.4,2000
2019-11-05,1.73,1.73,1.73,1.73,2000
2019-11-18,1.4,1.72,1.4,1.72,2000
2019-12-03,1.36,1.36,1.36,1.36,2000
2019-12-10,1.36,1.36,1.36,1.36,5000
2019-12-16,1.36,1.36,1.36,1.36,1000
2019-12-23,1.36,1.36,1.36,1.36,1000
2020-01-10,1.36,1.36,1.36,1.36,4000
2020-01-23,1.36,1.36,1.36,1.36,4000
2020-01-31,1.75,1.75,1.7,1.7,7000
2020-03-31,1.7,1.7,1.7,1.7,2000
2020-04-22,1.7,1.7,1.7,1.7,1000
