date,open,high,low,close,volume
2000-02-22,1.5,1.7,1.5,1.7,60000
2000-03-01,1.4,1.5,1.4,1.5,40000
2000-03-02,1.7,1.7,1.7,1.7,1000
2000-03-15,2.2,2.2,2.2,2.2,1000
2000-03-29,1.5,1.5,1.5,1.5,2000
2000-03-30,2.0,2.0,2.0,2.0,1000
2000-04-10,1.5,1.5,1.5,1.5,140000
2000-04-11,2.2,2.2,2.2,2.2,1000
2000-05-05,1.5,1.5,1.5,1.5,67000
2000-05-08,1.8,1.8,1.8,1.8,1000
2000-05-09,2.1,2.1,2.1,2.1,1000
2000-05-31,1.2,1.2,1.2,1.2,10000
2000-06-13,1.5,1.5,1.5,1.5,161000
2000-06-15,2.0,2.0,2.0,2.0,2000
2000-06-22,1.2,1.2,1.2,1.2,20000
2000-06-23,1.8,1.8,1.8,1.8,3000
2000-06-27,1.1,1.7,1.1,1.5,80000
2000-06-28,2.02,2.02,2.02,2.02,2000
2000-07-12,1.28,1.7,1.28,1.7,60000
2000-07-19,1.68,1.68,1.68,1.68,5000
2000-07-20,1.5,1.5,1.48,1.48,70000
2000-07-21,1.64,1.64,1.6,1.6,60000
2000-07-24,1.5,1.6,1.5,1.6,140000
2000-07-25,1.7,1.7,1.7,1.7,10000
2000-07-26,1.9,1.9,1.8,1.84,525000
2000-07-27,1.7,1.82,1.7,1.8,265000
2000-07-28,1.78,1.9,1.76,1.9,472000
2000-07-31,1.8,1.9,1.76,1.9,465891000
2000-08-03,1.6,1.6,1.56,1.56,60000
2000-08-04,1.54,1.54,1.48,1.48,37000
2000-08-10,1.76,1.76,1.76,1.76,5000
2000-08-15,1.8,1.8,1.7,1.7,155000
2000-08-16,1.72,1.72,1.68,1.68,35000
2000-08-17,1.66,1.7,1.62,1.7,80000
2000-08-18,1.68,1.68,1.62,1.62,40000
2000-08-21,1.7,1.7,1.7,1.7,5000
2000-09-06,1.9,1.9,1.9,1.9,5000
2000-09-08,1.7,1.7,1.7,1.7,5000
2000-09-11,1.68,1.7,1.68,1.7,6000
2000-09-12,1.7,1.7,1.7,1.7,1000
2000-09-13,1.7,1.7,1.7,1.7,10000
2000-09-20,1.7,1.7,1.7,1.7,10000
2000-09-26,1.7,1.7,1.7,1.7,1000
2000-09-27,1.7,1.7,1.7,1.7,1000
2000-09-28,1.8,1.8,1.7,1.7,1101000
2000-09-29,1.7,1.7,1.68,1.68,200000
2000-10-02,1.66,1.66,1.62,1.62,444000
2000-10-03,1.62,1.62,1.62,1.62,356000
2000-10-04,1.62,1.62,1.62,1.62,400000
2000-10-25,1.62,1.7,1.62,1.7,77000
2000-11-06,1.5,1.7,1.5,1.7,300000
2000-11-21,1.5,1.7,1.5,1.7,24000
2000-12-14,1.7,1.7,1.7,1.7,1000
2000-12-22,1.7,1.7,1.7,1.7,375879000
2000-12-27,1.7,1.7,1.7,1.7,133996000
2001-02-01,1.7,1.7,1.7,1.7,5000
2001-02-19,1.2,1.2,1.2,1.2,40000
2001-02-20,1.6,1.6,1.22,1.22,13000
2001-02-23,1.6,1.6,1.6,1.6,3000
2001-02-28,1.22,1.22,1.22,1.22,1000
2001-03-01,1.22,1.22,1.22,1.22,1000
2001-03-05,1.52,1.52,1.52,1.52,5000
2001-03-07,1.2,1.2,1.2,1.2,1000
2001-03-08,1.2,1.2,1.2,1.2,1000
2001-03-09,1.36,1.36,1.36,1.36,19000
2001-03-16,1.66,1.66,1.66,1.66,5000
2001-03-30,1.2,1.2,1.2,1.2,431000
2001-04-23,1.34,1.34,1.34,1.34,10000
2001-05-02,1.1,1.1,1.1,1.1,11000
2001-05-07,1.0,1.0,1.0,1.0,1000
2001-05-08,1.0,1.0,1.0,1.0,19000000
2001-05-21,1.3,1.3,1.3,1.3,10000
2001-05-28,1.0,1.0,1.0,1.0,1000
2001-05-31,1.2,1.2,1.2,1.2,10000
2001-06-04,1.0,1.0,1.0,1.0,1000
2001-06-13,1.2,1.2,1.2,1.2,10000
2001-06-14,1.0,1.0,1.0,1.0,1000
2001-06-22,1.2,1.2,1.2,1.2,10000
2001-06-25,1.28,1.28,1.28,1.28,50000
2001-06-26,1.38,1.38,1.38,1.38,1000
2001-06-27,1.38,1.38,1.38,1.38,1000
2001-06-28,1.38,1.38,1.38,1.38,10000
2001-06-29,1.04,1.34,1.04,1.04,3000
2001-07-10,1.28,1.28,1.2,1.2,32000
2001-07-26,1.2,1.2,1.2,1.2,20000
2001-08-09,1.04,1.04,1.02,1.02,10000
2001-08-14,1.28,1.28,1.02,1.02,6000
2001-08-24,1.02,1.02,1.02,1.02,8000
2001-08-31,1.16,1.16,1.16,1.16,5000
2001-09-12,1.2,1.2,1.2,1.2,1000
2001-09-25,0.8,0.8,0.8,0.8,17293000
2001-09-26,0.9,0.9,0.9,0.9,10000
2001-09-28,1.18,1.18,1.18,1.18,10000
2001-10-08,0.9,0.9,0.9,0.9,8000
2001-10-09,0.9,0.9,0.9,0.9,50000
2001-10-10,0.9,0.9,0.9,0.9,40000
2001-11-16,1.3,1.3,1.3,1.3,10000
2001-11-29,1.3,1.3,1.3,1.3,5000
2001-12-10,1.26,1.28,1.26,1.28,20000
2001-12-11,1.3,1.4,1.3,1.4,20000
2001-12-12,1.4,1.4,1.4,1.4,10000
2001-12-28,1.4,1.4,1.4,1.4,5000
2002-02-07,1.4,1.4,1.4,1.4,115000
2002-02-08,1.4,1.5,1.4,1.5,2060000
2002-02-27,1.5,1.7,1.5,1.7,10000
2002-03-07,1.1,1.1,1.1,1.1,22000
2002-03-13,1.12,1.12,1.12,1.12,1000
2002-03-14,1.12,1.12,1.12,1.12,50000
2002-03-25,1.42,1.42,1.42,1.42,1000
2002-04-10,1.06,1.06,1.06,1.06,12000
2002-04-16,1.1,1.1,1.1,1.1,100000
2002-04-22,1.04,1.04,1.04,1.04,10000
2002-04-25,1.04,1.04,1.0,1.0,29000
2002-04-26,1.0,1.0,1.0,1.0,30000
2002-05-08,1.04,1.04,1.0,1.0,40000
2002-05-09,1.0,1.0,1.0,1.0,20000
2002-06-21,1.0,1.0,1.0,1.0,10000
2002-07-18,1.0,1.0,1.0,1.0,10000
2002-07-25,1.0,1.0,1.0,1.0,120000
2002-08-06,1.0,1.0,1.0,1.0,50000
2002-10-10,1.0,1.0,0.8,0.8,1000000
2002-10-17,0.8,0.8,0.8,0.8,10000
2003-04-03,0.45,0.45,0.45,0.45,10000
2003-04-11,0.6,0.6,0.6,0.6,100000
2003-04-21,0.6,0.6,0.6,0.6,200000
2003-04-22,0.6,0.6,0.6,0.6,20000
2003-04-23,0.55,0.6,0.55,0.6,30000
2003-04-24,0.6,0.6,0.6,0.6,30000
2003-05-12,0.6,0.6,0.6,0.6,50000
2003-05-29,0.5,0.5,0.5,0.5,70000
2003-05-30,0.59,0.59,0.59,0.59,50000
2003-06-09,0.59,0.59,0.59,0.59,60000
2003-06-12,0.6,0.6,0.6,0.6,50000
2003-06-27,0.5,0.5,0.5,0.5,790000
2003-07-23,0.6,0.6,0.6,0.6,20000
2003-08-04,0.5,0.5,0.5,0.5,100000
2003-08-21,0.5,0.5,0.5,0.5,150000
2003-09-04,0.5,0.5,0.5,0.5,20000
2003-09-10,0.48,0.48,0.48,0.48,30000
2003-09-15,0.45,0.45,0.45,0.45,80000
2003-09-29,0.42,0.42,0.42,0.42,30000
2003-10-10,0.5,0.51,0.5,0.5,2170000
2003-11-12,0.4,0.4,0.4,0.4,10000
