date,open,high,low,close,volume
1999-06-22,3.8,3.8,3.8,3.8,3000
1999-06-28,3.0,3.0,3.0,3.0,1000
1999-06-29,3.5,3.5,3.5,3.5,20000
1999-06-30,3.55,3.55,3.5,3.5,41000
1999-07-01,3.6,3.6,3.6,3.6,12000
1999-07-02,4.0,4.2,3.9,4.2,40000
1999-07-08,4.8,5.6,4.8,5.6,31000
1999-07-09,5.2,5.2,4.5,4.5,2000
1999-07-15,3.5,3.5,3.5,3.5,1000
1999-07-30,3.5,3.5,3.5,3.5,3000
1999-10-11,4.5,4.5,4.5,4.5,1000
1999-12-07,3.5,3.5,3.5,3.5,5000
1999-12-08,2.7,2.7,2.7,2.7,2000
2000-03-08,2.7,2.75,2.7,2.75,24035000
2000-03-09,2.75,2.75,2.75,2.75,25000
2000-09-20,1.8,1.8,1.8,1.8,6982000
2000-09-22,1.8,1.8,1.8,1.8,570000
2001-02-14,1.8,1.8,1.1,1.1,89389000
2001-04-19,1.1,1.1,1.1,1.1,130000
2001-05-07,0.7,0.7,0.7,0.7,43000000
2001-05-11,0.45,0.45,0.45,0.45,43000000
2001-05-25,0.3,0.3,0.3,0.3,42640000
2001-06-22,0.3,0.3,0.3,0.3,45850000
2003-07-22,0.3,0.3,0.3,0.3,90000
2003-11-10,0.35,0.35,0.35,0.35,20000
2003-11-12,0.35,0.35,0.35,0.35,60000
2003-11-14,0.35,0.35,0.35,0.35,10000
2003-12-08,0.37,0.37,0.37,0.37,30000
2004-02-05,0.3,0.3,0.3,0.3,10000
2004-02-09,0.225,0.225,0.225,0.225,10000
2004-12-06,0.225,0.225,0.225,0.225,200000
2005-03-31,0.225,0.225,0.225,0.225,10000
2006-09-20,0.3,0.3,0.3,0.3,30000
2007-02-14,0.38,0.45,0.38,0.45,20000
2007-02-16,0.66,0.66,0.66,0.66,10000
2007-03-21,0.66,0.66,0.66,0.66,10000
2007-03-22,0.7,0.7,0.7,0.7,10000
2007-03-23,0.76,1.0,0.76,1.0,90000
2007-03-26,1.06,1.32,1.06,1.18,200000
2007-03-27,1.22,1.22,1.18,1.18,38000
2007-03-30,1.16,1.16,1.16,1.16,2000
2007-04-10,1.16,1.22,1.16,1.18,101000
2007-04-12,1.16,1.16,1.16,1.16,210000
2007-04-16,1.16,1.16,1.0,1.12,213000
2007-04-19,1.12,1.12,1.12,1.12,3000
2007-04-20,1.14,1.14,1.14,1.14,30000
2007-04-24,1.14,1.18,1.14,1.18,115000
2007-04-25,1.18,1.18,1.18,1.18,200000
2007-04-26,1.18,1.74,1.18,1.68,2205000
2007-04-27,1.7,1.7,1.5,1.5,350000
2007-05-03,1.18,1.3,1.18,1.3,79000
2007-05-04,1.3,1.3,1.3,1.3,10000
2007-05-09,1.3,1.3,1.18,1.2,5940000
2007-05-10,1.2,1.4,1.2,1.34,18976000
2007-05-11,1.34,1.48,1.32,1.44,9175000
2007-05-15,1.44,1.46,1.36,1.38,1967000
2007-05-16,1.38,1.44,1.32,1.34,2038000
2007-05-17,1.32,1.34,1.3,1.32,1104000
2007-05-18,1.32,1.4,1.32,1.34,2372000
2007-05-21,1.36,1.38,1.34,1.34,1510000
2007-05-22,1.32,1.32,1.26,1.28,45000
2007-05-23,1.32,1.32,1.24,1.3,361000
2007-05-24,1.3,1.44,1.3,1.38,8109000
2007-05-25,1.32,1.38,1.32,1.34,2335000
2007-05-28,1.38,1.38,1.3,1.34,1185000
2007-05-29,1.34,1.34,1.28,1.3,504000
2007-05-30,1.34,1.36,1.24,1.26,1998000
2007-05-31,1.28,1.32,1.28,1.3,2119000
2007-06-01,1.34,1.34,1.28,1.3,1038000
2007-06-04,1.32,1.42,1.32,1.38,5406000
2007-06-05,1.36,1.36,1.34,1.34,931000
2007-06-06,1.36,1.38,1.36,1.38,1312000
2007-06-07,1.36,1.56,1.36,1.56,8263000
2007-06-08,1.6,2.34,1.6,2.34,21376000
2007-06-12,2.8,3.5,2.8,3.1,20619000
2007-06-13,3.2,4.0,3.0,3.85,16393000
2007-06-14,4.5,4.5,3.5,3.5,22848000
2007-06-15,3.5,3.75,3.2,3.6,13926000
2007-10-30,3.6,3.9,2.75,2.9,25310000
2007-10-31,2.75,3.25,2.75,3.15,13326000
2007-11-05,3.05,3.35,3.05,3.25,11032000
2007-11-06,3.35,3.35,3.0,3.0,13301000
2007-11-07,2.9,3.1,2.9,2.9,3035000
2007-11-08,2.75,2.8,2.55,2.6,4432000
2007-11-09,2.6,2.65,2.38,2.44,3576000
2007-11-12,2.38,2.38,2.1,2.22,2007000
2007-11-13,2.2,2.38,2.18,2.38,876000
2007-11-14,2.3,2.46,2.26,2.26,347000
2007-11-15,2.3,2.3,2.24,2.26,752000
2007-11-16,2.38,2.38,2.22,2.22,121000
2007-11-19,2.22,2.26,2.18,2.26,888000
