date,open,high,low,close,volume
2018-04-30,75.35,75.4,75.2,75.4,4400
2018-05-03,75.2,75.25,75.0,75.0,31600
2018-05-04,75.1,75.1,75.0,75.05,55200
2018-05-07,75.1,75.2,75.1,75.1,670
2018-05-08,75.1,75.5,75.1,75.1,8320
2018-05-11,75.5,75.5,75.5,75.5,144010
2018-05-16,75.5,75.5,75.5,75.5,500
2018-05-17,75.5,75.5,75.5,75.5,53000
2018-05-18,75.2,75.2,75.2,75.2,1500
2018-05-21,75.2,75.2,75.2,75.2,1300
2018-05-22,75.2,75.2,75.15,75.15,14800
2018-05-23,75.15,75.8,75.15,75.8,22000
2018-05-28,75.9,75.9,75.9,75.9,520
2018-05-30,75.5,75.5,75.2,75.2,82000
2018-05-31,75.8,75.8,75.2,75.25,502710
2018-06-01,75.5,75.5,75.3,75.3,26890
2018-06-04,75.35,75.35,75.3,75.3,8400
2018-06-05,75.35,75.35,75.35,75.35,12160
2018-06-06,75.35,75.5,75.35,75.4,15450
2018-06-07,76.0,76.0,76.0,76.0,64000
2018-06-11,76.0,76.0,76.0,76.0,2500
2018-06-13,76.0,76.0,76.0,76.0,500
2018-06-18,76.0,76.0,76.0,76.0,500000
2018-06-19,75.3,75.3,75.3,75.3,85190
2018-06-22,75.4,75.4,75.4,75.4,24600
2018-06-25,75.3,75.4,75.3,75.4,6900
2018-06-26,75.3,75.3,75.3,75.3,800
2018-06-29,76.9,76.9,76.9,76.9,20
2018-07-02,75.05,75.1,75.05,75.1,3100
2018-07-06,75.1,75.1,75.1,75.1,15100
2018-07-09,75.2,75.3,75.2,75.25,17900
2018-07-10,75.4,75.4,75.4,75.4,70
2018-07-11,75.5,75.5,75.5,75.5,10150
2018-07-12,75.3,75.3,75.3,75.3,96720
2018-07-13,75.1,75.1,75.1,75.1,10000
2018-07-16,75.1,75.1,75.1,75.1,10300
2018-07-17,75.1,75.1,75.1,75.1,3800
2018-07-18,75.1,75.3,75.1,75.3,12100
2018-07-19,75.15,75.15,75.1,75.1,13340
2018-07-20,75.3,75.3,75.3,75.3,30
2018-07-23,75.1,75.1,75.1,75.1,26560
2018-07-24,75.05,75.05,75.05,75.05,527860
2018-07-25,75.05,75.05,75.05,75.05,52660
2018-07-26,75.05,75.05,75.05,75.05,20000
2018-07-27,75.05,75.05,75.05,75.05,20500
2018-07-31,75.05,75.05,75.05,75.05,20
2018-08-08,76.0,76.0,76.0,76.0,20
2018-08-09,75.0,75.0,75.0,75.0,900
2018-08-10,75.05,75.05,75.05,75.05,1040
2018-08-13,75.05,75.05,75.0,75.0,4000
2018-08-14,75.0,75.0,75.0,75.0,8600
2018-08-23,75.05,75.05,75.05,75.05,10200
2018-08-28,75.85,75.85,75.85,75.85,20
2018-08-30,75.85,75.95,75.0,75.5,501450
2018-09-04,75.5,75.5,75.0,75.0,8920
2018-09-06,75.0,75.0,75.0,75.0,4100
2018-09-10,75.0,75.0,75.0,75.0,2410
2018-09-11,75.0,75.0,75.0,75.0,8690
2018-09-12,75.0,75.0,75.0,75.0,4000
2018-09-13,75.0,75.0,75.0,75.0,9800
2018-09-17,75.0,75.1,75.0,75.05,25720
2018-09-18,75.0,75.0,75.0,75.0,61300
2018-09-19,75.0,75.0,75.0,75.0,2000
2018-09-21,72.0,75.85,72.0,75.85,1500
2018-09-24,72.05,75.2,72.05,75.2,310
2018-09-26,72.05,75.0,72.05,75.0,1090
2018-09-27,75.0,75.0,75.0,75.0,500000
2018-09-28,75.0,75.0,75.0,75.0,1000
2018-10-02,75.0,75.25,74.5,75.0,108410
2018-10-03,75.4,75.4,75.4,75.4,42840
2018-10-05,75.0,75.0,75.0,75.0,1000
2018-10-08,75.0,75.0,75.0,75.0,1000
2018-10-09,72.45,74.9,72.45,74.9,7000
2018-10-12,74.9,74.9,72.65,74.85,84820
2018-10-15,74.8,74.8,74.8,74.8,9000
2018-10-16,74.8,74.85,74.8,74.8,18200
2018-10-17,74.8,74.8,74.7,74.8,57990
2018-10-18,74.65,74.65,74.65,74.65,3800
2018-10-19,74.7,74.7,74.7,74.7,350
2018-10-22,74.4,74.4,74.4,74.4,300
2018-10-23,74.45,74.45,74.45,74.45,1700
2018-10-24,72.7,74.45,72.5,74.45,19900
2018-10-26,74.0,74.4,72.55,74.4,15900
