date,open,high,low,close,volume
2018-05-02,75.2,75.2,75.1,75.1,3000
2018-05-04,75.95,75.95,75.95,75.95,145360
2018-05-09,76.1,76.1,76.1,76.1,100
2018-05-10,76.1,76.1,76.1,76.1,6500
2018-05-17,76.0,76.8,76.0,76.8,2750
2018-05-21,75.6,75.6,75.6,75.6,6000
2018-05-22,75.7,75.7,75.6,75.6,5800
2018-05-23,75.65,75.65,75.65,75.65,13400
2018-05-24,75.65,75.65,75.15,75.15,40000
2018-06-05,76.5,76.5,76.5,76.5,27970
2018-06-18,76.0,76.0,76.0,76.0,279900
2018-06-19,76.0,76.0,76.0,76.0,13000
2018-06-22,76.0,76.0,76.0,76.0,44550
2018-06-26,76.0,76.0,76.0,76.0,2370
2018-06-28,75.3,75.3,75.3,75.3,2000
2018-07-02,75.3,75.3,75.0,75.0,6720
2018-07-03,75.3,75.3,75.3,75.3,5000
2018-07-06,76.25,77.0,76.2,77.0,31790
2018-07-09,76.1,77.0,76.1,77.0,48200
2018-07-10,76.0,76.0,75.2,76.0,83130
2018-07-11,75.3,75.3,75.3,75.3,11200
2018-07-16,75.5,75.5,75.3,75.3,19600
2018-07-20,75.3,75.3,75.3,75.3,1000
2018-07-24,76.7,76.7,75.3,75.3,63230
2018-07-26,76.7,76.7,76.7,76.7,26000
2018-07-31,75.2,75.2,75.2,75.2,5000
2018-08-02,75.0,75.0,75.0,75.0,15300
2018-08-03,75.0,75.2,75.0,75.2,34700
2018-08-06,75.2,75.2,75.2,75.2,25000
2018-08-07,75.2,75.2,75.2,75.2,13400
2018-08-09,75.3,75.3,75.3,75.3,6320
2018-08-14,75.4,75.4,75.4,75.4,1300
2018-08-20,75.5,75.5,75.4,75.4,1370
2018-08-22,75.75,75.75,75.75,75.75,10
2018-08-24,75.5,75.5,75.5,75.5,2000
2018-08-28,75.5,75.5,75.3,75.3,4300
2018-08-30,75.3,75.4,75.3,75.3,42290
2018-08-31,75.25,75.3,75.25,75.3,12800
2018-09-03,75.3,75.3,75.3,75.3,2000
