date,open,high,low,close,volume
2018-04-30,77.0,77.0,76.1,76.1,12000
2018-05-02,77.0,77.0,76.9,77.0,5000
2018-05-03,77.25,77.45,77.25,77.45,13020
2018-05-07,77.65,77.65,77.65,77.65,66270
2018-05-08,77.65,78.0,77.6,78.0,456370
2018-05-09,77.8,78.75,77.8,78.75,1620
2018-05-10,78.0,78.0,78.0,78.0,120
2018-05-11,78.0,78.0,78.0,78.0,30000
2018-05-15,78.7,78.7,78.7,78.7,2000
2018-05-16,78.9,78.9,78.9,78.9,2000
2018-05-17,79.45,79.5,77.9,77.9,31590
2018-05-22,77.9,77.9,76.5,76.5,7300
2018-05-28,76.6,76.6,76.6,76.6,30600
2018-05-29,77.4,77.4,76.7,76.7,25650
2018-06-01,78.0,78.0,78.0,78.0,360
2018-06-05,78.0,78.0,78.0,78.0,45600
2018-06-06,78.0,78.0,77.0,77.0,79940
2018-06-11,77.0,77.0,77.0,77.0,270
2018-06-13,78.5,78.5,78.5,78.5,70
2018-06-14,78.4,78.4,78.4,78.4,2000
2018-06-18,78.4,78.4,78.2,78.2,10300
2018-06-20,78.1,78.2,78.05,78.2,30540
2018-06-22,76.2,76.2,76.2,76.2,7300
2018-06-25,76.2,76.2,76.0,76.0,25300
2018-06-26,78.2,78.2,78.2,78.2,2600
2018-06-28,76.05,76.5,76.05,76.5,2170
2018-07-02,76.1,76.1,75.8,75.8,26710
2018-07-03,76.1,76.5,76.1,76.5,30700
2018-07-04,75.95,76.5,75.95,76.5,103360
2018-07-05,76.5,76.5,76.5,76.5,120
2018-07-06,76.4,76.5,76.0,76.5,17910
2018-07-09,76.5,76.6,76.4,76.4,13510
2018-07-10,76.5,77.5,76.4,77.5,9270
2018-07-11,76.4,77.5,75.9,77.5,20010
2018-07-12,77.5,77.5,77.5,77.5,20
2018-07-13,77.45,77.45,77.45,77.45,2000
2018-07-18,76.5,76.6,76.0,76.0,85020
2018-07-19,77.0,77.0,77.0,77.0,260
2018-07-23,76.9,76.9,76.9,76.9,150
2018-07-24,76.7,76.7,76.5,76.5,8850
2018-07-25,76.5,77.0,76.2,76.2,36570
2018-07-26,77.0,77.0,77.0,77.0,1000
2018-08-01,76.95,77.0,76.2,76.2,9100
2018-08-02,76.25,76.25,76.25,76.25,5010
2018-08-03,76.9,76.9,76.9,76.9,380
2018-08-07,76.9,76.95,76.1,76.1,27390
2018-08-08,76.0,76.9,76.0,76.9,137550
2018-08-09,76.0,76.95,76.0,76.95,8010
2018-08-10,76.9,77.0,76.55,76.55,15040
2018-08-13,77.0,77.0,77.0,77.0,6830
2018-08-15,76.6,76.6,76.6,76.6,1100
2018-08-17,76.55,76.55,76.5,76.5,20000
2018-08-22,76.4,77.0,76.4,77.0,12250
2018-08-24,76.5,77.0,76.5,77.0,19530
2018-08-28,77.0,77.0,77.0,77.0,8750
2018-08-29,77.0,77.0,77.0,77.0,7150
2018-08-30,77.0,77.0,77.0,77.0,8950
2018-08-31,76.5,76.5,76.5,76.5,25750
2018-09-03,76.5,76.5,75.6,75.6,877540
2018-09-04,76.0,76.0,75.6,76.0,672210
2018-09-05,76.0,76.0,75.5,75.5,546970
2018-09-06,75.6,75.9,75.6,75.9,25920
2018-09-07,75.6,75.7,75.5,75.6,370810
2018-09-10,75.6,75.6,75.6,75.6,45820
2018-09-11,75.6,75.6,75.6,75.6,39000
2018-09-12,75.6,75.6,75.6,75.6,46500
2018-09-13,75.9,76.0,75.25,75.25,77000
2018-09-14,75.95,76.5,75.95,76.5,50500
2018-09-17,76.0,76.0,75.8,75.8,28000
2018-09-18,75.8,76.9,75.0,75.45,137410
2018-09-19,75.0,75.4,75.0,75.0,123300
2018-09-20,75.35,75.35,75.0,75.0,16500
2018-09-21,75.3,75.3,75.0,75.1,15870
2018-09-24,75.05,75.05,75.0,75.0,44400
