date,open,high,low,close,volume
2018-05-04,76.2,77.0,76.15,77.0,5020
2018-05-08,77.0,77.15,76.2,77.0,89770
2018-05-10,77.0,77.25,77.0,77.25,38700
2018-05-11,77.0,77.0,77.0,77.0,11010
2018-05-15,77.0,77.0,77.0,77.0,13400
2018-05-16,76.2,77.15,76.2,77.15,13900
2018-05-17,77.0,77.0,77.0,77.0,3800
2018-05-18,77.0,77.0,76.2,77.0,66570
2018-05-21,76.95,77.0,76.2,76.2,99650
2018-05-22,76.95,77.0,76.95,77.0,197910
2018-05-23,77.0,77.0,77.0,77.0,15570
2018-05-24,77.0,77.0,76.9,77.0,125460
2018-05-25,77.0,77.0,77.0,77.0,7500
2018-05-28,77.0,77.0,77.0,77.0,2100
2018-05-29,77.0,77.0,77.0,77.0,2800
2018-05-31,77.0,77.0,77.0,77.0,2800
2018-06-04,76.25,76.25,76.25,76.25,2500
2018-06-05,76.25,76.25,76.2,76.2,26600
2018-06-06,77.0,77.0,77.0,77.0,8500
2018-06-13,76.2,76.2,76.1,76.1,22120
2018-06-14,76.0,76.0,76.0,76.0,13400
2018-06-18,76.0,76.5,76.0,76.5,6500
2018-06-19,76.2,76.2,75.9,75.9,4780
2018-06-20,76.0,76.0,75.9,75.9,10470
2018-06-22,76.1,76.15,76.1,76.15,1000
2018-06-25,76.0,76.35,75.0,75.0,84170
2018-06-26,75.1,76.0,75.1,76.0,59800
2018-06-27,76.0,76.55,76.0,76.0,30100
2018-06-28,76.5,76.5,76.5,76.5,800
2018-06-29,76.0,76.6,75.3,76.6,5840
2018-07-02,76.65,76.85,76.65,76.85,5000
2018-07-03,76.5,77.5,76.5,77.5,53200
2018-07-05,77.0,77.0,77.0,77.0,6520
2018-07-09,77.0,77.0,77.0,77.0,13000
2018-07-10,75.15,77.0,75.15,76.9,72510
2018-07-12,76.0,76.0,75.4,75.4,26930
2018-07-13,75.6,75.9,75.4,75.6,59580
2018-07-16,75.6,75.6,75.5,75.5,1800
2018-07-17,75.5,75.5,75.5,75.5,5260
2018-07-18,75.5,75.5,75.5,75.5,23410
2018-07-19,75.5,75.5,75.2,75.5,105050
2018-07-20,75.45,75.45,75.45,75.45,3000
2018-07-23,75.5,75.5,75.5,75.5,20400
2018-07-24,75.45,75.5,75.45,75.5,5530
2018-07-25,75.5,75.5,75.5,75.5,62990
2018-07-26,75.5,75.5,75.5,75.5,38010
2018-07-27,75.5,75.5,75.5,75.5,29550
2018-07-30,75.5,75.5,75.5,75.5,17340
2018-07-31,75.5,75.5,75.2,75.2,7500
2018-08-01,75.2,75.5,75.2,75.5,36650
2018-08-02,75.5,75.5,75.5,75.5,1000
2018-08-03,75.2,75.5,75.2,75.5,28620
2018-08-09,75.6,75.6,75.6,75.6,7650
2018-08-10,75.6,75.6,75.6,75.6,33500
2018-08-14,75.5,75.5,75.5,75.5,1000
2018-08-15,75.8,75.8,75.8,75.8,1000
2018-08-20,75.5,75.9,75.5,75.9,5510
2018-08-22,75.5,75.5,75.5,75.5,33400
2018-08-23,75.5,75.5,75.4,75.5,126230
2018-08-24,75.5,75.6,75.5,75.6,18900
2018-08-28,75.5,75.6,75.5,75.5,56900
2018-08-29,75.5,75.5,74.8,75.5,30730
2018-08-30,75.5,75.6,75.5,75.5,4320
2018-08-31,75.5,75.6,75.5,75.6,17240
2018-09-03,75.7,76.0,75.7,76.0,25400
2018-09-04,76.0,76.0,75.95,75.95,260
2018-09-05,76.0,76.0,76.0,76.0,19840
2018-09-06,75.5,75.5,75.5,75.5,400
2018-09-10,75.5,75.5,75.5,75.5,200
2018-09-12,77.0,77.0,77.0,77.0,64500
2018-09-13,75.5,77.1,75.5,75.5,500
2018-09-14,75.5,75.6,75.5,75.5,53370
2018-09-17,75.5,75.5,74.25,75.5,275350
2018-09-19,75.2,75.2,75.2,75.2,71700
2018-09-24,75.1,75.1,74.8,75.1,50700
2018-09-25,74.55,75.0,74.5,75.0,10000
2018-09-26,74.55,75.0,74.55,75.0,31950
2018-09-27,74.5,75.0,74.0,75.0,19240
2018-09-28,74.0,75.0,72.5,75.0,12500
2018-10-01,74.05,75.0,74.0,75.0,1500
2018-10-02,75.0,75.0,73.7,75.0,119600
2018-10-03,75.0,75.0,75.0,75.0,1000
2018-10-04,75.0,75.0,74.5,75.0,9010
2018-10-05,74.5,75.0,74.5,75.0,17700
