date,open,high,low,close,volume
2018-04-30,78.2,78.2,78.15,78.15,500060
2018-05-02,76.0,76.0,75.55,75.55,13400
2018-05-04,75.75,75.75,75.75,75.75,100
2018-05-07,75.75,75.75,75.75,75.75,100
2018-05-08,78.1,78.15,75.95,75.95,2550
2018-05-10,75.9,75.9,75.9,75.9,110600
2018-05-11,75.9,75.9,75.9,75.9,268400
2018-05-15,75.9,75.9,75.9,75.9,10000
2018-05-16,75.95,75.95,75.95,75.95,500
2018-05-18,76.5,76.5,76.5,76.5,540
2018-05-21,76.5,76.5,76.5,76.5,500
2018-05-22,77.0,78.0,77.0,78.0,123680
2018-05-23,77.0,77.0,77.0,77.0,15400
2018-05-24,77.0,77.0,77.0,77.0,20000
2018-05-25,77.0,77.0,77.0,77.0,4000
2018-05-29,78.0,78.0,78.0,78.0,39790
2018-05-30,78.15,78.15,77.0,78.1,32000
2018-05-31,78.0,78.0,77.0,77.0,359610
2018-06-04,78.0,78.0,78.0,78.0,7000
2018-06-05,77.0,77.0,77.0,77.0,31350
2018-06-06,76.5,76.5,76.5,76.5,26700
2018-06-07,78.0,78.0,78.0,78.0,6000
2018-06-08,76.0,76.0,76.0,76.0,5600
2018-06-14,76.1,76.15,76.0,76.0,20400
2018-06-18,75.5,75.5,75.5,75.5,5000
2018-06-19,76.0,76.0,76.0,76.0,135000
2018-06-20,76.1,76.15,76.1,76.15,508000
2018-06-22,75.2,75.2,75.2,75.2,3700
2018-06-25,75.3,75.3,75.3,75.3,6700
2018-06-27,76.5,76.5,76.5,76.5,12000
2018-06-28,76.4,76.4,76.0,76.0,41050
2018-06-29,76.3,76.3,76.3,76.3,2000
2018-07-02,77.0,77.0,77.0,77.0,5000
2018-07-09,76.5,76.5,76.5,76.5,27000
2018-07-10,75.5,77.0,75.3,76.9,147810
2018-07-11,76.9,76.9,76.9,76.9,39300
2018-07-12,75.4,75.4,75.4,75.4,13400
2018-07-13,75.65,75.65,75.65,75.65,500
2018-07-16,75.45,75.45,75.45,75.45,1000
2018-07-17,75.5,75.5,75.35,75.35,12700
2018-07-18,75.45,75.45,75.4,75.4,12000
2018-07-20,75.35,76.0,75.3,76.0,34100
2018-07-23,75.3,75.3,75.3,75.3,26000
2018-07-24,75.5,75.5,75.25,75.25,253300
2018-07-25,75.25,75.5,75.0,75.5,52770
2018-07-26,75.55,75.6,75.55,75.6,1930
2018-07-27,75.6,75.65,75.6,75.65,870
2018-07-30,75.65,75.7,75.5,75.5,100800
2018-07-31,75.4,75.4,75.4,75.4,3000
2018-08-01,75.1,75.5,75.1,75.5,100800
2018-08-02,75.55,75.8,75.1,75.8,64160
2018-08-03,75.8,75.8,75.8,75.8,8800
2018-08-06,75.8,75.8,75.8,75.8,500
2018-08-07,76.0,76.0,75.5,76.0,26080
2018-08-08,76.0,76.0,76.0,76.0,175420
2018-08-13,76.0,76.0,75.05,75.05,53500
2018-08-14,75.4,75.4,75.4,75.4,590
2018-08-15,75.25,75.25,75.25,75.25,25000
2018-08-16,75.25,76.0,75.25,75.7,27530
2018-08-17,75.5,76.4,75.5,76.4,210
2018-08-20,76.4,76.5,76.4,76.5,5000
2018-08-22,75.5,75.5,75.3,75.3,24000
