date,open,high,low,close,volume
2002-04-02,1.9,1.9,1.8,1.88,164798000
2002-04-03,1.88,1.94,1.86,1.86,8388000
2002-04-04,1.86,1.86,1.82,1.86,1659000
2002-04-05,1.86,1.86,1.84,1.84,715000
2002-04-09,1.84,1.86,1.82,1.86,2705000
2002-04-10,1.86,1.86,1.8,1.84,1128000
2002-04-11,1.82,1.84,1.8,1.84,2400000
2002-04-12,1.84,1.84,1.82,1.84,2056000
2002-04-15,1.82,1.84,1.82,1.84,1868000
2002-04-16,1.84,1.84,1.8,1.8,2045000
2002-04-17,1.78,1.78,1.72,1.76,1185000
2002-04-18,1.72,1.72,1.66,1.66,515000
2002-04-19,1.6,1.6,1.5,1.56,1276000
2002-04-22,1.56,1.6,1.56,1.6,166000
2002-04-23,1.62,1.7,1.62,1.7,1083000
2002-04-24,1.74,1.76,1.74,1.74,720000
2002-04-25,1.72,1.72,1.72,1.72,350000
2002-04-26,1.74,1.74,1.74,1.74,100000
2002-04-29,1.66,1.7,1.64,1.7,313000
2002-04-30,1.72,1.76,1.72,1.76,1006000
2002-05-02,1.76,1.8,1.74,1.8,1255000
2002-05-03,1.78,1.8,1.78,1.8,257000
2002-05-06,1.78,1.8,1.78,1.8,400000
2002-05-07,1.74,1.76,1.72,1.76,200000
2002-05-08,1.76,1.76,1.74,1.74,440000
2002-05-09,1.7,1.7,1.66,1.66,299000
2002-05-10,1.7,1.7,1.7,1.7,50000
2002-05-13,1.7,1.7,1.7,1.7,1000
2002-05-14,1.7,1.7,1.7,1.7,151000
2002-05-15,1.68,1.68,1.68,1.68,100000
2002-05-16,1.68,1.68,1.68,1.68,180000
2002-05-17,1.66,1.66,1.66,1.66,130000
2002-05-20,1.54,1.66,1.54,1.66,400000
2002-05-22,1.62,1.62,1.62,1.62,100000
2002-05-23,1.64,1.66,1.64,1.66,117000
2002-05-24,1.64,1.64,1.64,1.64,250000
2002-05-28,1.64,1.64,1.64,1.64,1800000
2002-05-29,1.64,1.64,1.64,1.64,50000
2002-05-30,1.64,1.66,1.64,1.66,100000
2002-05-31,1.66,1.66,1.66,1.66,165000
2002-06-03,1.66,1.66,1.66,1.66,66000
2002-06-04,1.66,1.66,1.66,1.66,50000
2002-06-05,1.64,1.64,1.64,1.64,62000
2002-06-06,1.62,1.62,1.62,1.62,80000
2002-06-07,1.56,1.56,1.54,1.54,242000
2002-06-10,1.58,1.58,1.52,1.52,157000
2002-06-11,1.58,1.58,1.52,1.52,40000
2002-06-13,1.62,1.62,1.58,1.58,111000
2002-06-14,1.58,1.62,1.58,1.62,112000
2002-06-17,1.62,1.62,1.6,1.6,112000
2002-06-18,1.6,1.64,1.6,1.64,120000
2002-06-19,1.6,1.64,1.6,1.64,175000
2002-06-20,1.66,1.66,1.66,1.66,175000
2002-06-21,1.66,1.66,1.66,1.66,163000
2002-06-24,1.66,1.68,1.66,1.66,249000
2002-06-25,1.62,1.66,1.62,1.66,280000
2002-06-26,1.66,1.66,1.62,1.62,62000
2002-06-27,1.62,1.66,1.62,1.66,78000
2002-06-28,1.66,1.68,1.66,1.68,150000
2002-07-01,1.68,1.68,1.68,1.68,22000
2002-07-02,1.68,1.68,1.68,1.68,150000
2002-07-03,1.64,1.64,1.64,1.64,99000
2002-07-04,1.68,1.7,1.68,1.7,136000
