date,open,high,low,close,volume
2014-11-07,8.49,8.49,7.99,8.01,166169000
2014-11-10,8.03,8.12,7.75,7.85,33699300
2014-11-11,7.89,7.89,7.59,7.73,21042100
2014-11-12,7.75,7.98,7.64,7.89,17500700
2014-11-13,7.98,8.1,7.94,8.0,20718700
2014-11-14,7.99,8.15,7.95,8.12,13558800
2014-11-17,8.12,8.56,8.12,8.51,49659100
2014-11-18,8.53,8.89,8.53,8.71,23175200
2014-11-19,8.79,8.88,8.45,8.5,11546200
2014-11-20,8.5,8.85,8.45,8.72,16758000
2014-11-21,8.75,8.85,8.66,8.72,5973500
2014-11-24,8.73,8.98,8.73,8.83,11909400
2014-11-25,8.83,8.98,8.6,8.68,9361600
2014-11-26,8.74,8.78,8.5,8.54,8923400
2014-11-27,8.54,8.55,8.21,8.36,13694500
2014-11-28,8.35,8.8,8.3,8.7,19824800
2014-12-01,8.74,8.74,8.54,8.6,8217600
2014-12-02,8.59,8.86,8.5,8.8,35781400
2014-12-03,8.79,8.93,8.69,8.75,20911500
2014-12-04,8.75,9.09,8.7,8.9,29165800
2014-12-05,8.9,9.0,8.6,8.68,14054800
2014-12-09,8.7,9.0,8.7,8.94,8134400
2014-12-10,8.97,9.2,8.78,9.09,23721200
2014-12-11,9.05,9.07,8.8,8.98,20809800
2014-12-12,8.94,9.15,8.94,9.15,13227400
2014-12-15,9.09,9.15,8.9,9.13,5231200
2014-12-16,9.14,9.4,9.05,9.32,9066100
2014-12-17,9.34,9.41,9.0,9.13,4349300
2014-12-18,9.25,9.63,9.13,9.56,19954800
2014-12-19,9.75,10.12,9.7,9.7,10371400
2014-12-22,9.7,9.98,9.64,9.94,5312300
2014-12-23,9.95,10.0,9.8,9.9,7533500
2014-12-29,9.99,9.99,9.82,9.91,4998900
2015-01-05,9.9,10.14,9.83,10.08,8449400
2015-01-06,9.88,10.0,9.85,9.9,1650800
2015-01-07,9.93,10.3,9.7,10.2,19614500
2015-01-08,10.22,10.74,10.2,10.64,12005600
2015-01-09,10.8,10.94,10.7,10.8,12298900
2015-01-12,10.86,11.6,10.8,11.3,13472400
2015-01-13,11.36,11.5,11.26,11.26,10242900
2015-01-14,11.3,11.42,11.0,11.0,11604500
2015-01-19,11.04,11.4,10.82,11.1,16834000
2015-01-20,11.1,11.1,10.76,10.78,8339600
2015-01-21,10.78,11.08,10.34,10.34,22030800
2015-01-22,10.34,10.7,10.18,10.42,15294800
2015-01-23,10.56,11.0,10.52,10.96,10214200
2015-01-26,11.0,11.3,10.84,11.16,23328100
2015-01-27,11.16,11.3,10.7,11.0,8988300
2015-01-28,11.0,11.08,10.8,10.86,3308300
2015-01-29,10.94,11.08,10.72,10.74,13749600
2015-01-30,10.76,10.88,10.62,10.7,2505700
2015-02-02,10.68,10.68,10.3,10.38,5120100
2015-02-03,10.4,10.58,10.1,10.1,6613000
2015-02-04,10.3,10.76,10.28,10.5,6478800
2015-02-05,10.6,10.64,10.42,10.44,10710700
2015-02-06,10.44,10.44,10.34,10.36,3764200
2015-02-09,10.38,10.38,9.75,9.8,8361400
2015-02-10,9.8,10.1,9.75,9.75,10217100
2015-02-11,9.76,10.1,9.76,9.83,10061300
2015-02-12,9.84,10.04,9.84,9.87,14825700
2015-02-13,9.88,10.1,9.8,9.8,8616600
2015-02-16,9.8,9.99,9.75,9.75,9471500
2015-02-17,9.76,9.85,9.76,9.77,8376100
2015-02-18,9.8,9.9,9.5,9.78,6076500
2015-02-20,9.7,9.8,9.65,9.74,3987800
2015-02-23,9.75,10.4,9.75,10.34,9181300
2015-02-24,10.38,10.42,10.3,10.36,2878200
2015-02-25,10.38,10.48,10.16,10.16,4360200
2015-02-26,10.16,10.22,9.9,10.1,713800
2015-02-27,10.12,10.12,9.9,9.95,1771000
2015-03-02,9.91,10.0,9.8,10.0,5045300
2015-03-03,10.0,10.18,9.95,9.95,825800
2015-03-04,9.95,10.34,9.93,10.32,2443500
2015-03-05,10.3,10.3,10.14,10.22,1251200
2015-03-06,10.24,10.86,10.24,10.86,12999100
2015-03-09,10.84,10.84,10.5,10.8,7677400
2015-03-10,10.8,10.98,10.6,10.84,8320200
2015-03-11,10.8,10.8,10.6,10.62,5868200
2015-03-12,10.76,10.86,10.6,10.68,3143200
2015-03-13,10.7,10.94,10.7,10.8,14431700
2015-03-16,10.82,10.82,10.6,10.64,4820500
2015-03-17,10.66,10.74,10.48,10.72,5311600
2015-03-18,10.68,10.68,10.4,10.4,7054500
2015-03-19,10.4,10.6,10.0,10.14,11756900
2015-03-20,10.14,10.48,10.14,10.4,5343500
2015-03-23,10.48,10.8,10.4,10.68,7802900
2015-03-24,10.72,10.8,10.36,10.5,4423100
2015-03-25,10.44,10.68,10.26,10.32,3110700
2015-03-26,10.46,10.46,10.18,10.24,2999600
2015-03-27,10.5,10.5,10.24,10.26,2969300
2015-03-30,10.3,10.46,10.3,10.4,2021900
2015-03-31,10.4,10.4,10.14,10.18,1716400
2015-04-01,10.18,10.3,10.1,10.2,881400
2015-04-06,10.2,10.22,10.14,10.14,2335000
2015-04-07,10.1,10.1,9.8,9.85,9947300
2015-04-08,9.95,10.3,9.85,10.14,4260400
2015-04-10,10.18,10.32,10.14,10.28,8845500
2015-04-13,10.28,10.3,10.0,10.0,8434300
2015-04-14,10.0,10.08,9.9,9.9,9708000
2015-04-15,9.95,9.98,9.6,9.66,5298600
2015-04-16,9.67,9.75,9.42,9.74,3217400
2015-04-17,9.74,9.88,9.74,9.8,3333100
2015-04-20,9.8,9.8,9.5,9.5,2328100
2015-04-21,9.5,9.65,9.5,9.52,1257900
2015-04-22,9.52,9.95,9.5,9.9,3704900
2015-04-23,9.94,10.72,9.9,10.58,28117100
2015-04-24,10.66,10.78,10.5,10.7,7842200
2015-04-27,10.72,10.72,10.5,10.6,1359900
2015-04-28,10.6,10.64,10.52,10.6,2635500
2015-04-29,10.62,10.7,10.5,10.54,5055000
2015-04-30,10.54,10.54,10.22,10.4,4280800
2015-05-04,10.38,10.5,10.2,10.4,2441700
2015-05-05,10.4,10.76,10.34,10.72,6742600
2015-05-06,10.7,10.72,10.42,10.72,2734800
2015-05-07,10.66,10.66,10.5,10.56,3510900
2015-05-08,10.6,10.7,10.3,10.3,3918100
2015-05-11,10.56,10.56,10.24,10.32,1920500
2015-05-12,10.34,10.5,10.34,10.4,3091600
2015-05-13,10.48,10.86,10.48,10.6,11173000
2015-05-14,10.68,10.86,10.6,10.8,6544600
2015-05-15,10.8,10.84,10.68,10.7,3871800
2015-05-18,10.78,10.78,10.4,10.42,3369700
2015-05-19,10.5,10.62,10.48,10.48,4245500
2015-05-20,10.68,10.8,10.5,10.62,5442000
2015-05-21,10.62,10.7,10.5,10.6,1557800
2015-05-22,10.6,10.6,10.44,10.52,1482600
2015-05-25,10.56,10.56,10.14,10.22,2937600
2015-05-26,10.22,10.22,9.78,9.8,3490600
2015-05-27,9.82,9.99,9.8,9.9,2416200
2015-05-28,9.9,10.0,9.8,9.83,2914600
2015-05-29,9.8,10.1,9.8,9.98,16999400
2015-06-01,9.98,9.99,9.79,9.89,4119400
