date,open,high,low,close,volume
2017-06-06,2.07,2.25,2.07,2.09,2828000
2017-06-07,2.1,2.42,2.1,2.33,11338000
2017-06-08,2.36,2.41,2.3,2.37,3057000
2017-06-09,2.4,2.59,2.4,2.55,10794000
2017-06-13,2.56,2.6,2.45,2.53,2740000
2017-06-14,2.55,2.58,2.46,2.55,2530000
2017-06-15,2.56,2.69,2.55,2.55,4154000
2017-06-16,2.55,2.6,2.5,2.52,2343000
2017-06-19,2.5,2.65,2.5,2.59,2022000
2017-06-20,2.6,2.75,2.6,2.74,5674000
2017-06-21,2.75,2.78,2.51,2.53,4360000
2017-06-22,2.6,2.6,2.35,2.42,5983000
2017-06-23,2.42,2.54,2.41,2.52,1653000
2017-06-27,2.53,2.53,2.38,2.42,1245000
2017-06-28,2.42,2.53,2.32,2.5,4450000
2017-06-29,2.58,2.59,2.49,2.49,1342000
2017-06-30,2.49,2.49,2.32,2.34,2886000
2017-07-03,2.34,2.42,2.28,2.4,3400000
2017-07-04,2.38,2.38,2.28,2.3,5503000
2017-07-05,2.38,2.4,2.31,2.34,1071000
2017-07-06,2.38,2.38,2.28,2.31,2950000
2017-07-07,2.31,2.44,2.3,2.39,2325000
2017-07-10,2.4,2.74,2.4,2.74,9974000
2017-07-11,2.75,2.79,2.62,2.7,7542000
2017-07-12,2.71,2.72,2.6,2.61,1585000
2017-07-13,2.63,2.74,2.6,2.71,3534000
2017-07-14,2.72,2.95,2.72,2.95,14895000
2017-07-17,2.99,3.1,2.91,3.07,16105000
2017-07-18,3.1,3.17,3.0,3.07,9716000
2017-07-19,3.07,3.16,3.01,3.13,9631000
2017-07-20,3.13,3.2,3.01,3.12,9670000
2017-07-21,3.08,3.08,2.92,2.97,7302000
2017-07-24,3.0,3.05,2.93,3.02,2778000
2017-07-25,3.03,3.06,2.95,3.02,2428000
2017-07-26,3.03,3.03,2.72,2.76,4207000
2017-07-27,2.77,2.82,2.58,2.68,5016000
2017-07-28,2.7,2.71,2.65,2.69,1364000
2017-07-31,2.7,2.79,2.7,2.75,1474000
2017-08-01,2.75,2.85,2.75,2.78,1773000
2017-08-02,2.78,2.98,2.78,2.93,2356000
2017-08-03,2.98,2.98,2.85,2.88,945000
2017-08-04,2.89,2.89,2.8,2.81,766000
2017-08-07,2.81,2.88,2.7,2.84,1503000
2017-08-08,2.87,2.87,2.62,2.7,1679000
2017-08-09,2.73,2.73,2.59,2.67,2102000
2017-08-10,2.61,2.62,2.56,2.57,1673000
2017-08-11,2.57,2.57,2.42,2.46,3809000
2017-08-14,2.47,2.56,2.32,2.5,1850000
2017-08-15,2.35,2.45,2.34,2.43,1294000
2017-08-16,2.43,2.61,2.43,2.59,1366000
2017-08-17,2.61,2.63,2.58,2.59,666000
2017-08-18,2.55,2.55,2.46,2.54,452000
2017-08-22,2.48,2.58,2.46,2.56,174000
2017-08-23,2.58,2.58,2.45,2.45,263000
2017-08-24,2.43,2.49,2.37,2.49,773000
2017-08-25,2.49,2.54,2.49,2.52,179000
2017-08-29,2.53,2.55,2.45,2.54,393000
2017-08-30,2.54,2.57,2.47,2.5,286000
2017-08-31,2.5,2.55,2.46,2.55,290000
2017-09-04,2.51,2.58,2.46,2.58,210000
2017-09-05,2.54,2.58,2.47,2.52,107000
2017-09-06,2.52,2.52,2.48,2.48,189000
2017-09-07,2.48,2.5,2.39,2.5,594000
2017-09-08,2.5,2.51,2.47,2.5,163000
2017-09-11,2.5,2.55,2.5,2.55,346000
2017-09-13,2.55,2.74,2.55,2.73,1494000
2017-09-14,2.76,2.8,2.65,2.75,3369000
2017-09-15,2.8,2.8,2.71,2.75,1156000
2017-09-18,2.75,2.75,2.71,2.71,1052000
2017-09-19,2.71,2.72,2.68,2.72,279000
2017-09-20,2.74,2.75,2.68,2.73,1674000
2017-09-21,2.72,2.73,2.68,2.7,468000
2017-09-22,2.7,2.89,2.7,2.78,4511000
2017-09-25,2.86,2.87,2.76,2.78,1018000
2017-09-26,2.81,2.83,2.66,2.76,1153000
2017-09-27,2.77,2.78,2.68,2.72,1224000
2017-09-28,2.66,2.74,2.66,2.7,384000
2017-09-29,2.7,2.7,2.62,2.62,1295000
2017-10-02,2.61,2.72,2.61,2.65,568000
2017-10-03,2.65,2.7,2.64,2.7,267000
2017-10-04,2.65,2.72,2.65,2.7,232000
