date,open,high,low,close,volume
1999-03-16,20.0,20.0,20.0,20.0,1000
1999-05-11,25.0,25.0,25.0,25.0,38000
1999-07-28,20.0,20.0,20.0,20.0,100
1999-07-30,22.0,22.0,22.0,22.0,14100
1999-11-09,22.0,22.0,22.0,22.0,100
1999-11-23,33.0,33.0,33.0,33.0,400
1999-11-25,20.0,20.0,20.0,20.0,2300
1999-11-26,20.0,20.0,20.0,20.0,5700
1999-11-29,20.0,20.0,20.0,20.0,3400
1999-12-13,22.0,22.0,22.0,22.0,500
1999-12-14,21.0,22.0,21.0,22.0,2500
1999-12-16,22.0,25.0,22.0,25.0,32400
1999-12-17,25.0,25.0,25.0,25.0,35500
1999-12-20,25.0,25.0,25.0,25.0,47000
1999-12-21,25.0,25.5,25.0,25.0,95000
2000-02-22,25.0,25.0,25.0,25.0,5000
2000-03-01,25.0,25.5,25.0,25.5,2500
2000-03-14,25.0,25.0,25.0,25.0,3000
2000-03-23,20.0,25.0,19.25,25.0,28000
2000-03-24,21.0,23.0,21.0,23.0,3300
2000-03-28,25.0,25.0,25.0,25.0,4700
2000-03-30,25.0,25.0,25.0,25.0,1200
2000-04-03,25.0,25.0,25.0,25.0,500
2000-04-05,25.0,25.0,25.0,25.0,3100
2000-04-07,25.0,25.0,25.0,25.0,100
2000-05-03,25.0,25.0,24.0,24.0,16000
2000-05-04,24.0,24.0,24.0,24.0,2000
2000-05-08,24.0,24.0,24.0,24.0,1000
2000-05-09,20.0,20.0,20.0,20.0,2100
2000-05-15,20.0,20.0,20.0,20.0,2000
2000-05-22,20.0,20.0,20.0,20.0,5000
2000-06-07,20.0,20.0,20.0,20.0,1000
2000-06-08,20.0,20.0,20.0,20.0,2000
2000-06-22,23.0,23.0,23.0,23.0,500
2000-06-29,25.0,25.0,25.0,25.0,1000
2000-07-13,23.0,23.0,23.0,23.0,1000
2000-07-19,23.0,23.0,23.0,23.0,3000
2000-07-21,20.0,20.0,20.0,20.0,1000
2000-07-26,20.0,20.0,20.0,20.0,1700
2000-07-27,20.0,20.0,20.0,20.0,2300
2001-03-22,15.25,15.25,15.25,15.25,900
2001-04-26,15.25,15.25,15.25,15.25,1000
2001-06-06,15.0,15.0,15.0,15.0,3000
2001-09-04,15.0,15.0,15.0,15.0,1600
2001-11-19,14.0,14.0,14.0,14.0,315300
2002-05-16,14.0,14.0,14.0,14.0,500
2002-06-05,25.0,25.0,25.0,25.0,100
2002-06-06,29.5,32.0,29.5,32.0,2000
2002-07-09,30.0,30.0,30.0,30.0,1000
2002-07-10,30.0,30.0,30.0,30.0,1000
2002-07-11,30.0,30.0,30.0,30.0,1000
2002-07-26,25.0,25.0,25.0,25.0,100
2002-08-07,20.0,20.0,20.0,20.0,200
2002-09-20,25.0,25.0,25.0,25.0,300
2002-09-23,25.0,25.0,20.25,20.25,3000
2002-10-01,12.25,12.25,12.25,12.25,1900
2002-10-02,12.25,12.25,12.25,12.25,300
2002-10-16,12.25,12.25,12.25,12.25,2500
2002-10-23,17.0,17.0,17.0,17.0,2000
2002-10-24,17.0,18.0,17.0,18.0,2300
2002-11-13,18.0,18.0,18.0,18.0,900
2002-11-15,18.0,18.0,18.0,18.0,1800
2002-11-22,18.0,18.0,18.0,18.0,7300
2003-01-03,17.0,17.0,17.0,17.0,1000
2003-01-29,17.0,17.0,17.0,17.0,2000
2003-01-30,17.0,17.0,17.0,17.0,4000
2003-02-28,17.0,17.0,17.0,17.0,1700
2003-03-18,15.0,15.0,15.0,15.0,3000
2003-07-24,12.5,12.5,12.5,12.5,1000
2003-12-04,12.5,12.5,12.5,12.5,300
2003-12-11,12.0,12.0,12.0,12.0,100
2004-02-11,12.0,12.0,12.0,12.0,600
2004-03-18,7.2,7.2,7.2,7.2,6300
2004-07-19,10.75,10.75,10.75,10.75,1000
2004-07-29,16.0,16.0,16.0,16.0,1000
2004-08-12,24.0,24.0,24.0,24.0,200
2004-08-16,25.0,25.0,25.0,25.0,200
2004-08-17,36.0,36.5,36.0,36.5,2100
2004-08-23,36.5,36.5,36.5,36.5,6000
2004-08-24,36.5,36.5,36.5,36.5,3000
2004-08-27,36.0,36.0,36.0,36.0,2000
2004-08-30,37.0,37.0,36.0,37.0,3400
2004-10-12,37.0,37.0,37.0,37.0,1200
2004-10-13,37.0,37.0,37.0,37.0,3000
2004-10-14,37.0,37.0,37.0,37.0,4500
2004-10-15,37.0,37.0,37.0,37.0,100
2004-10-21,22.25,22.25,22.25,22.25,1000
2004-10-22,22.5,22.5,22.5,22.5,10100
2004-11-03,14.0,14.0,14.0,14.0,100
2004-11-09,21.0,21.0,21.0,21.0,600
2005-01-11,21.0,21.0,21.0,21.0,33600
2005-01-21,21.0,21.0,21.0,21.0,10000
2005-01-24,21.0,21.0,21.0,21.0,24000
2005-01-25,21.0,21.0,21.0,21.0,21000
2005-01-26,21.0,21.0,21.0,21.0,1000
2005-01-27,21.0,21.0,21.0,21.0,19000
2005-02-07,22.0,22.0,22.0,22.0,5000
2005-04-28,21.0,21.0,21.0,21.0,2500
2005-06-28,21.0,21.0,21.0,21.0,16500
2005-08-08,13.0,13.0,13.0,13.0,900
2005-08-11,14.0,14.0,14.0,14.0,100
2005-08-16,21.0,21.0,21.0,21.0,200
2005-09-14,21.0,21.0,21.0,21.0,200
2005-09-19,24.0,24.0,24.0,24.0,300
2005-10-12,29.0,30.0,29.0,30.0,1000
2005-11-10,28.0,28.0,28.0,28.0,100
2005-11-21,30.0,30.0,30.0,30.0,100
2005-11-24,26.0,26.0,26.0,26.0,200
2005-12-23,22.0,22.0,22.0,22.0,2000
2005-12-27,22.0,22.0,22.0,22.0,6000
2005-12-28,18.25,18.25,18.0,18.0,6500
2005-12-29,18.5,18.5,18.5,18.5,6700
2006-01-06,18.5,19.5,18.5,19.5,2400
2006-01-30,19.5,19.5,19.5,19.5,1000
2006-02-02,23.0,23.0,23.0,23.0,2000
2006-02-06,22.0,22.0,22.0,22.0,1000
2006-02-16,22.0,22.0,22.0,22.0,2000
2006-02-21,22.0,22.0,22.0,22.0,1000
2006-04-04,22.0,22.0,22.0,22.0,100
2006-04-05,23.0,23.0,23.0,23.0,500
2006-05-16,22.0,22.0,22.0,22.0,500
2006-05-24,18.0,18.0,18.0,18.0,100
2006-07-26,16.0,16.0,16.0,16.0,1000
2006-07-28,16.0,16.0,16.0,16.0,2000
2006-08-01,16.0,16.0,16.0,16.0,2000
2006-08-17,16.0,16.0,16.0,16.0,5500
2006-08-22,16.0,16.0,16.0,16.0,14500
2006-08-24,16.0,16.0,16.0,16.0,6000
2006-09-01,16.0,16.0,16.0,16.0,100
2006-12-08,16.25,16.25,16.25,16.25,400
2007-04-03,11.75,11.75,11.75,11.75,1000
2007-04-04,17.5,17.5,17.5,17.5,200
2007-04-11,12.0,15.0,12.0,15.0,1100
2007-04-12,11.5,11.5,10.75,10.75,5000
2007-04-17,10.75,10.75,7.0,7.0,164400
2007-04-18,7.5,9.0,6.6,9.0,2112000
2007-04-19,9.0,9.0,9.0,9.0,30000
2007-04-23,9.5,9.5,9.0,9.0,25000
2007-04-25,9.5,9.5,9.5,9.5,3000
2007-05-07,7.0,7.0,6.8,6.8,26000
2007-05-08,7.5,8.6,7.5,8.6,30000
2007-05-09,8.3,8.3,8.3,8.3,5000
2007-05-18,8.5,8.6,8.2,8.6,32000
2007-05-23,12.75,12.75,12.75,12.75,14000
2007-05-24,19.0,19.0,19.0,19.0,29000
2007-05-25,28.0,28.5,28.0,28.5,45500
2007-05-28,41.0,41.0,22.0,25.0,52400
2007-05-29,25.0,27.0,25.0,27.0,5000
2007-05-30,25.0,25.0,25.0,25.0,4600
2007-05-31,25.0,25.0,25.0,25.0,1000
2007-06-01,25.0,25.0,25.0,25.0,2900
2007-06-05,25.0,25.0,25.0,25.0,1000
2007-06-06,25.5,26.0,25.5,26.0,3100
2007-06-08,27.0,27.0,27.0,27.0,100
2007-06-12,27.0,28.0,27.0,28.0,600
2007-06-13,27.0,27.0,27.0,27.0,1000
2007-06-14,27.0,27.5,27.0,27.5,1500
2007-06-18,26.0,27.0,26.0,27.0,4000
2007-06-19,27.0,27.0,27.0,27.0,1000
2007-06-20,27.0,27.5,26.0,26.0,7800
2007-06-22,25.5,25.5,25.5,25.5,300
2007-06-25,25.5,25.5,25.5,25.5,1700
2007-07-02,25.0,25.0,25.0,25.0,3000
2007-07-03,27.0,27.0,27.0,27.0,1000
2007-07-17,25.0,25.0,25.0,25.0,2400
2007-07-18,25.0,25.0,25.0,25.0,3000
2007-07-23,25.0,25.0,25.0,25.0,1000
2007-07-25,22.0,22.0,22.0,22.0,2000
2007-07-26,22.0,22.0,22.0,22.0,1000
2007-07-30,22.0,22.0,22.0,22.0,500
2007-08-02,14.25,29.0,14.25,29.0,600
2007-08-09,17.5,17.5,17.5,17.5,1000
2007-09-03,13.5,13.5,13.5,13.5,1200
2007-09-05,20.25,20.25,20.25,20.25,100
2007-09-11,14.75,19.75,14.75,19.75,700
2007-09-12,20.0,28.5,20.0,24.0,1700
2007-09-13,25.5,25.5,25.5,25.5,1100
2007-09-14,26.5,26.5,25.5,25.5,1300
2007-09-19,27.0,27.0,27.0,27.0,100
2007-09-20,29.5,29.5,29.5,29.5,100
2007-10-10,26.5,26.5,25.0,25.0,1000
2007-10-18,26.0,26.0,26.0,26.0,100
2007-10-19,26.0,26.0,25.5,25.5,800
2007-10-26,25.5,26.0,25.5,25.5,2000
2007-12-03,15.5,15.5,15.5,15.5,400
2007-12-04,23.0,23.0,20.0,20.0,6600
2007-12-05,25.0,25.0,23.0,25.0,1700
2007-12-06,30.0,37.5,30.0,37.5,156200
2007-12-07,43.0,43.0,27.0,30.0,126900
2007-12-10,30.0,30.0,30.0,30.0,15300
2007-12-11,30.0,30.0,28.0,29.0,12200
2007-12-12,29.0,30.0,28.5,29.5,43700
2007-12-13,30.0,30.0,29.0,29.5,8100
2007-12-14,29.0,29.5,29.0,29.0,11600
2007-12-17,29.5,29.5,29.0,29.0,3900
2007-12-18,29.0,29.0,28.5,29.0,12700
2007-12-19,29.0,29.0,26.5,26.5,45200
2007-12-20,3.5,5.3,3.5,4.6,219500
2007-12-21,4.8,4.8,4.6,4.6,29000
2008-01-09,4.55,4.55,4.55,4.55,1000
2008-01-10,4.55,4.55,4.55,4.55,2000
2008-01-24,3.75,3.75,3.75,3.75,6000
2008-01-25,3.7,3.7,3.5,3.5,12000
2008-01-28,2.8,2.8,2.7,2.7,36000
2008-01-29,2.7,2.7,2.1,2.3,8000
2008-01-30,2.0,2.3,2.0,2.3,21000
2008-02-07,2.16,2.16,2.16,2.16,36000
2008-02-08,2.16,2.16,2.16,2.16,320000
2008-02-11,2.18,2.18,2.18,2.18,2000
2008-02-19,2.18,2.18,2.18,2.18,10000
2008-02-20,2.18,2.18,2.18,2.18,20000
2008-02-21,2.16,2.16,2.0,2.0,80000
2008-02-22,2.02,2.02,1.96,1.96,157000
2008-02-26,1.9,1.9,1.82,1.9,57000
2008-02-29,2.0,2.0,2.0,2.0,1000
2008-03-04,1.86,2.08,1.86,2.0,106000
2008-03-05,1.86,1.88,1.86,1.88,51000
2008-03-11,1.84,1.84,1.84,1.84,2000
2008-03-13,1.9,1.9,1.9,1.9,10000
2008-03-17,1.9,1.9,1.2,1.2,12000
2008-03-19,1.8,1.8,1.8,1.8,10000
2008-03-24,1.8,1.8,1.8,1.8,1000
2008-03-25,1.8,1.8,1.8,1.8,19000
2008-03-27,1.8,1.8,1.8,1.8,2000
2008-03-31,1.9,1.9,1.9,1.9,43000
2008-04-15,1.8,1.9,1.8,1.9,9000
2008-04-16,1.9,1.9,1.9,1.9,1000
2008-04-17,2.0,2.1,2.0,2.0,40000
2008-04-18,2.0,2.1,2.0,2.1,26000
2008-04-21,2.2,2.4,2.2,2.28,52000
2008-04-22,2.2,2.3,2.2,2.3,28000
