date,open,high,low,close,volume
2001-07-20,2.0,2.6,2.0,2.6,155000
2001-07-23,3.1,3.9,3.1,3.9,73000
2001-07-24,5.5,5.8,3.55,4.0,305000
2001-07-25,4.0,4.15,4.0,4.15,104000
2001-07-26,4.3,4.3,4.1,4.1,25000
2001-07-30,4.05,4.05,3.0,3.0,51000
2001-07-31,2.9,2.9,2.9,2.9,2000
2001-08-01,2.4,2.4,2.4,2.4,14000
2001-08-02,2.1,2.1,2.1,2.1,19000
2001-08-03,2.1,2.1,2.06,2.1,24000
2001-08-06,2.1,2.1,2.1,2.1,5000
2001-08-08,2.26,2.34,2.26,2.34,15000
2001-08-10,2.34,2.34,2.34,2.34,5000
2001-08-14,2.4,2.4,2.4,2.4,5000
2001-08-16,2.4,2.75,2.4,2.75,34000
2001-08-17,2.8,3.2,2.8,3.2,52000
2001-08-20,3.2,3.4,3.2,3.4,19000
2001-08-21,3.5,3.5,3.35,3.35,11000
2001-08-22,3.2,3.2,3.2,3.2,54000
2001-08-23,3.3,3.35,3.3,3.35,21000
2001-08-24,3.05,3.35,3.05,3.35,21000
2001-08-27,3.3,3.3,3.3,3.3,10000
2001-08-28,3.2,3.2,3.2,3.2,5000
2001-08-29,3.0,3.0,3.0,3.0,20000
2001-08-30,3.0,3.0,3.0,3.0,10000
2001-08-31,3.0,3.0,2.8,2.8,15000
2001-09-03,3.0,3.0,3.0,3.0,5000
2001-09-04,3.05,3.05,3.05,3.05,10000
2001-09-05,3.0,3.0,3.0,3.0,5000
2001-09-06,3.0,3.0,3.0,3.0,5000
2001-09-07,3.0,3.05,3.0,3.05,15000
2001-09-10,3.05,3.1,3.05,3.1,10000
2001-09-11,3.1,3.15,3.1,3.1,25000
2001-09-12,3.1,3.1,3.1,3.1,10000
2001-09-13,3.0,3.0,3.0,3.0,20000
2001-09-14,3.05,3.05,3.05,3.05,5000
2001-09-17,2.8,3.0,2.8,3.0,51000
2001-09-19,2.6,2.6,2.5,2.5,58000
2001-09-21,2.4,2.4,2.38,2.38,17000
2001-10-08,2.1,2.1,2.1,2.1,5000
2001-11-06,1.8,1.8,1.8,1.8,5000
2001-11-09,1.8,1.8,1.8,1.8,10000
2001-12-07,2.0,2.0,2.0,2.0,10000
2001-12-14,2.5,2.5,2.5,2.5,10000
2001-12-19,3.0,3.0,3.0,3.0,5000
2001-12-28,1.88,1.88,1.88,1.88,1000
