date,open,high,low,close,volume
2014-08-28,8.05,9.0,6.51,7.4,11331000
2014-08-29,7.55,7.79,5.65,6.01,5323400
2014-09-01,5.9,6.0,5.1,5.81,2408700
2014-09-02,5.78,5.78,5.51,5.6,1492400
2014-09-03,5.51,6.2,5.51,5.76,1660700
2014-09-04,5.98,5.98,5.73,5.73,612700
2014-09-05,5.76,5.85,5.6,5.62,562200
2014-09-08,5.65,5.65,5.19,5.25,1065000
2014-09-09,5.25,5.37,4.9,4.9,1102700
2014-09-10,5.0,5.0,4.61,4.66,845000
2014-09-11,4.8,4.8,4.6,4.61,1032000
2014-09-12,4.65,4.79,4.4,4.43,865000
2014-09-15,4.4,4.6,4.3,4.3,415000
2014-09-16,4.3,5.9,4.3,5.08,3127000
2014-09-17,5.15,5.44,5.15,5.18,479600
2014-09-18,5.2,5.4,5.0,5.12,449700
2014-09-22,5.2,5.21,5.0,5.16,104800
2014-09-23,5.28,5.28,5.07,5.21,132200
2014-09-24,5.24,5.43,5.18,5.34,256400
2014-09-25,5.45,5.7,5.16,5.16,1418200
2014-09-26,5.32,5.32,5.1,5.18,197400
2014-09-29,5.35,5.35,5.11,5.12,72400
2014-09-30,5.12,5.27,5.09,5.09,337600
2014-10-01,5.08,5.15,5.04,5.08,151400
2014-10-02,5.08,5.27,5.01,5.07,142800
2014-10-03,5.07,5.2,5.04,5.04,65700
2014-10-07,5.05,5.06,5.01,5.04,73100
2014-10-08,5.05,5.05,4.89,5.04,328800
2014-10-09,5.04,5.04,4.93,5.0,60200
2014-10-10,5.0,5.0,4.86,4.88,228400
2014-10-13,4.85,4.99,4.6,4.8,79000
2014-10-14,4.61,4.68,4.3,4.6,283000
2014-10-15,4.45,5.0,4.45,4.75,160000
2014-10-16,4.6,4.69,4.45,4.58,84000
2014-10-17,5.21,5.49,4.8,5.1,1262000
2014-10-20,5.35,5.35,4.89,5.0,272800
2014-10-21,4.99,5.2,4.95,4.99,268400
2014-10-22,5.0,5.18,4.99,5.15,59000
2014-10-23,5.13,5.13,5.0,5.0,74800
2014-10-24,5.0,5.01,4.9,5.0,36100
2014-10-27,4.9,5.0,4.79,4.98,112700
2014-10-28,4.93,4.93,4.83,4.85,100000
2014-10-29,4.78,4.85,4.72,4.72,526000
2014-10-30,4.7,5.0,4.7,4.78,240000
2014-10-31,4.9,4.9,4.86,4.9,14000
2014-11-03,4.9,4.9,4.8,4.8,58000
2014-11-04,4.79,4.8,4.7,4.71,142000
2014-11-05,4.7,4.82,4.68,4.7,185000
2014-11-06,4.7,4.7,4.55,4.6,595000
2014-11-07,4.55,4.6,4.5,4.5,290000
2014-11-10,4.55,4.6,4.5,4.55,39000
2014-11-11,4.5,4.5,4.1,4.2,1996000
2014-11-12,4.14,4.14,3.95,4.03,1225000
2014-11-13,4.09,4.3,3.99,4.0,381000
2014-11-14,4.0,4.0,3.95,3.97,415000
2014-11-17,3.97,4.1,3.9,3.95,216000
2014-11-18,3.96,4.07,3.94,4.05,109000
2014-11-19,4.05,4.06,3.95,3.97,306000
2014-11-20,3.97,4.0,3.96,3.99,81000
2014-11-21,4.0,4.21,4.0,4.17,485000
2014-11-24,4.01,4.07,4.0,4.01,175000
2014-11-25,4.01,4.61,4.01,4.43,2056000
2014-11-26,4.43,4.7,4.43,4.7,1455000
2014-11-27,4.71,5.12,4.7,4.88,2197000
2014-11-28,4.55,5.1,4.55,4.99,1564000
2014-12-01,4.91,4.91,4.5,4.5,502000
2014-12-02,4.5,4.59,4.3,4.3,550000
2014-12-03,4.3,4.37,4.19,4.3,241000
2014-12-04,4.3,4.3,4.15,4.18,231000
2014-12-05,4.16,4.2,4.08,4.19,114000
2014-12-09,4.15,4.35,4.12,4.14,385000
2014-12-10,4.14,4.2,4.05,4.14,231000
2014-12-11,4.4,4.4,4.01,4.11,69000
2014-12-12,4.33,4.33,4.03,4.22,31000
2014-12-15,4.1,4.17,4.0,4.11,86000
2014-12-16,4.1,4.11,4.03,4.03,130000
2014-12-17,4.03,4.1,4.01,4.1,121000
2014-12-18,4.16,4.16,4.02,4.03,60000
2014-12-19,4.03,4.1,4.03,4.1,69000
2014-12-22,4.1,4.14,4.06,4.12,76000
2014-12-23,4.1,4.15,4.1,4.15,70000
2014-12-29,4.13,4.2,4.13,4.2,125000
2015-01-05,4.18,4.25,4.16,4.17,211000
2015-01-06,4.14,4.15,4.08,4.15,100000
2015-01-07,4.18,4.18,4.06,4.17,118000
2015-01-08,4.15,4.45,4.15,4.28,370000
2015-01-09,4.3,4.59,4.29,4.38,1039000
2015-01-12,4.38,4.46,4.2,4.21,112000
2015-01-13,4.21,4.35,4.16,4.23,70000
2015-01-14,4.2,4.22,4.15,4.2,165000
2015-01-19,4.25,4.25,4.14,4.15,108000
2015-01-20,4.15,4.15,4.09,4.09,336000
2015-01-21,4.1,4.2,4.06,4.07,476000
2015-01-22,4.08,4.08,4.05,4.05,196000
2015-01-23,4.21,4.21,4.03,4.14,201000
2015-01-26,4.09,4.18,3.99,4.15,437000
2015-01-27,4.06,4.1,3.99,4.0,303000
2015-01-28,4.0,4.0,3.98,4.0,258000
2015-01-29,4.06,4.06,3.8,3.9,656000
2015-01-30,4.0,4.0,3.83,3.86,141000
2015-02-02,3.98,3.98,3.75,3.88,515000
2015-02-03,3.89,3.98,3.8,3.85,214000
2015-02-04,3.85,3.95,3.73,3.79,566000
2015-02-05,3.78,3.8,3.69,3.75,529000
2015-02-06,3.75,3.78,3.7,3.7,25000
2015-02-09,3.81,3.85,3.71,3.75,146000
2015-02-10,3.75,3.75,3.71,3.72,123000
2015-02-11,3.71,3.72,3.71,3.72,41000
2015-02-12,3.71,3.8,3.71,3.72,254000
2015-02-13,3.73,3.73,3.71,3.72,79000
2015-02-16,3.71,3.85,3.7,3.7,90000
2015-02-17,3.85,3.85,3.7,3.7,67000
2015-02-18,3.7,3.8,3.67,3.67,576000
2015-02-20,3.67,3.72,3.67,3.72,39000
2015-02-23,3.71,3.71,3.67,3.68,156000
2015-02-24,3.69,3.82,3.69,3.82,144000
2015-02-25,3.8,3.8,3.8,3.8,1000
2015-02-26,3.9,4.0,3.79,3.88,262000
2015-02-27,3.83,3.85,3.82,3.82,123000
2015-03-02,4.0,4.35,3.95,4.35,1557000
2015-03-03,4.41,4.75,4.41,4.55,1916000
2015-03-04,4.49,4.51,4.3,4.42,277000
2015-03-05,4.42,4.44,4.32,4.32,212000
2015-03-06,4.32,4.35,4.29,4.35,52000
2015-03-09,4.31,4.38,4.28,4.28,101000
2015-03-10,4.23,4.44,4.23,4.29,347000
2015-03-11,4.2,4.44,4.2,4.25,26000
2015-03-12,4.24,4.4,4.21,4.39,201000
2015-03-13,4.4,4.4,4.28,4.39,27000
