date,open,high,low,close,volume
1999-03-24,11.0,11.0,11.0,11.0,5400
1999-06-18,11.0,11.0,11.0,11.0,500
1999-09-03,10.75,10.75,10.75,10.75,1000
1999-09-07,10.5,10.5,10.5,10.5,1000
1999-10-13,10.25,10.25,10.25,10.25,1000
1999-11-10,10.25,10.25,10.25,10.25,20000
1999-11-11,10.25,10.25,10.25,10.25,60000
1999-11-15,10.25,10.5,10.25,10.5,70000
1999-11-16,10.5,10.75,10.5,10.75,55000
1999-11-22,10.25,10.25,10.25,10.25,100000
1999-11-29,10.25,10.5,10.25,10.5,72000
2000-01-18,10.5,10.5,10.5,10.5,1000
2000-03-20,10.25,10.25,10.25,10.25,475000
2000-03-21,10.25,10.25,10.25,10.25,470000
2000-03-22,10.25,10.5,10.25,10.5,454100
2000-03-23,10.5,10.5,10.5,10.5,450000
2000-03-24,10.25,10.5,10.25,10.5,485000
2000-03-27,10.5,10.5,10.5,10.5,460000
2000-03-28,10.5,10.5,10.5,10.5,192000
2000-09-28,10.0,10.0,10.0,10.0,1000
2000-09-29,10.0,10.25,10.0,10.25,3000
2000-10-04,10.0,10.0,10.0,10.0,1000
2000-10-30,10.25,10.25,10.25,10.25,1000
2000-12-27,10.5,10.5,10.5,10.5,1000
2001-01-03,10.5,10.5,10.5,10.5,1000
2001-01-30,10.5,10.5,10.5,10.5,1000
2001-02-06,10.5,10.5,10.5,10.5,1000
2001-02-12,10.5,10.5,10.5,10.5,100000
2001-11-12,10.25,10.25,10.25,10.25,2000
2002-04-03,10.25,10.25,10.25,10.25,1000
2002-06-14,10.25,10.25,10.25,10.25,1000
2002-07-17,10.25,10.25,10.25,10.25,1800
2002-12-18,10.25,10.25,10.25,10.25,3800
2002-12-19,10.25,10.25,10.25,10.25,6900
2003-05-14,10.25,10.25,10.25,10.25,329900
2003-05-26,10.25,10.25,10.25,10.25,1600
2003-10-27,10.5,10.5,10.5,10.5,100000
2003-11-21,10.5,10.5,10.5,10.5,58000
2003-12-05,10.5,10.5,10.5,10.5,58000
2004-01-12,10.5,10.5,10.5,10.5,58000
2004-01-14,10.5,10.5,10.5,10.5,30000
2004-02-05,10.5,10.5,10.5,10.5,58000
2004-08-06,10.5,10.5,10.5,10.5,3800
2004-09-02,11.0,11.0,11.0,11.0,100000
2004-09-09,11.0,11.0,11.0,11.0,100000
2004-09-14,10.75,10.75,10.75,10.75,129900
2004-09-22,10.75,10.75,10.75,10.75,100000
2004-09-29,10.5,10.5,10.5,10.5,94100
2004-12-08,10.5,10.5,10.5,10.5,9500
2004-12-15,10.5,10.5,10.5,10.5,22900
2004-12-16,10.5,10.5,10.5,10.5,1000
2004-12-17,10.5,10.5,10.5,10.5,220600
2004-12-28,11.0,11.0,11.0,11.0,205000
