date,open,high,low,close,volume
2014-01-13,81.0,104.9,81.0,98.95,893980
2014-01-14,97.0,97.0,81.2,82.1,660410
2014-01-15,82.0,82.0,66.0,70.0,653740
2014-01-16,70.1,77.9,68.0,73.0,878470
2014-01-17,72.6,76.2,71.15,74.9,336770
2014-01-20,74.9,80.0,72.55,77.5,365820
2014-01-21,77.5,78.0,76.3,77.45,143640
2014-01-22,77.45,78.0,75.55,77.3,133730
2014-01-23,75.55,77.0,75.0,75.0,167770
2014-01-24,74.25,75.0,72.1,75.0,92330
2014-01-27,72.55,74.95,72.5,74.0,82120
2014-01-28,73.15,74.0,72.5,73.95,96300
2014-01-29,72.35,74.5,72.0,74.5,134890
2014-01-30,72.0,72.3,71.95,72.0,270230
2014-02-03,71.9,71.9,70.5,71.0,112530
2014-02-04,70.2,70.2,68.7,69.0,96190
2014-02-05,68.6,68.7,68.0,68.0,86050
2014-02-06,67.1,70.0,67.1,70.0,110360
2014-02-07,68.0,69.9,67.55,67.7,63980
2014-02-10,67.55,67.55,66.5,67.0,131420
2014-02-11,66.0,67.1,65.0,65.0,193790
2014-02-12,66.0,66.5,63.8,63.8,167700
2014-02-13,63.55,65.0,63.5,64.0,78070
2014-02-14,63.5,66.0,63.0,65.0,80350
2014-02-17,64.0,65.0,63.2,65.0,48840
2014-02-18,65.0,65.0,63.5,64.0,31390
2014-02-19,63.65,64.5,63.55,64.5,81230
2014-02-20,64.0,64.5,63.55,64.5,44220
2014-02-21,64.5,64.5,63.55,64.5,44870
2014-02-24,64.5,65.0,63.55,65.0,62870
2014-02-25,63.7,64.9,63.6,64.8,45390
2014-02-26,64.9,64.9,63.6,63.6,76280
2014-02-27,63.7,64.0,62.0,62.0,144820
2014-02-28,62.0,62.6,60.0,60.0,188130
2014-03-03,60.0,60.0,58.8,60.0,96580
2014-03-04,59.5,59.8,58.55,59.5,63250
2014-03-05,59.3,59.3,58.15,58.2,110210
2014-03-06,58.2,58.3,58.05,58.1,120020
2014-03-07,58.1,59.0,58.05,58.5,96970
2014-03-10,58.1,59.2,58.1,58.6,155550
2014-03-11,58.6,62.25,58.5,62.0,1330730
2014-03-12,62.95,65.0,60.1,65.0,577900
2014-03-13,65.2,72.5,65.2,72.0,497300
2014-03-14,72.65,72.65,69.5,72.0,213060
2014-03-17,72.15,74.0,71.0,72.0,109130
2014-03-18,71.0,82.0,71.0,81.0,572070
2014-03-19,81.0,85.5,77.15,82.9,348400
2014-03-20,83.0,83.0,79.5,83.0,190860
2014-03-21,81.1,83.5,81.0,82.95,230910
2014-03-24,82.95,85.05,82.4,85.0,216800
2014-03-25,85.0,85.0,83.5,85.0,62510
2014-03-26,85.0,86.0,84.1,86.0,123390
2014-03-27,86.0,86.5,84.05,86.5,110340
2014-03-28,86.0,88.0,85.6,88.0,286900
2014-03-31,88.0,89.0,86.6,88.95,174690
2014-04-01,89.0,90.0,88.2,89.0,80240
2014-04-02,89.9,91.0,89.5,90.0,223080
2014-04-03,91.0,91.0,87.55,90.0,125020
2014-04-04,89.95,92.0,88.05,92.0,153920
2014-04-07,91.85,94.0,89.15,94.0,108220
2014-04-08,92.25,94.0,91.95,94.0,50790
2014-04-10,94.0,94.2,93.0,94.1,114000
2014-04-11,93.1,96.1,93.1,96.0,140460
2014-04-14,95.95,96.2,93.15,95.5,63320
2014-04-15,95.1,96.0,95.0,95.0,39030
2014-04-16,94.5,95.6,94.5,95.1,45570
2014-04-21,95.2,95.7,95.1,95.45,44970
2014-04-22,95.5,95.6,94.55,94.55,80350
2014-04-23,94.55,95.0,93.5,93.5,53700
2014-04-24,93.25,95.5,89.5,95.5,199570
2014-04-25,95.0,95.0,94.0,94.25,39660
2014-04-28,94.0,95.5,93.9,95.0,34330
2014-04-29,95.0,95.0,93.05,93.1,20260
2014-04-30,93.0,93.5,91.0,93.5,125650
2014-05-02,93.9,93.95,93.0,93.8,26580
2014-05-05,93.9,94.0,92.5,94.0,26400
2014-05-06,94.0,94.0,92.5,93.0,6790
2014-05-07,92.5,93.5,92.0,92.5,17040
2014-05-08,92.9,92.9,89.9,91.45,52190
2014-05-09,91.5,91.5,90.1,90.2,101760
2014-05-12,90.0,91.4,90.0,90.5,32960
2014-05-13,90.1,91.0,89.8,89.9,32210
2014-05-14,89.9,90.5,89.8,89.8,14120
2014-05-15,89.8,89.85,89.3,89.6,35660
2014-05-16,89.3,89.3,88.6,89.0,52780
2014-05-19,88.7,88.9,87.9,88.9,62960
2014-05-20,88.9,89.1,88.1,88.7,53010
2014-05-21,89.45,89.45,88.2,88.85,5860
