date,open,high,low,close,volume
2013-10-30,1.88,2.02,1.88,1.91,39748000
2013-10-31,1.92,1.94,1.8,1.81,11612000
2013-11-04,1.81,1.89,1.81,1.82,17355000
2013-11-05,1.84,1.84,1.76,1.8,2944000
2013-11-06,1.78,1.8,1.72,1.74,1836000
2013-11-07,1.74,1.75,1.7,1.71,1759000
2013-11-08,1.7,1.72,1.7,1.7,4430000
2013-11-11,1.7,1.72,1.69,1.7,1027000
2013-11-12,1.72,1.8,1.72,1.78,1221000
2013-11-13,1.76,1.83,1.75,1.75,661000
2013-11-14,1.77,1.79,1.75,1.75,1494000
2013-11-15,1.75,1.75,1.71,1.71,362000
2013-11-18,1.71,1.71,1.68,1.68,1356000
2013-11-19,1.67,1.67,1.62,1.62,1117000
2013-11-20,1.61,1.61,1.47,1.53,1327000
2013-11-21,1.47,1.5,1.47,1.48,408000
2013-11-22,1.5,1.53,1.5,1.5,526000
2013-11-25,1.5,1.5,1.47,1.47,70000
2013-11-26,1.47,1.47,1.32,1.44,486000
2013-11-27,1.4,1.44,1.4,1.4,177000
2013-11-28,1.38,1.49,1.38,1.43,230000
2013-11-29,1.44,1.48,1.4,1.46,373000
2013-12-02,1.46,1.46,1.39,1.41,449000
2013-12-03,1.41,1.42,1.32,1.33,1181000
2013-12-04,1.33,1.36,1.33,1.34,87000
2013-12-05,1.32,1.4,1.32,1.34,523000
2013-12-06,1.4,1.4,1.33,1.38,231000
2013-12-09,1.39,1.39,1.29,1.36,1117000
2013-12-10,1.36,1.36,1.3,1.3,114000
2013-12-11,1.25,1.3,1.25,1.26,81000
2013-12-12,1.27,1.3,1.22,1.22,754000
2013-12-13,1.21,1.21,1.21,1.21,164000
2013-12-16,1.21,1.25,1.21,1.25,111000
2013-12-17,1.29,1.37,1.29,1.31,339000
2013-12-18,1.34,1.34,1.33,1.33,6000
2013-12-19,1.3,1.34,1.25,1.33,683000
2013-12-20,1.3,1.33,1.29,1.29,337000
2013-12-23,1.27,1.27,1.23,1.24,62000
2013-12-26,1.23,1.25,1.22,1.23,431000
2013-12-27,1.27,1.27,1.2,1.21,283000
2014-01-02,1.21,1.3,1.2,1.28,547000
2014-01-03,1.24,1.36,1.24,1.28,471000
2014-01-06,1.24,1.3,1.24,1.3,12000
2014-01-07,1.29,1.29,1.29,1.29,45000
2014-01-08,1.27,1.28,1.25,1.28,50000
2014-01-09,1.28,1.28,1.25,1.28,89000
2014-01-10,1.28,1.28,1.24,1.24,79000
2014-01-13,1.26,1.26,1.24,1.24,113000
2014-01-14,1.25,1.31,1.25,1.31,505000
2014-01-15,1.28,1.38,1.28,1.32,543000
2014-01-16,1.32,1.35,1.3,1.3,569000
2014-01-17,1.31,1.31,1.28,1.28,112000
2014-01-20,1.32,1.32,1.28,1.28,6000
2014-01-21,1.26,1.28,1.23,1.28,426000
2014-01-22,1.28,1.28,1.25,1.26,391000
2014-01-23,1.25,1.29,1.23,1.29,418000
2014-01-24,1.29,1.29,1.24,1.26,343000
2014-01-27,1.28,1.29,1.26,1.26,380000
2014-01-28,1.26,1.26,1.21,1.25,1009000
2014-01-29,1.25,1.26,1.22,1.26,117000
2014-01-30,1.25,1.28,1.25,1.28,630000
2014-02-03,1.25,1.28,1.25,1.28,16593000
2014-02-04,1.28,1.34,1.25,1.29,2039000
2014-02-05,1.29,1.35,1.28,1.33,1441000
2014-02-06,1.35,1.53,1.35,1.49,5093000
2014-02-07,1.51,1.57,1.49,1.49,2519000
2014-02-10,1.49,1.5,1.45,1.47,488000
2014-02-11,1.47,1.5,1.46,1.49,579000
2014-02-12,1.5,1.57,1.5,1.54,1575000
2014-02-13,1.58,1.61,1.51,1.61,2158000
2014-02-14,1.62,1.73,1.62,1.68,1780000
2014-02-17,1.68,1.7,1.64,1.64,542000
2014-02-18,1.63,1.65,1.6,1.65,844000
2014-02-19,1.66,1.72,1.65,1.71,856000
2014-02-20,1.72,1.87,1.7,1.84,4791000
2014-02-21,1.88,1.88,1.79,1.81,1397000
2014-02-24,1.85,1.86,1.76,1.76,1956000
2014-02-25,1.8,1.82,1.77,1.77,1713000
2014-02-26,1.7,1.78,1.7,1.75,899000
2014-02-27,1.77,1.78,1.73,1.77,112000
2014-02-28,1.73,1.8,1.73,1.77,721000
2014-03-03,1.75,1.85,1.74,1.82,1978000
2014-03-04,1.84,1.88,1.82,1.82,2844000
2014-03-05,1.85,1.9,1.85,1.85,19114000
2014-03-06,1.88,1.88,1.8,1.8,2407000
2014-03-07,1.88,1.88,1.78,1.78,2808000
2014-03-10,1.78,1.81,1.74,1.74,1349000
2014-03-11,1.73,1.78,1.73,1.76,439000
2014-03-12,1.8,1.8,1.76,1.77,391000
2014-03-13,1.75,1.78,1.75,1.76,164000
2014-03-14,1.73,1.79,1.73,1.74,127000
2014-03-17,1.77,1.78,1.74,1.78,550000
2014-03-18,1.74,1.78,1.74,1.78,482000
2014-03-19,1.73,1.78,1.72,1.75,1360000
2014-03-20,1.76,1.84,1.72,1.8,3251000
2014-03-21,1.82,1.83,1.8,1.8,1609000
2014-03-24,1.8,1.81,1.77,1.78,492000
2014-03-25,1.79,1.79,1.73,1.73,491000
2014-03-26,1.74,1.78,1.74,1.75,418000
2014-03-27,1.76,1.81,1.76,1.78,1546000
2014-03-28,1.75,1.84,1.75,1.79,4147000
2014-03-31,1.82,1.82,1.78,1.81,2471000
2014-04-01,1.78,1.8,1.76,1.76,1645000
2014-04-02,1.77,1.77,1.76,1.76,409000
2014-04-03,1.75,1.76,1.74,1.75,381000
2014-04-04,1.76,1.78,1.76,1.77,658000
2014-04-07,1.73,1.77,1.73,1.77,431000
2014-04-08,1.75,1.77,1.75,1.77,810000
2014-04-10,1.78,1.79,1.74,1.79,475000
2014-04-11,1.78,1.78,1.76,1.78,365000
2014-04-14,1.75,1.78,1.73,1.77,129000
2014-04-15,1.76,1.78,1.76,1.76,123000
2014-04-16,1.76,1.77,1.75,1.77,327000
2014-04-21,1.75,1.78,1.74,1.74,238000
2014-04-22,1.73,1.76,1.73,1.74,146000
2014-04-23,1.76,1.76,1.74,1.75,344000
2014-04-24,1.73,1.78,1.73,1.76,429000
2014-04-25,1.77,1.87,1.75,1.83,8010000
2014-04-28,1.85,1.93,1.83,1.83,10621000
2014-04-29,1.83,1.9,1.83,1.85,1407000
2014-04-30,1.83,1.87,1.83,1.85,788000
2014-05-02,1.83,1.86,1.82,1.82,731000
2014-05-05,1.83,1.85,1.8,1.8,1238000
2014-05-06,1.8,1.83,1.78,1.8,399000
2014-05-07,1.78,1.83,1.78,1.82,387000
2014-05-08,1.8,1.84,1.79,1.81,305000
2014-05-09,1.84,1.86,1.81,1.81,754000
2014-05-12,1.81,1.88,1.8,1.85,1516000
2014-05-13,1.87,1.95,1.86,1.9,8795000
2014-05-14,1.93,1.95,1.86,1.86,2259000
2014-05-15,1.83,1.89,1.78,1.83,2503000
2014-05-16,1.8,1.83,1.79,1.82,519000
2014-05-19,1.8,1.84,1.8,1.81,286000
