date,open,high,low,close,volume
1999-02-04,15.5,15.5,15.25,15.5,113900
1999-02-05,15.5,15.5,15.5,15.5,54800
1999-02-08,15.5,15.5,15.5,15.5,54800
1999-02-09,15.5,15.5,15.5,15.5,54800
1999-02-10,15.5,15.5,15.5,15.5,54800
1999-02-11,15.5,15.5,15.5,15.5,54800
1999-02-15,15.25,15.5,15.25,15.5,14000
1999-02-17,14.5,14.5,14.5,14.5,1400
1999-02-18,14.5,14.5,14.5,14.5,200
1999-02-19,14.75,14.75,14.75,14.75,1500
1999-02-22,14.75,14.75,14.75,14.75,200
1999-02-23,15.25,15.25,15.0,15.0,59300
1999-02-24,15.0,15.0,15.0,15.0,79100
1999-02-25,15.25,15.5,15.25,15.25,127600
1999-02-26,15.5,15.5,15.25,15.25,98400
1999-03-01,15.5,16.25,15.5,16.25,44300
1999-03-03,16.0,16.25,16.0,16.0,56400
1999-03-04,16.0,16.25,16.0,16.25,75700
1999-03-05,16.5,16.5,16.25,16.5,72400
1999-03-08,15.75,15.75,15.75,15.75,200
1999-03-09,15.75,16.0,15.75,16.0,7800
1999-03-10,15.0,16.0,15.0,16.0,44900
1999-03-11,16.0,16.0,16.0,16.0,376400
1999-03-15,15.5,15.5,15.5,15.5,100
1999-03-16,15.0,15.0,15.0,15.0,6000
1999-03-17,15.5,15.5,15.5,15.5,11600
1999-03-18,15.5,15.5,15.5,15.5,2500
1999-03-19,15.5,15.5,15.5,15.5,400
1999-03-22,15.25,15.5,15.25,15.5,2300
1999-03-23,15.75,16.0,15.75,16.0,145000
1999-03-24,15.75,15.75,15.75,15.75,4800
1999-03-25,15.75,15.75,15.5,15.5,7500
1999-03-26,15.0,15.0,15.0,15.0,47300
1999-03-29,15.25,15.5,15.25,15.5,10200
1999-03-30,15.5,15.5,15.5,15.5,2000
1999-03-31,15.75,15.75,15.75,15.75,5200
1999-04-05,15.75,16.0,15.75,16.0,158500
1999-04-06,16.0,16.5,16.0,16.25,79100
1999-04-07,16.25,16.25,16.25,16.25,20800
1999-04-08,16.5,16.75,16.5,16.75,119100
1999-04-12,16.75,17.25,16.75,17.25,55000
1999-04-13,17.25,17.75,17.25,17.75,121800
1999-04-14,17.5,17.5,17.5,17.5,42300
1999-04-15,17.75,19.5,17.75,19.0,225200
1999-04-16,18.75,19.0,18.75,19.0,51900
1999-04-19,19.0,20.0,19.0,20.0,291500
1999-04-22,20.25,21.75,20.25,21.5,355600
1999-04-23,21.75,21.75,21.25,21.25,122800
1999-04-26,21.25,22.0,21.0,21.0,52400
1999-04-28,20.0,22.5,20.0,22.25,788500
1999-04-29,22.75,25.5,22.75,25.5,534900
1999-04-30,25.5,26.0,25.0,25.0,357600
1999-05-03,25.0,25.0,24.0,24.5,184200
1999-05-04,24.5,24.5,23.0,23.0,29100
1999-05-05,23.0,23.0,23.0,23.0,48100
1999-05-06,23.25,23.25,23.0,23.25,51100
1999-05-07,23.5,23.5,23.0,23.0,169100
1999-05-10,23.0,23.0,22.75,22.75,69000
