date,open,high,low,close,volume
1999-02-04,4.95,5.0,4.95,5.0,1103000
1999-02-05,5.0,5.2,5.0,5.2,2568000
1999-02-08,5.0,5.2,5.0,5.2,2568000
1999-02-09,5.0,5.2,5.0,5.2,2568000
1999-02-10,5.0,5.2,5.0,5.2,2568000
1999-02-11,5.0,5.2,5.0,5.2,2568000
1999-02-12,4.85,4.85,4.7,4.75,2035000
1999-02-15,4.7,4.7,4.5,4.55,1027000
1999-02-16,4.55,4.6,4.55,4.6,214000
1999-02-17,4.6,4.65,4.55,4.65,1187000
1999-02-18,4.55,4.6,4.4,4.55,2279000
1999-02-19,4.85,4.85,4.5,4.55,1271000
1999-02-22,4.55,4.55,4.55,4.55,10000
1999-02-23,4.6,4.75,4.6,4.65,1428000
1999-02-24,4.55,4.6,4.55,4.6,1721000
1999-02-25,4.45,4.6,4.45,4.6,241000
1999-02-26,4.6,4.85,4.6,4.85,620000
1999-03-01,4.8,4.9,4.8,4.9,309000
1999-03-02,4.8,4.8,4.8,4.8,17000
1999-03-03,4.9,5.0,4.9,5.0,412000
1999-03-04,5.0,5.1,5.0,5.1,684000
1999-03-05,5.2,5.3,5.2,5.3,1136000
1999-03-08,5.3,5.4,5.2,5.2,539000
1999-03-09,5.2,5.3,5.2,5.3,896000
1999-03-10,5.3,5.4,5.3,5.3,293000
1999-03-11,5.3,5.4,5.3,5.4,1489000
1999-03-12,5.4,5.4,5.4,5.4,722000
1999-03-15,5.4,5.4,5.4,5.4,108000
1999-03-16,5.5,5.5,5.4,5.4,145000
1999-03-17,5.5,5.6,5.5,5.5,862000
1999-03-18,5.5,5.5,5.5,5.5,32000
1999-03-19,5.5,5.6,5.5,5.6,505000
1999-03-22,5.6,5.6,5.6,5.6,467000
1999-03-23,5.7,6.2,5.7,6.2,2507000
1999-03-24,6.1,6.3,6.1,6.2,1695000
1999-03-25,6.4,6.4,6.3,6.3,389000
1999-03-26,6.4,6.7,6.4,6.6,857000
1999-03-29,6.7,6.8,6.7,6.7,476000
1999-03-30,6.7,6.8,6.6,6.7,304000
1999-03-31,6.8,7.0,6.8,7.0,625000
1999-04-05,7.0,7.0,6.8,6.8,631000
1999-04-06,6.9,7.0,6.9,7.0,2299000
1999-04-07,7.0,7.3,7.0,7.2,940000
1999-04-08,7.3,7.5,7.3,7.4,1445000
1999-04-12,7.5,7.9,7.5,7.9,2254000
1999-04-13,7.6,7.7,7.5,7.5,1514000
1999-04-14,7.5,7.6,7.3,7.3,4346000
1999-04-15,7.3,7.3,7.2,7.2,2464000
1999-04-16,7.2,7.4,7.2,7.3,1708000
1999-04-19,7.5,7.6,7.4,7.6,512000
1999-04-20,7.6,7.7,7.6,7.6,1881000
1999-04-21,7.6,7.6,7.4,7.4,895000
1999-04-22,7.4,7.5,7.4,7.5,300000
1999-04-23,7.5,7.6,7.5,7.5,1248000
1999-04-26,7.5,7.7,7.5,7.7,189000
1999-04-27,7.5,7.5,7.5,7.5,50000
1999-04-28,7.5,7.7,7.5,7.6,637000
1999-04-29,8.0,8.0,7.6,7.6,1148000
1999-04-30,7.6,7.6,7.3,7.3,3461000
1999-05-03,7.3,7.5,7.3,7.4,740000
1999-05-04,7.5,7.5,7.3,7.4,1436000
1999-05-05,7.3,7.3,6.7,6.9,2722000
1999-05-06,6.9,7.4,6.9,7.4,1691000
1999-05-07,7.4,7.4,7.1,7.1,1302000
1999-05-10,7.1,7.1,7.0,7.0,847000
1999-05-11,7.0,7.1,7.0,7.1,262000
1999-05-12,7.1,7.6,7.1,7.3,2097000
1999-05-13,7.5,7.7,7.4,7.7,1752000
1999-05-14,7.8,8.0,7.5,7.7,4892000
