date,open,high,low,close,volume
2001-02-23,0.98,0.98,0.98,0.98,30000
2001-04-19,1.3,1.3,1.3,1.3,10000
2001-04-23,1.02,1.02,1.02,1.02,5000
2001-05-08,1.0,1.0,1.0,1.0,7000
2001-05-25,1.0,1.0,1.0,1.0,10000
2001-06-01,1.1,1.1,1.1,1.1,10000
2001-06-22,1.0,1.0,1.0,1.0,5000
2001-06-28,1.0,1.0,1.0,1.0,20000
2001-10-04,0.95,0.95,0.95,0.95,30000
2001-12-20,0.95,0.95,0.95,0.95,150000
2002-03-14,0.59,0.59,0.59,0.59,10000
2002-09-17,0.55,0.55,0.55,0.55,20000
2003-06-04,0.4,0.4,0.4,0.4,60000
2003-06-30,0.4,0.4,0.4,0.4,116550000
2003-07-14,0.59,0.59,0.59,0.59,10000
2003-07-21,0.59,0.6,0.59,0.6,30000
2003-08-01,0.6,0.6,0.6,0.6,30000
2003-08-04,0.6,0.6,0.6,0.6,10000
2003-10-29,0.8,0.8,0.8,0.8,10000
2003-12-02,0.75,0.75,0.75,0.75,10000
2004-01-12,0.6,0.6,0.6,0.6,50000
2004-04-12,0.7,0.7,0.7,0.7,10000
2004-07-14,0.7,0.7,0.7,0.7,150000
2004-07-15,0.7,0.7,0.7,0.7,480000
2004-10-08,0.8,0.82,0.8,0.82,30000
2005-02-11,0.88,0.88,0.88,0.88,10000
2005-02-15,1.0,1.0,1.0,1.0,10000
2005-03-16,0.9,0.9,0.9,0.9,60000
2005-09-09,0.9,0.9,0.9,0.9,10000
2005-11-09,0.75,0.75,0.75,0.75,50000
2006-01-20,0.8,0.8,0.8,0.8,10000
2006-06-07,0.78,0.78,0.78,0.78,70000
2006-07-11,0.83,0.85,0.83,0.85,30000
2006-08-03,0.85,0.85,0.85,0.85,30000
2006-08-07,0.87,0.87,0.87,0.87,10000
2006-09-14,0.8,0.8,0.8,0.8,10000
2006-10-20,0.83,0.83,0.83,0.83,10000
2007-01-12,0.93,0.93,0.93,0.93,10000
2007-02-01,1.16,1.16,1.16,1.16,20000
2007-02-02,1.16,1.24,1.16,1.2,14000
2007-02-06,1.1,1.1,1.1,1.1,3000
2007-02-14,1.14,1.14,1.0,1.0,35000
2007-03-19,1.02,1.02,1.02,1.02,10000
2007-03-20,1.2,1.2,1.2,1.2,1000
2007-03-22,1.02,1.02,1.02,1.02,1000
2007-03-23,1.16,1.2,1.16,1.2,10000
2007-03-29,1.06,1.06,1.06,1.06,10000
2007-04-02,1.2,1.2,1.2,1.2,29000
2007-04-18,1.3,1.3,1.3,1.3,135000
2007-04-24,1.3,1.3,1.3,1.3,3000
2007-04-27,1.2,1.2,1.2,1.2,1000
2007-05-08,1.2,1.2,1.2,1.2,3000
2007-05-11,1.2,1.2,1.2,1.2,7000
2007-05-16,1.68,1.68,1.68,1.68,1000
2007-05-17,1.68,1.68,1.68,1.68,2000
2007-05-22,1.6,1.6,1.6,1.6,3000
2007-06-01,1.7,1.7,1.7,1.7,8000
2007-06-12,1.7,1.7,1.7,1.7,3000
2007-06-14,1.8,2.0,1.8,2.0,18000
2007-06-21,2.0,2.0,2.0,2.0,17000
2007-06-26,1.5,1.5,1.5,1.5,1000
2007-06-29,1.62,1.62,1.62,1.62,3000
2007-07-04,1.76,1.76,1.76,1.76,1000
2007-07-16,2.0,2.0,2.0,2.0,3000
2007-07-18,2.0,2.0,2.0,2.0,20000
2007-07-20,2.0,2.0,2.0,2.0,20000
2007-07-24,2.0,2.8,2.0,2.8,3000
2007-07-25,2.9,2.9,2.9,2.9,30000
2007-08-01,2.1,2.1,2.1,2.1,16000
2007-08-24,2.1,2.1,2.1,2.1,9000
2007-09-07,2.0,2.0,2.0,2.0,1000
2007-12-06,1.2,1.2,1.2,1.2,1000
2007-12-14,1.22,1.22,1.2,1.2,5000
