date,open,high,low,close,volume
2000-02-03,0.8,0.8,0.8,0.8,20000
2000-02-04,1.0,1.0,1.0,1.0,20000
2000-02-21,0.3,0.35,0.29,0.33,1259640000
2000-02-22,0.3,0.31,0.28,0.29,910710000
2000-02-23,0.27,0.28,0.24,0.26,1403070000
2000-02-24,0.28,0.29,0.24,0.245,885890000
2000-02-29,0.26,0.28,0.22,0.22,625490000
2000-03-01,0.23,0.25,0.22,0.25,727560000
2000-03-02,0.27,0.33,0.27,0.32,2000680000
2000-03-03,0.31,0.35,0.31,0.31,1287190000
2000-03-06,0.33,0.37,0.33,0.35,1220140000
2000-03-07,0.35,0.4,0.32,0.39,1502110000
2000-03-08,0.37,0.44,0.37,0.42,1535510000
2000-03-09,0.45,0.48,0.44,0.47,1423760000
2000-03-10,0.49,0.5,0.46,0.49,875840000
2000-03-13,0.54,0.54,0.45,0.46,1049300000
2000-03-14,0.44,0.47,0.42,0.43,695220000
2000-03-15,0.42,0.46,0.41,0.45,568050000
2000-03-16,0.47,0.48,0.42,0.43,400690000
2000-03-17,0.45,0.45,0.43,0.43,311370000
2000-03-20,0.43,0.44,0.39,0.41,440960000
2000-03-21,0.4,0.49,0.38,0.47,847710000
2000-03-22,0.49,0.52,0.46,0.48,1384780000
2000-03-23,0.49,0.5,0.46,0.47,412690000
2000-03-24,0.49,0.49,0.45,0.47,419710000
2000-03-27,0.47,0.48,0.45,0.46,303290000
2000-03-28,0.46,0.46,0.42,0.43,352250000
2000-03-29,0.41,0.43,0.39,0.4,480550000
2000-03-30,0.41,0.43,0.4,0.41,391600000
2000-03-31,0.4,0.41,0.39,0.39,370650000
2000-04-03,0.4,0.41,0.36,0.38,434200000
2000-04-04,0.35,0.35,0.31,0.33,515390000
2000-04-05,0.31,0.33,0.3,0.32,488760000
2000-04-06,0.32,0.34,0.32,0.34,388420000
2000-04-07,0.35,0.36,0.32,0.33,285570000
2000-04-10,0.33,0.34,0.31,0.31,153760000
2000-04-11,0.28,0.29,0.25,0.27,370890000
2000-04-12,0.25,0.28,0.235,0.28,502550000
2000-04-13,0.245,0.28,0.245,0.26,400000000
2000-04-14,0.26,0.28,0.26,0.26,228100000
2000-04-17,0.22,0.235,0.205,0.21,527190000
2000-04-18,0.235,0.24,0.2,0.205,403930000
2000-04-19,0.215,0.22,0.185,0.2,357210000
2000-04-24,0.205,0.205,0.195,0.2,91360000
2000-04-25,0.185,0.19,0.18,0.185,247010000
2000-04-26,0.195,0.2,0.19,0.195,265650000
2000-04-27,0.19,0.19,0.18,0.185,46140000
2000-04-28,0.18,0.195,0.175,0.195,231490000
2000-05-02,0.195,0.215,0.195,0.2,332050000
2000-05-03,0.19,0.2,0.19,0.2,66380000
2000-05-04,0.19,0.195,0.19,0.195,131250000
2000-05-05,0.2,0.2,0.165,0.165,232900000
2000-05-08,0.17,0.17,0.125,0.13,430340000
2000-05-09,0.12,0.14,0.115,0.13,362790000
2000-05-10,0.135,0.145,0.125,0.125,292330000
2000-05-11,0.115,0.12,0.105,0.115,1878940000
2000-05-12,0.13,0.15,0.125,0.15,618500000
2000-05-15,0.145,0.155,0.135,0.14,297760000
2000-05-16,0.145,0.165,0.14,0.165,345300000
2000-05-17,0.17,0.175,0.155,0.16,493090000
2000-05-18,0.155,0.155,0.145,0.15,155910000
2000-05-19,0.145,0.155,0.14,0.15,262030000
2000-05-22,0.135,0.14,0.125,0.13,229540000
2000-05-23,0.125,0.135,0.12,0.135,279730000
2000-05-25,0.155,0.165,0.15,0.165,581100000
2000-05-26,0.155,0.165,0.15,0.155,244570000
2000-05-30,0.165,0.17,0.155,0.16,321690000
2000-06-01,0.16,0.165,0.16,0.165,25880000
2000-06-02,0.165,0.17,0.165,0.17,128630000
2000-06-05,0.17,0.185,0.17,0.175,554890000
2000-06-06,0.175,0.185,0.175,0.185,141830000
2000-06-07,0.18,0.18,0.17,0.175,95770000
2000-06-08,0.18,0.18,0.17,0.175,123970000
2000-06-09,0.17,0.175,0.165,0.17,43140000
2000-06-13,0.165,0.17,0.16,0.165,101210000
2000-06-14,0.17,0.175,0.165,0.17,117660000
2000-06-15,0.165,0.17,0.16,0.165,59400000
2000-06-16,0.165,0.17,0.165,0.17,46780000
2000-06-19,0.165,0.17,0.165,0.165,23300000
2000-06-20,0.17,0.17,0.165,0.165,74910000
2000-06-21,0.165,0.17,0.16,0.16,46580000
2000-06-22,0.16,0.165,0.145,0.15,100730000
2000-06-23,0.15,0.15,0.14,0.14,87080000
