date,open,high,low,close,volume
2017-03-31,5.3,5.37,5.17,5.33,201325500
2017-04-03,5.33,5.46,5.32,5.35,56547300
2017-04-04,5.36,5.37,5.21,5.32,19364900
2017-04-05,5.3,5.32,5.1,5.17,32803600
2017-04-06,5.15,5.24,5.08,5.2,19912700
2017-04-07,5.21,5.27,5.12,5.16,18040100
2017-04-10,5.16,5.24,5.16,5.23,7003400
2017-04-11,5.24,5.24,5.2,5.23,8758200
2017-04-12,5.24,5.33,5.24,5.28,7495000
2017-04-17,5.28,5.28,5.2,5.21,3385800
2017-04-18,5.22,5.22,5.16,5.19,4933600
2017-04-19,5.19,5.32,5.17,5.25,13382300
2017-04-20,5.25,5.3,5.2,5.23,4020300
2017-04-21,5.24,5.26,5.22,5.23,7809700
2017-04-24,5.23,5.24,5.19,5.21,6062600
2017-04-25,5.22,5.25,5.22,5.25,11569700
2017-04-26,5.26,5.46,5.23,5.42,38296700
2017-04-27,5.45,5.56,5.39,5.42,29237200
2017-05-02,5.44,5.45,5.34,5.36,6243400
2017-05-03,5.37,5.37,5.25,5.28,8126700
2017-05-04,5.29,5.38,5.27,5.36,14266600
2017-05-05,5.36,5.36,5.32,5.34,13416800
2017-05-08,5.34,5.43,5.32,5.37,13840000
2017-05-09,5.39,5.39,5.33,5.38,4496000
2017-05-10,5.38,5.45,5.35,5.39,10790400
2017-05-11,5.38,5.42,5.34,5.4,9395800
2017-05-12,5.41,5.41,5.35,5.39,5203500
2017-05-15,5.39,5.49,5.39,5.43,16713200
2017-05-16,5.45,5.49,5.39,5.4,13286000
2017-05-17,5.4,5.43,5.38,5.43,5797700
2017-05-18,5.42,5.42,5.32,5.35,15945500
2017-05-19,5.35,5.46,5.35,5.39,16220300
2017-05-22,5.41,5.43,5.39,5.39,4600500
2017-05-23,5.41,5.41,5.39,5.41,5656400
2017-05-24,5.38,5.38,5.3,5.38,2304200
2017-05-25,5.38,5.4,5.34,5.38,11611400
2017-05-26,5.39,5.44,5.35,5.42,20536900
2017-05-29,5.4,5.41,5.39,5.41,39299000
2017-05-30,5.41,5.76,5.4,5.7,56407900
2017-05-31,5.7,5.79,5.66,5.75,14374200
2017-06-01,5.75,6.27,5.75,6.2,56495300
2017-06-02,6.16,6.35,6.02,6.07,35481000
2017-06-05,6.07,6.35,6.01,6.27,17876400
2017-06-06,6.27,6.45,6.23,6.25,15504300
2017-06-07,6.25,6.49,6.19,6.49,20394600
2017-06-08,6.5,6.63,6.48,6.5,18939100
2017-06-09,6.5,6.61,6.48,6.59,6868400
2017-06-13,6.59,6.6,6.5,6.58,13151800
2017-06-14,6.58,6.6,6.32,6.47,9017700
2017-06-15,6.5,6.8,6.5,6.69,17899700
2017-06-16,6.7,6.99,6.7,6.82,23392800
2017-06-19,6.85,7.05,6.85,7.0,30050600
2017-06-20,7.05,7.58,7.04,7.58,45567900
2017-06-21,7.6,7.98,7.58,7.79,36525100
2017-06-22,7.68,7.85,7.45,7.55,34369900
2017-06-23,7.54,7.9,7.43,7.9,25379100
2017-06-27,7.9,8.17,7.88,8.02,29342000
2017-06-28,8.06,8.14,7.94,7.95,13280400
2017-06-29,7.98,8.04,7.89,7.95,6408500
2017-06-30,7.95,8.05,7.71,7.94,16453600
2017-07-03,7.94,7.95,7.73,7.73,6440100
2017-07-04,7.73,8.0,7.73,7.99,12808600
2017-07-05,8.01,8.5,7.95,8.48,28117500
2017-07-06,8.5,8.88,8.43,8.65,27332600
2017-07-07,8.65,8.88,8.6,8.61,5865900
2017-07-10,8.63,8.8,8.6,8.63,4469500
2017-07-11,8.63,8.65,8.15,8.59,21623000
2017-07-12,8.59,8.7,8.2,8.66,18465300
2017-07-13,8.7,8.76,8.36,8.44,12473900
2017-07-14,8.44,8.55,8.22,8.25,12270300
2017-07-17,8.24,8.4,8.06,8.1,8064000
2017-07-18,8.09,8.37,7.9,8.29,14886700
2017-07-19,8.31,8.76,8.31,8.71,16119100
2017-07-20,8.75,9.08,8.75,8.89,20964800
2017-07-21,8.92,9.01,8.59,8.85,5817700
2017-07-24,8.85,8.85,8.7,8.81,3516000
2017-07-25,8.8,8.95,8.62,8.75,4958100
2017-07-26,8.75,9.0,8.7,8.94,7572100
2017-07-27,8.98,9.15,8.75,9.0,8330700
2017-07-28,8.99,9.13,8.95,9.0,6205300
2017-07-31,9.0,9.0,8.88,8.91,3976900
2017-08-01,8.81,8.86,8.62,8.74,4246100
2017-08-02,8.74,9.0,8.69,8.88,2715400
