date,open,high,low,close,volume
1999-02-04,1.82,1.82,1.76,1.82,3510000
1999-02-05,1.8,1.8,1.74,1.8,2380000
1999-02-08,1.8,1.8,1.74,1.8,2380000
1999-02-09,1.8,1.8,1.74,1.8,2380000
1999-02-10,1.8,1.8,1.74,1.8,2380000
1999-02-11,1.8,1.8,1.74,1.8,2380000
1999-02-12,1.72,1.74,1.64,1.64,1030000
1999-02-15,1.7,1.7,1.62,1.68,1390000
1999-02-16,1.66,1.68,1.58,1.58,110000
1999-02-17,1.66,1.68,1.66,1.68,260000
1999-02-18,1.6,1.66,1.58,1.66,303000
1999-02-19,1.66,1.7,1.62,1.7,500000
1999-02-22,1.7,1.7,1.6,1.66,1016000
1999-02-23,1.68,1.7,1.66,1.66,1700000
1999-02-24,1.66,1.68,1.6,1.68,1650000
1999-02-25,1.6,1.66,1.6,1.6,280000
1999-02-26,1.66,1.66,1.58,1.58,423000
1999-03-01,1.5,1.6,1.5,1.5,383000
1999-03-02,1.5,1.6,1.5,1.58,352000
1999-03-03,1.6,1.6,1.52,1.56,1762000
1999-03-04,1.56,1.6,1.56,1.6,410000
1999-03-05,1.6,1.6,1.6,1.6,750000
1999-03-08,1.56,1.6,1.52,1.6,130000
1999-03-09,1.6,1.62,1.54,1.6,893000
1999-03-10,1.54,1.56,1.52,1.56,6544000
1999-03-11,1.58,1.6,1.56,1.58,682000
1999-03-12,1.52,1.6,1.52,1.56,401000
1999-03-15,1.3,1.58,1.3,1.5,198000
1999-03-16,1.52,1.56,1.52,1.54,272000
1999-03-17,1.48,1.52,1.48,1.52,671000
1999-03-18,1.52,1.54,1.52,1.54,439000
1999-03-19,1.54,1.54,1.5,1.5,739000
1999-03-22,1.5,1.54,1.5,1.54,835000
1999-03-23,1.52,1.56,1.52,1.56,1077000
1999-03-24,1.5,1.54,1.5,1.54,520000
1999-03-25,1.52,1.54,1.42,1.54,522000
1999-03-26,1.52,1.54,1.5,1.5,761000
1999-03-29,1.5,1.54,1.5,1.54,260000
1999-03-30,1.5,1.52,1.5,1.52,128000
1999-03-31,1.48,1.5,1.48,1.48,180000
1999-04-05,1.5,1.5,1.5,1.5,5000
1999-04-06,1.5,1.5,1.5,1.5,232000
1999-04-07,1.5,1.54,1.5,1.54,602000
1999-04-08,1.54,1.56,1.52,1.56,900000
1999-04-12,1.56,1.6,1.56,1.6,870000
1999-04-13,1.58,1.58,1.56,1.56,786000
1999-04-14,1.52,1.52,1.52,1.52,300000
1999-04-15,1.5,1.5,1.5,1.5,5000
1999-04-19,1.5,1.52,1.5,1.52,130000
1999-04-20,1.5,1.5,1.5,1.5,70000
1999-04-22,1.46,1.46,1.44,1.44,460000
1999-04-23,1.42,1.42,1.4,1.4,1230000
1999-04-26,1.42,1.42,1.4,1.4,212000
1999-04-27,1.38,1.4,1.38,1.4,499000
1999-04-28,1.32,1.4,1.32,1.4,260000
1999-04-29,1.36,1.36,1.36,1.36,100000
1999-04-30,1.36,1.36,1.34,1.34,640000
1999-05-03,1.34,1.34,1.34,1.34,117000
1999-05-04,1.34,1.34,1.34,1.34,70000
1999-05-05,1.34,1.4,1.3,1.4,2466000
1999-05-06,1.38,1.38,1.36,1.36,180000
1999-05-07,1.36,1.44,1.34,1.42,1998000
1999-05-10,1.46,1.5,1.38,1.5,1602000
1999-05-11,1.5,1.54,1.4,1.4,2909000
1999-05-12,1.42,1.42,1.36,1.38,1346000
1999-05-13,1.38,1.38,1.34,1.36,622000
1999-05-14,1.36,1.36,1.36,1.36,271000
1999-05-17,1.36,1.36,1.32,1.32,955000
1999-05-18,1.32,1.36,1.32,1.36,251000
1999-05-21,1.4,1.52,1.36,1.5,3492000
1999-05-24,1.5,1.5,1.4,1.4,1162000
1999-05-26,1.4,1.5,1.4,1.46,2035000
1999-05-27,1.46,1.52,1.4,1.5,4340000
1999-05-28,1.5,1.56,1.46,1.56,4033000
1999-05-31,1.56,1.76,1.56,1.72,7410000
1999-06-01,1.76,1.9,1.76,1.84,6264000
1999-06-02,1.84,1.86,1.76,1.8,5146000
1999-06-03,1.8,1.8,1.74,1.76,1408000
1999-06-04,1.8,1.8,1.76,1.78,5180000
1999-06-07,1.78,1.78,1.72,1.78,1965000
1999-06-08,1.78,1.78,1.66,1.66,340000
1999-06-09,1.66,1.76,1.66,1.76,770000
1999-06-10,1.78,1.96,1.78,1.94,6226000
1999-06-11,2.04,2.3,2.02,2.22,27127000
1999-06-14,2.42,3.1,2.42,3.0,69308000
1999-06-15,3.3,3.4,2.95,3.15,46422000
1999-06-16,3.25,3.75,3.15,3.7,62639000
1999-06-17,3.85,4.0,3.8,3.95,64885000
1999-06-18,4.0,4.3,4.0,4.1,53253000
1999-06-21,4.25,4.3,4.0,4.1,70063000
1999-06-22,4.1,4.25,4.0,4.1,33789000
1999-06-23,4.1,4.3,4.05,4.25,42494000
1999-06-24,4.3,4.4,4.1,4.2,27968000
1999-06-25,4.1,4.15,3.8,3.9,14613000
1999-06-28,4.05,4.2,3.95,4.0,31005000
1999-06-29,4.1,4.1,3.75,3.8,12662000
1999-06-30,4.0,4.0,3.8,3.8,16596000
1999-07-01,3.95,4.05,3.9,3.95,21810000
1999-07-02,4.0,4.4,4.0,4.4,70262000
1999-07-05,4.6,4.65,4.45,4.5,76401000
1999-07-06,4.6,4.6,4.35,4.6,30324000
