date,open,high,low,close,volume
2014-12-02,5.95,5.95,5.95,5.95,18204000
2014-12-03,8.92,8.92,7.61,8.4,150574800
2014-12-04,8.5,8.7,7.75,7.88,33280800
2014-12-05,7.62,8.25,7.42,8.01,29772700
2014-12-09,8.35,8.68,8.22,8.52,22238600
2014-12-10,8.64,9.18,8.57,9.05,25138400
2014-12-11,9.11,9.2,8.53,8.71,21787600
2014-12-12,8.98,9.4,8.96,9.1,14464700
2014-12-15,9.0,9.53,8.83,9.44,12571600
2014-12-16,9.54,9.62,9.18,9.3,6473900
2014-12-17,9.29,9.3,9.0,9.08,11753400
2014-12-18,9.22,9.36,8.85,9.02,7309200
2014-12-19,9.15,9.28,9.05,9.05,5015400
2014-12-22,9.09,9.15,8.86,8.91,4616000
2014-12-23,8.98,9.8,8.85,9.74,14281700
2014-12-29,9.84,9.98,9.35,9.35,10408300
2015-01-05,9.44,9.6,9.4,9.5,5803600
2015-01-06,9.46,9.46,9.15,9.3,4884600
2015-01-07,9.3,9.6,9.16,9.5,4661700
2015-01-08,9.55,9.8,9.43,9.73,5785200
2015-01-09,9.83,10.2,9.83,10.0,9818600
2015-01-12,10.1,11.1,9.8,11.06,12840200
2015-01-13,11.2,11.54,11.12,11.44,9120500
2015-01-14,11.54,11.92,11.22,11.22,9730400
2015-01-19,11.5,11.6,11.26,11.48,1913400
2015-01-20,11.6,11.9,11.6,11.62,8171700
2015-01-21,11.8,11.86,11.4,11.62,4222900
2015-01-22,11.64,11.74,11.38,11.48,3094100
2015-01-23,11.58,12.26,11.58,12.14,14227800
2015-01-26,12.2,12.66,11.88,12.06,10390100
2015-01-27,12.1,12.14,11.68,11.7,8511100
2015-01-28,11.6,12.5,11.6,12.4,7893800
2015-01-29,12.44,12.7,11.9,12.3,12758500
2015-01-30,12.36,12.6,12.18,12.28,4840600
2015-02-02,12.44,12.5,12.02,12.44,3382400
2015-02-03,12.44,12.66,12.36,12.42,4368700
2015-02-04,12.46,12.88,12.44,12.6,8716700
2015-02-05,12.74,12.74,12.18,12.26,5308300
2015-02-06,12.3,12.6,12.3,12.54,1566400
2015-02-09,12.58,12.68,11.28,11.5,18414000
2015-02-10,11.54,12.08,11.54,12.0,8046900
2015-02-11,12.04,12.26,11.76,12.0,3673900
2015-02-12,12.0,12.16,11.9,12.0,1033200
2015-02-13,12.14,12.3,12.1,12.2,2119900
2015-02-16,12.2,12.24,11.86,12.0,787500
2015-02-17,12.0,12.0,11.76,11.78,3845200
2015-02-18,11.68,11.68,11.18,11.46,6302400
2015-02-20,11.46,11.46,10.42,10.78,14914100
2015-02-23,10.7,10.7,10.18,10.42,9942900
2015-02-24,10.42,11.34,10.42,11.02,6766400
2015-02-25,11.1,11.36,10.78,10.8,4110500
2015-02-26,11.1,11.84,11.02,11.84,10130600
2015-02-27,11.72,11.8,11.12,11.18,6004200
2015-03-02,11.24,11.46,10.8,10.96,3109700
2015-03-03,11.02,11.32,11.02,11.08,2244000
2015-03-04,11.08,11.34,11.06,11.2,678100
2015-03-05,11.26,11.38,11.1,11.34,667000
2015-03-06,11.34,11.6,11.3,11.4,2009500
2015-03-09,11.4,11.4,11.0,11.1,1286900
2015-03-10,11.1,11.34,11.1,11.3,864100
2015-03-11,11.12,11.2,11.08,11.12,603800
2015-03-12,11.12,11.34,11.1,11.32,1016300
2015-03-13,11.32,11.7,11.08,11.1,3313600
2015-03-16,11.12,11.34,10.78,10.8,4629100
2015-03-17,10.84,10.98,10.82,10.88,856600
2015-03-18,10.86,10.88,10.68,10.68,1108000
2015-03-19,10.68,10.74,10.2,10.2,4014600
2015-03-20,10.22,10.46,9.6,10.0,10939500
2015-03-23,10.04,10.44,10.04,10.38,2368500
2015-03-24,10.38,10.7,10.2,10.58,1832700
2015-03-25,10.64,10.78,10.52,10.56,1241500
2015-03-26,10.54,10.82,10.32,10.74,1921500
2015-03-27,10.94,11.0,10.4,10.4,3582100
2015-03-30,10.5,10.5,10.18,10.2,1121300
2015-03-31,10.2,10.3,9.79,10.0,3986000
2015-04-01,10.0,10.0,9.9,9.99,1056400
2015-04-06,9.96,9.98,9.5,9.65,3297400
2015-04-07,9.65,9.7,9.23,9.65,5768600
2015-04-08,9.7,9.96,9.7,9.87,1119400
2015-04-10,9.91,10.0,9.87,9.88,1127600
2015-04-13,9.89,9.97,9.6,9.71,761100
2015-04-14,9.71,9.71,9.54,9.54,828700
2015-04-15,9.55,9.58,9.27,9.3,1888100
2015-04-16,9.35,9.36,9.27,9.27,953800
2015-04-17,9.3,9.3,8.85,9.02,2879000
2015-04-20,9.02,9.02,8.78,8.94,710200
2015-04-21,8.9,8.9,8.4,8.58,4312200
2015-04-22,8.59,8.59,8.14,8.4,4560000
2015-04-23,8.4,8.94,8.39,8.94,2413200
2015-04-24,8.98,9.17,8.7,9.15,3146100
2015-04-27,9.14,9.15,9.02,9.1,3270700
2015-04-28,9.1,9.1,8.87,9.08,1535100
2015-04-29,9.01,9.1,9.0,9.1,2460000
2015-04-30,9.1,9.59,9.1,9.2,2365800
2015-05-04,9.2,9.35,9.17,9.2,1572200
2015-05-05,9.2,9.45,9.2,9.3,1057800
2015-05-06,9.29,9.29,9.12,9.23,520400
2015-05-07,9.18,9.21,9.05,9.1,842200
2015-05-08,9.11,9.3,9.08,9.13,532600
2015-05-11,9.14,9.39,9.13,9.35,749100
2015-05-12,9.36,9.5,9.35,9.45,2229600
2015-05-13,9.48,9.6,9.45,9.55,1100800
2015-05-14,9.56,9.68,9.55,9.59,676800
2015-05-15,9.67,10.28,9.6,10.28,4344000
2015-05-18,10.28,10.38,10.0,10.1,1316100
2015-05-19,10.18,10.18,10.0,10.12,1466000
2015-05-20,10.12,10.76,10.1,10.62,4633300
2015-05-21,10.68,10.76,10.2,10.38,2034200
2015-05-22,10.38,10.38,10.1,10.2,1479000
2015-05-25,10.3,10.46,9.97,10.1,834600
2015-05-26,10.12,10.12,9.38,9.71,1999000
2015-05-27,9.72,9.8,9.6,9.71,1793400
2015-05-28,9.71,9.86,9.42,9.69,1238800
2015-05-29,9.65,10.0,9.65,9.7,964000
2015-06-01,9.7,9.8,9.65,9.65,96500
2015-06-02,9.8,9.8,9.6,9.65,677300
2015-06-03,9.65,9.66,9.55,9.65,880300
2015-06-04,9.6,9.89,9.6,9.73,453000
2015-06-05,9.87,10.36,9.6,10.12,1627400
2015-06-08,10.0,10.36,10.0,10.26,1288000
2015-06-09,10.26,10.28,9.89,10.12,1481900
2015-06-10,10.12,11.08,10.12,11.0,7169900
2015-06-11,10.98,10.98,10.76,10.82,1154900
2015-06-15,10.78,11.2,10.76,11.06,2498700
2015-06-16,11.1,11.36,11.06,11.1,3204800
2015-06-17,11.1,11.36,11.0,11.18,1950200
2015-06-18,11.2,11.32,11.04,11.04,1292500
2015-06-19,11.04,11.24,11.02,11.2,1396300
2015-06-22,11.12,11.2,11.0,11.0,707800
2015-06-23,11.0,11.1,10.9,11.06,689200
2015-06-24,11.06,11.16,11.0,11.12,1042300
2015-06-25,11.1,11.1,10.82,10.82,619500
2015-06-26,10.82,11.1,10.74,10.92,327700
2015-06-29,10.9,10.98,10.68,10.98,1056400
2015-06-30,10.94,11.12,10.7,11.04,2488300
2015-07-01,11.04,11.4,10.9,11.4,2162800
2015-07-02,11.44,11.7,11.32,11.32,1862600
2015-07-03,11.32,11.64,11.1,11.44,1561700
2015-07-06,11.44,11.44,11.0,11.16,2374600
2015-07-07,11.16,11.54,11.16,11.5,1215700
2015-07-08,11.5,11.5,11.1,11.18,1880100
2015-07-09,11.18,11.38,10.86,11.32,1634600
2015-07-10,11.32,11.4,11.2,11.24,233700
2015-07-13,11.2,11.4,11.18,11.3,172000
2015-07-14,11.32,12.32,11.32,12.04,8594800
2015-07-15,12.04,12.2,11.72,11.8,1138200
2015-07-16,11.8,12.0,11.76,11.88,510900
2015-07-20,11.88,11.88,11.68,11.74,433800
2015-07-21,11.74,12.2,11.74,12.0,3001600
2015-07-22,12.0,12.38,12.0,12.24,3235400
2015-07-23,12.28,12.3,12.0,12.18,516800
2015-07-24,12.18,12.18,12.0,12.0,846600
2015-07-27,12.0,12.04,11.64,11.66,908300
