date,open,high,low,close,volume
1999-03-04,0.15,0.15,0.15,0.15,350000
1999-04-13,0.21,0.22,0.21,0.22,130000
1999-04-14,0.22,0.22,0.22,0.22,400000
1999-05-07,0.21,0.3,0.21,0.3,230000
1999-05-25,0.19,0.19,0.19,0.19,100000
1999-05-26,0.2,0.22,0.2,0.22,290000
1999-05-28,0.26,0.26,0.26,0.26,150000
1999-06-02,0.25,0.25,0.25,0.25,10000
1999-06-10,0.26,0.26,0.26,0.26,40000
1999-06-11,0.3,0.3,0.3,0.3,70000
1999-06-17,0.3,0.32,0.3,0.32,210000
1999-06-18,0.32,0.32,0.32,0.32,90000
1999-06-22,0.4,0.4,0.4,0.4,170000
1999-06-24,0.58,0.58,0.45,0.45,50000
1999-06-25,0.58,0.58,0.5,0.5,30000
1999-06-29,0.6,0.75,0.6,0.75,500000
1999-06-30,0.7,1.1,0.7,1.1,970000
1999-07-01,1.1,1.2,0.76,0.76,890000
1999-07-05,0.65,0.66,0.65,0.65,310000
1999-07-08,0.8,0.9,0.8,0.9,670000
1999-07-09,0.8,0.92,0.8,0.92,80000
1999-07-13,0.9,1.0,0.9,0.94,410000
1999-07-14,0.9,0.9,0.9,0.9,110000
1999-07-15,0.89,0.89,0.89,0.89,70000
1999-07-16,0.89,0.89,0.89,0.89,70000
1999-07-19,0.86,0.86,0.8,0.8,180000
1999-07-20,0.78,0.78,0.78,0.78,50000
1999-07-21,0.79,0.79,0.7,0.7,60000
1999-07-23,0.55,0.55,0.45,0.45,90000
1999-07-27,0.4,0.4,0.4,0.4,20000
1999-07-29,0.5,0.6,0.5,0.59,140000
1999-07-30,0.52,0.52,0.52,0.52,20000
1999-08-04,0.68,0.68,0.68,0.68,30000
1999-08-05,0.72,0.72,0.7,0.72,80000
1999-08-06,0.85,0.85,0.6,0.6,130000
1999-08-09,0.6,0.6,0.6,0.6,30000
1999-08-12,0.6,0.6,0.6,0.6,20000
1999-08-20,0.62,0.62,0.62,0.62,30000
1999-08-26,0.68,0.68,0.68,0.68,50000
1999-09-14,0.68,0.68,0.68,0.68,10000
1999-10-07,0.75,0.75,0.75,0.75,10000
1999-10-12,0.65,0.65,0.65,0.65,50000
1999-10-25,0.4,0.4,0.4,0.4,70000
1999-11-03,0.59,0.6,0.59,0.6,40000
1999-11-17,0.5,0.5,0.5,0.5,50000
1999-11-18,0.55,0.55,0.55,0.55,30000
1999-11-19,0.47,0.47,0.47,0.47,100000
1999-11-23,0.43,0.43,0.43,0.43,200000
1999-12-01,0.4,0.4,0.4,0.4,10000
1999-12-23,0.38,0.38,0.27,0.34,400000
1999-12-24,0.3,0.3,0.3,0.3,30000
1999-12-27,0.27,0.27,0.27,0.27,230000
1999-12-28,0.31,0.37,0.31,0.37,220000
1999-12-29,0.38,0.38,0.38,0.38,40000
2000-01-05,0.39,0.39,0.39,0.39,30000
2000-01-10,0.4,0.4,0.4,0.4,40000
2000-01-12,0.36,0.36,0.36,0.36,70000
2000-01-19,0.31,0.31,0.31,0.31,80000
2000-01-20,0.3,0.3,0.3,0.3,20000
2000-01-26,0.3,0.32,0.3,0.32,60000
2000-01-27,0.36,0.36,0.36,0.36,20000
2000-01-28,0.37,0.4,0.37,0.38,220000
2000-01-31,0.4,0.4,0.4,0.4,50000
2000-02-08,0.4,0.4,0.4,0.4,100000
2000-02-16,0.35,0.35,0.35,0.35,50000
2000-02-21,0.38,0.38,0.38,0.38,100000
2000-02-23,0.36,0.36,0.36,0.36,20000
2000-02-28,0.35,0.35,0.35,0.35,50000
2000-03-01,0.31,0.31,0.3,0.3,90000
2000-03-17,0.35,0.35,0.28,0.28,250000
2000-03-20,0.29,0.29,0.29,0.29,200000
2000-04-03,0.27,0.27,0.27,0.27,60000
2000-07-19,0.27,0.27,0.27,0.27,40000
2000-08-25,0.27,0.27,0.27,0.27,70000
2000-12-20,0.27,0.27,0.27,0.27,50000
2000-12-22,0.27,0.27,0.27,0.27,300000
2000-12-27,0.27,0.27,0.27,0.27,70000
2000-12-29,0.3,0.3,0.3,0.3,180000
2001-01-31,0.43,0.43,0.43,0.43,20000
2001-02-05,0.43,0.43,0.42,0.42,200000
2001-02-13,0.42,0.42,0.42,0.42,10000
2001-08-09,0.5,0.5,0.5,0.5,20000
2001-08-10,0.5,0.5,0.5,0.5,150000
2001-08-14,0.5,0.5,0.5,0.5,14860000
2001-12-21,0.3,0.3,0.3,0.3,80000
2002-01-24,0.3,0.3,0.3,0.3,20000
2004-01-12,0.2,0.2,0.2,0.2,20000
2004-07-16,0.2,0.2,0.2,0.2,20000
2005-02-01,0.3,0.3,0.3,0.3,10000
2005-03-10,0.3,0.3,0.3,0.3,70000
2005-06-02,0.2,0.2,0.2,0.2,50000
2005-06-10,0.25,0.25,0.25,0.25,50000
2005-06-29,0.2,0.2,0.2,0.2,70000
2006-05-15,0.15,0.15,0.15,0.15,50000
2006-05-18,0.15,0.15,0.15,0.15,60000
2006-09-01,0.155,0.225,0.155,0.225,80000
2006-09-07,0.22,0.33,0.22,0.33,360000
2006-09-13,0.23,0.23,0.23,0.23,20000
2006-09-19,0.3,0.3,0.3,0.3,50000
2006-10-23,0.28,0.33,0.28,0.33,920000
2006-11-29,0.33,0.33,0.33,0.33,200000
2007-01-31,0.26,0.26,0.26,0.26,10000
2007-02-16,0.38,0.38,0.38,0.38,70000
2007-02-19,0.37,0.37,0.37,0.37,1200000
2007-02-20,0.37,0.55,0.37,0.53,2210000
2007-02-21,0.48,0.55,0.48,0.48,780000
2007-02-22,0.41,0.49,0.4,0.4,1980000
2007-02-23,0.41,0.41,0.39,0.39,290000
2007-02-27,0.41,0.41,0.4,0.4,190000
2007-03-05,0.3,0.3,0.3,0.3,230000
2007-04-27,0.3,0.4,0.3,0.31,750000
2007-04-30,0.35,0.4,0.35,0.4,420000
