date,open,high,low,close,volume
1999-02-04,23.25,23.25,22.75,22.75,91000
1999-02-05,22.75,22.75,22.5,22.75,65800
1999-02-08,22.75,22.75,22.5,22.75,65800
1999-02-09,22.75,22.75,22.5,22.75,65800
1999-02-10,22.75,22.75,22.5,22.75,65800
1999-02-11,22.75,22.75,22.5,22.75,65800
1999-02-12,22.5,22.75,22.5,22.5,30200
1999-02-15,22.5,22.5,22.5,22.5,32500
1999-02-16,22.5,22.5,22.0,22.0,126800
1999-02-17,22.0,22.25,22.0,22.0,35900
1999-02-18,22.0,22.25,22.0,22.25,135000
1999-02-19,22.0,22.0,22.0,22.0,21400
1999-02-22,22.0,22.0,22.0,22.0,6500
1999-02-23,22.0,22.0,22.0,22.0,23900
1999-02-24,22.0,22.25,22.0,22.25,138200
1999-02-25,22.0,22.0,22.0,22.0,225700
1999-02-26,22.0,22.0,22.0,22.0,235100
1999-03-01,22.25,22.25,21.75,21.75,108800
1999-03-02,21.75,21.75,21.75,21.75,90200
1999-03-03,21.75,22.0,21.75,22.0,8000
1999-03-04,22.0,22.0,22.0,22.0,96100
1999-03-05,21.75,21.75,21.5,21.75,127700
1999-03-08,21.75,21.75,21.75,21.75,198000
1999-03-09,21.75,21.75,21.5,21.5,15900
1999-03-10,21.5,21.75,21.5,21.5,119700
1999-03-17,20.25,21.0,20.25,21.0,119900
1999-03-18,21.0,21.5,21.0,21.5,67900
1999-03-19,21.5,21.75,21.5,21.75,88800
1999-03-22,21.5,21.75,21.5,21.75,55000
1999-03-23,22.0,22.5,22.0,22.25,205000
1999-03-24,22.25,22.25,22.0,22.0,63200
1999-03-25,22.0,22.0,22.0,22.0,35800
1999-03-26,22.0,22.5,21.75,22.5,334800
1999-03-29,23.5,25.0,23.25,24.75,5147300
1999-03-30,24.75,25.0,24.5,25.0,2099400
1999-03-31,25.0,25.0,24.75,24.75,662600
1999-04-05,24.5,24.5,24.5,24.5,63100
1999-04-06,24.5,24.75,24.5,24.5,96700
1999-04-07,24.75,25.0,24.75,25.0,293800
1999-04-08,25.0,25.5,24.75,25.0,657400
1999-04-12,25.5,25.5,24.75,25.0,85400
1999-04-13,25.0,26.0,25.0,25.5,415400
1999-04-14,25.5,25.5,25.5,25.5,79700
1999-04-15,26.0,26.0,25.5,26.0,228200
1999-04-16,25.5,25.5,25.5,25.5,62200
