date,open,high,low,close,volume
1999-02-24,0.78,0.94,0.78,0.91,3900000
1999-02-25,0.95,0.99,0.95,0.97,1660000
1999-02-26,0.98,1.02,0.98,1.02,1980000
1999-03-01,1.02,1.02,0.98,0.98,290000
1999-03-02,0.95,0.95,0.87,0.9,1220000
1999-03-03,0.9,0.9,0.86,0.88,1360000
1999-03-04,0.89,0.9,0.88,0.9,1200000
1999-03-05,0.89,0.9,0.86,0.86,1360000
1999-03-08,0.86,0.87,0.84,0.85,4310000
1999-03-09,0.78,0.78,0.65,0.7,450000
1999-03-12,0.65,0.65,0.6,0.6,210000
1999-03-15,0.55,0.55,0.53,0.55,1750000
1999-03-16,0.56,0.58,0.53,0.53,1070000
1999-03-17,0.53,0.53,0.53,0.53,110000
1999-03-18,0.55,0.55,0.52,0.52,40000
1999-03-19,0.51,0.52,0.51,0.52,50000
1999-03-23,0.58,0.58,0.55,0.55,460000
1999-03-24,0.52,0.52,0.5,0.5,480000
1999-03-25,0.5,0.5,0.5,0.5,320000
1999-03-26,0.5,0.5,0.5,0.5,470000
1999-04-05,0.52,0.52,0.52,0.52,100000
1999-04-06,0.52,0.52,0.52,0.52,100000
1999-04-08,0.52,0.52,0.52,0.52,40000
1999-04-12,0.52,0.52,0.52,0.52,100000
1999-04-13,0.52,0.53,0.52,0.53,100000
1999-04-14,0.53,0.53,0.53,0.53,10000
1999-04-15,0.53,0.54,0.53,0.54,200000
1999-04-16,0.55,0.59,0.55,0.59,200000
1999-04-20,0.57,0.72,0.57,0.71,1080000
1999-04-30,0.69,0.69,0.69,0.69,30000
1999-05-06,0.69,0.7,0.69,0.7,750000
1999-05-07,0.7,0.7,0.7,0.7,20000
1999-05-12,0.7,0.71,0.67,0.67,1100000
1999-05-13,0.59,0.62,0.59,0.62,140000
1999-05-14,0.64,0.64,0.63,0.63,60000
1999-05-17,0.6,0.6,0.6,0.6,100000
1999-05-18,0.6,0.6,0.6,0.6,20000
1999-05-24,0.61,0.61,0.6,0.6,2200000
1999-05-25,0.6,0.6,0.6,0.6,220000
1999-05-27,0.61,0.62,0.61,0.62,190000
1999-05-31,0.61,0.61,0.6,0.6,60000
1999-06-02,0.6,0.6,0.59,0.59,260000
1999-06-03,0.59,0.59,0.59,0.59,10000
1999-06-04,0.59,0.59,0.59,0.59,20000
1999-06-08,0.59,0.59,0.59,0.59,100000
1999-06-14,0.57,0.57,0.56,0.56,400000
1999-06-18,0.56,0.56,0.56,0.56,340000
1999-06-29,0.63,0.63,0.62,0.63,510000
1999-06-30,0.65,0.65,0.65,0.65,240000
1999-07-01,0.7,0.7,0.7,0.7,200000
1999-07-02,0.67,0.67,0.67,0.67,50000
1999-07-07,0.72,0.77,0.72,0.77,350000
1999-07-08,0.78,0.88,0.78,0.88,900000
1999-07-09,0.88,0.88,0.8,0.8,880000
1999-07-12,0.8,0.8,0.79,0.8,380000
1999-07-13,0.8,0.8,0.8,0.8,300000
1999-07-14,0.76,0.8,0.76,0.8,60000
1999-07-15,0.8,0.8,0.78,0.78,230000
1999-07-16,0.76,0.8,0.76,0.8,70000
1999-07-19,0.8,0.8,0.78,0.78,100000
1999-07-20,0.76,0.76,0.76,0.76,50000
1999-07-21,0.79,0.79,0.74,0.74,180000
1999-07-22,0.75,0.75,0.75,0.75,20000
1999-07-23,0.75,0.75,0.75,0.75,10000
1999-07-26,0.72,0.72,0.7,0.7,150000
1999-07-28,0.7,0.7,0.7,0.7,50000
1999-07-29,0.7,0.7,0.7,0.7,50000
1999-07-30,0.68,0.68,0.68,0.68,50000
1999-08-02,0.42,0.53,0.42,0.53,1520000
1999-08-04,0.54,0.6,0.54,0.6,40000
1999-08-05,0.62,0.62,0.59,0.59,400000
1999-08-06,0.6,0.6,0.6,0.6,100000
1999-08-11,0.59,0.59,0.59,0.59,10000
1999-08-16,0.55,0.55,0.55,0.55,10000
1999-08-17,0.6,0.6,0.6,0.6,100000
1999-08-24,0.6,0.6,0.6,0.6,40000
1999-08-25,0.61,0.61,0.61,0.61,10000
1999-09-01,0.55,0.55,0.55,0.55,10000
1999-09-06,0.48,0.48,0.48,0.48,250000
1999-09-10,0.55,0.55,0.54,0.54,100000
1999-09-20,0.56,0.6,0.56,0.6,190000
1999-10-01,0.6,0.61,0.6,0.6,130000
1999-10-05,0.62,0.64,0.62,0.64,110000
1999-10-07,0.64,0.65,0.64,0.64,60000
1999-10-08,0.7,0.7,0.7,0.7,30000
1999-10-11,0.6,0.6,0.6,0.6,90000
1999-10-13,0.65,0.65,0.65,0.65,50000
1999-10-14,0.65,0.65,0.6,0.6,80000
1999-10-18,0.6,0.6,0.6,0.6,70000
1999-11-04,0.6,0.6,0.6,0.6,10000
1999-11-05,0.58,0.58,0.58,0.58,120000
1999-11-08,0.58,0.58,0.58,0.58,100000
1999-11-12,0.56,0.56,0.56,0.56,50000
1999-11-15,0.55,0.55,0.55,0.55,30000
1999-11-17,0.55,0.55,0.55,0.55,20000
1999-11-24,0.5,0.5,0.5,0.5,50000
1999-12-02,0.5,0.5,0.5,0.5,100000
1999-12-08,0.5,0.5,0.5,0.5,10000
1999-12-09,0.5,0.5,0.5,0.5,40000
1999-12-10,0.46,0.46,0.46,0.46,10000
1999-12-13,0.48,0.48,0.48,0.48,200000
1999-12-27,0.5,0.5,0.5,0.5,510000
2000-01-10,0.5,0.5,0.5,0.5,30000
2000-01-14,0.5,0.5,0.5,0.5,20000
