date,open,high,low,close,volume
1999-02-05,1.0,1.0,1.0,1.0,150000
1999-02-08,1.0,1.0,1.0,1.0,150000
1999-02-09,1.0,1.0,1.0,1.0,150000
1999-02-10,1.0,1.0,1.0,1.0,150000
1999-02-11,1.0,1.0,1.0,1.0,150000
1999-02-17,1.0,1.0,1.0,1.0,10000
1999-02-19,1.0,1.0,1.0,1.0,20000
1999-03-02,1.0,1.0,1.0,1.0,10000
1999-03-03,1.0,1.0,1.0,1.0,60000
1999-03-08,1.0,1.0,1.0,1.0,20000
1999-03-11,1.0,1.0,1.0,1.0,70000
1999-03-22,1.0,1.1,1.0,1.1,170000
1999-03-23,1.02,1.02,1.02,1.02,6000
1999-03-25,1.02,1.02,1.02,1.02,15000
1999-03-26,1.02,1.1,1.02,1.1,19000
1999-03-29,1.02,1.02,1.0,1.0,93000
1999-03-31,1.0,1.0,1.0,1.0,100000
1999-04-08,1.02,1.02,1.02,1.02,60000
1999-04-12,1.02,1.02,1.02,1.02,3000
1999-04-13,1.02,1.02,1.02,1.02,5000
1999-04-14,1.02,1.02,1.02,1.02,92000
1999-04-20,1.02,1.02,1.02,1.02,259000
1999-04-21,1.02,1.04,1.02,1.04,266000
1999-04-22,1.04,1.06,1.04,1.06,370000
1999-04-23,1.08,1.08,1.04,1.06,554000
1999-04-26,1.04,1.06,1.04,1.06,20000
1999-04-27,1.02,1.06,1.02,1.06,528000
1999-04-28,1.04,1.04,1.04,1.04,105000
1999-04-29,1.1,1.1,1.1,1.1,25000
1999-04-30,1.1,1.12,1.1,1.12,126000
1999-05-03,1.16,1.24,1.16,1.24,176000
1999-05-04,1.28,1.42,1.28,1.42,261000
1999-05-05,1.42,1.42,1.42,1.42,97000
1999-05-06,1.42,1.5,1.42,1.5,110000
1999-05-07,1.5,1.5,1.5,1.5,55000
1999-05-12,1.2,1.2,1.2,1.2,30000
1999-05-13,1.24,1.24,1.24,1.24,30000
1999-05-14,1.26,1.26,1.26,1.26,1000
1999-05-17,1.26,1.26,1.26,1.26,5000
1999-05-20,1.3,1.3,1.28,1.28,307000
1999-05-24,1.22,1.22,1.22,1.22,1000
1999-05-25,1.22,1.22,1.22,1.22,10000
1999-05-27,1.36,1.38,1.36,1.38,37000
1999-05-28,1.38,1.38,1.38,1.38,1000
1999-06-02,1.3,1.3,1.3,1.3,27000
1999-06-08,1.24,1.24,1.24,1.24,10000
1999-06-11,1.24,1.24,1.24,1.24,10000
1999-06-14,1.24,1.24,1.22,1.22,230000
1999-06-15,1.24,1.46,1.2,1.2,920000
1999-06-16,1.38,1.38,1.26,1.26,105000
1999-06-18,1.26,1.26,1.26,1.26,2000
1999-06-21,1.3,1.36,1.3,1.36,170000
1999-06-23,1.3,1.32,1.3,1.3,147000
1999-06-24,1.32,1.32,1.32,1.32,55000
1999-06-28,1.32,1.4,1.32,1.4,72000
1999-06-29,1.42,1.46,1.42,1.44,108000
1999-06-30,1.36,1.36,1.36,1.36,25000
1999-07-01,1.38,1.4,1.38,1.4,123000
1999-07-02,1.4,1.4,1.38,1.38,70000
1999-07-05,1.38,1.48,1.38,1.48,316000
1999-07-06,1.36,1.48,1.36,1.48,73000
1999-07-07,1.48,1.48,1.48,1.48,200000
1999-07-08,1.48,1.48,1.48,1.48,200000
1999-07-09,1.36,1.36,1.36,1.36,27000
1999-07-12,1.38,1.42,1.38,1.42,170000
1999-07-13,1.42,1.5,1.42,1.48,628000
1999-07-14,1.44,1.44,1.42,1.44,77000
1999-07-15,1.42,1.42,1.4,1.4,100000
