date,open,high,low,close,volume
1999-02-18,30.0,30.0,30.0,30.0,1400
1999-07-06,20.0,20.0,20.0,20.0,1800
1999-10-06,24.0,24.0,24.0,24.0,500
2000-03-01,24.0,24.0,24.0,24.0,500
2000-04-18,24.0,24.0,24.0,24.0,500
2000-12-04,15.0,15.0,15.0,15.0,1300
2005-12-06,15.0,15.0,15.0,15.0,12000
2006-10-06,18.0,18.0,18.0,18.0,1800
2006-10-18,18.0,18.0,18.0,18.0,600
2006-12-05,25.0,25.0,25.0,25.0,100
2006-12-06,35.0,35.0,35.0,35.0,600
2008-02-18,38.0,38.0,38.0,38.0,200
2008-11-05,37.0,37.0,37.0,37.0,5400
2009-02-16,30.0,30.0,30.0,30.0,146200
2009-02-17,30.0,30.0,30.0,30.0,1000
2009-09-14,30.0,30.0,30.0,30.0,100
2009-10-15,30.0,30.0,30.0,30.0,100
2009-12-22,30.0,30.0,30.0,30.0,100
2009-12-23,32.0,32.0,32.0,32.0,100
2010-01-05,28.0,28.0,28.0,28.0,500
2010-01-06,28.0,28.0,28.0,28.0,1000
2010-01-08,31.0,31.0,31.0,31.0,500
2010-01-14,32.5,37.0,32.5,37.0,400
2010-01-15,42.0,45.0,42.0,45.0,600
2010-01-18,54.0,67.0,54.0,67.0,2800
2010-01-19,87.0,89.0,87.0,89.0,400
2010-01-20,82.0,82.0,82.0,82.0,1200
2010-01-22,82.0,100.0,82.0,100.0,1000
2010-02-09,100.0,100.0,100.0,100.0,300
2010-02-19,70.0,70.0,70.0,70.0,300
2010-02-22,69.0,69.0,69.0,69.0,200
2010-03-01,65.0,102.0,65.0,102.0,1200
2010-04-23,63.0,63.0,61.5,61.5,7200
2010-04-28,80.0,92.0,80.0,92.0,10200
2010-10-01,46.0,92.0,46.0,92.0,7510
2010-10-06,90.0,128.0,90.0,92.0,9970
2010-10-07,90.0,90.0,90.0,90.0,150
2011-01-27,47.0,72.0,47.0,72.0,1000
2011-02-28,67.0,67.0,67.0,67.0,150
2011-04-12,60.0,60.0,60.0,60.0,200
2011-05-09,53.5,61.5,53.5,61.5,45800
2011-05-10,61.5,75.0,61.5,75.0,350
2011-05-11,75.0,75.0,75.0,75.0,190
2011-05-13,60.0,75.0,60.0,75.0,1400
2011-05-16,55.5,73.0,55.5,73.0,20
2011-05-17,79.0,79.0,79.0,79.0,480
2011-05-19,88.0,112.0,81.0,100.0,24730
2011-05-20,111.0,138.0,111.0,135.0,46800
2011-05-23,120.0,120.0,70.3,70.3,530
2011-05-24,100.0,105.0,60.2,60.2,3250
2011-05-25,89.9,90.0,75.0,75.0,7100
2011-05-27,75.0,75.0,75.0,75.0,20
2011-06-02,89.0,89.0,58.0,58.0,90
2011-06-03,60.0,60.0,56.5,57.0,1330
2011-06-07,55.8,55.8,55.8,55.8,90
2011-06-08,68.0,70.0,68.0,70.0,110
2011-06-14,70.0,70.0,56.2,56.2,70
2011-06-16,63.0,63.0,63.0,63.0,30
2011-06-17,56.5,56.5,56.5,56.5,10
2011-06-21,56.2,56.5,56.2,56.2,120
2011-06-27,63.0,67.0,63.0,67.0,100
2011-07-01,56.6,56.6,56.6,56.6,10
2011-07-04,65.0,65.0,65.0,65.0,10
2011-07-28,65.0,65.0,65.0,65.0,10
2011-08-04,56.0,56.0,56.0,56.0,10
2011-08-05,65.0,65.0,65.0,65.0,50
2011-08-08,57.0,57.0,56.0,56.0,500
2011-08-23,56.5,56.5,56.5,56.5,30
2011-09-26,45.5,45.5,45.0,45.0,2990
2011-10-07,56.0,56.0,56.0,56.0,600
2011-10-13,58.5,58.5,58.5,58.5,200
2011-10-25,61.0,61.0,61.0,61.0,100
2011-11-10,55.0,55.0,55.0,55.0,10
2011-11-16,55.0,55.0,55.0,55.0,50
2011-11-17,50.5,55.0,50.5,53.0,2830
2011-11-21,68.0,76.0,68.0,75.0,360
2011-11-25,45.2,45.2,45.2,45.2,130
2011-12-07,54.5,54.5,54.5,54.5,500
2011-12-29,54.5,54.5,54.0,54.0,450
2012-01-03,54.5,54.5,54.5,54.5,10
