date,open,high,low,close,volume
2012-05-23,7.4,7.75,6.66,7.7,12891000
2012-05-24,7.56,7.7,7.35,7.35,1675000
2012-05-25,7.5,8.0,7.5,7.95,5837800
2012-05-28,8.02,9.5,8.02,9.44,11620700
2012-05-29,9.7,11.6,9.5,11.42,14749700
2012-05-30,11.6,14.1,11.56,13.94,16457800
2012-05-31,14.04,17.1,14.04,16.94,17742400
2012-06-01,17.1,22.4,17.1,22.0,27316700
2012-06-04,22.6,24.0,14.0,23.95,38196700
2012-06-05,23.9,23.9,12.0,12.88,30121900
2012-06-06,13.12,13.48,9.8,10.92,21169600
2012-06-07,11.04,11.58,11.04,11.54,10328600
2012-06-08,11.8,12.5,11.6,12.4,11648800
2012-06-11,12.52,13.24,12.52,13.2,13426600
2012-06-13,13.32,14.1,13.3,14.0,17716100
2012-06-14,14.16,14.7,9.0,9.51,40584600
2012-06-15,10.2,11.48,9.8,9.95,9687500
2012-06-18,10.5,12.34,10.5,12.3,23812100
2012-06-19,12.5,13.12,10.2,10.78,25515000
2012-06-20,10.98,10.98,10.04,10.14,4844100
2012-06-21,10.06,10.06,9.28,9.31,6338900
2012-06-22,8.98,9.42,8.5,9.08,3383900
2012-06-25,9.3,9.98,9.21,9.3,2753100
2012-06-26,9.18,9.25,9.08,9.1,836600
2012-06-27,9.15,9.25,8.63,8.78,2642700
2012-06-28,8.82,8.94,8.45,8.72,1828000
2012-06-29,8.72,9.25,8.72,9.0,2081100
2012-07-02,9.25,9.25,8.95,8.95,2240100
2012-07-03,8.96,9.58,8.9,9.39,4550400
2012-07-04,9.48,9.59,9.31,9.31,4966400
2012-07-05,9.46,9.5,9.32,9.41,2118200
2012-07-06,9.33,10.18,9.32,9.94,8521800
2012-07-09,10.02,10.5,9.8,10.1,5522300
2012-07-10,10.2,10.3,9.73,9.73,3282900
2012-07-11,9.67,10.1,9.53,9.53,2148000
2012-07-12,9.55,9.73,9.51,9.53,695700
2012-07-13,9.51,9.65,9.4,9.4,755500
2012-07-16,9.51,9.7,9.39,9.39,346100
2012-07-17,9.41,9.41,9.2,9.3,380500
2012-07-18,9.3,9.49,9.08,9.2,324100
2012-07-19,9.1,9.2,8.65,8.76,1529400
2012-07-20,8.78,8.85,8.7,8.73,569100
2012-07-23,8.73,8.73,8.2,8.35,1094000
2012-07-24,8.3,8.35,8.08,8.21,517800
2012-07-25,8.33,8.5,8.2,8.4,780000
2012-07-26,8.45,8.58,8.0,8.4,563100
2012-07-27,8.31,8.45,8.3,8.42,207800
2012-07-30,8.43,8.45,8.36,8.41,154800
2012-07-31,8.4,8.4,8.2,8.21,250700
2012-08-01,8.21,8.21,7.65,7.7,2242700
2012-08-02,7.69,7.69,5.2,5.7,8696500
2012-08-03,5.7,6.3,5.7,5.94,3017400
2012-08-06,6.1,7.1,6.1,7.1,3730200
2012-08-08,7.19,7.2,6.75,6.78,812300
2012-08-09,6.88,6.88,6.36,6.4,624600
2012-08-10,6.5,6.5,6.12,6.3,273200
2012-08-13,6.3,6.3,6.02,6.1,278700
2012-08-14,6.1,6.37,6.1,6.2,168900
2012-08-15,6.26,6.26,6.12,6.12,326200
2012-08-16,6.12,6.12,5.75,5.92,420200
2012-08-17,5.8,6.1,5.75,5.92,294400
2012-08-22,6.29,6.29,5.84,5.87,190100
2012-08-23,5.95,6.0,5.84,5.86,146600
2012-08-24,5.86,5.99,5.78,5.99,156100
2012-08-28,6.02,6.1,5.79,5.95,145100
2012-08-29,5.95,6.0,5.8,5.8,74100
2012-08-30,5.81,5.81,5.75,5.76,161500
2012-08-31,5.76,5.78,5.65,5.65,256600
2012-09-03,5.7,5.7,5.55,5.58,157000
2012-09-04,5.65,5.79,5.6,5.72,269100
2012-09-05,5.68,5.68,5.6,5.6,134800
2012-09-06,5.6,5.65,5.6,5.6,103700
2012-09-07,5.6,5.62,5.58,5.59,206700
2012-09-10,5.6,5.73,5.48,5.49,446100
2012-09-11,5.49,5.5,5.42,5.42,168000
2012-09-12,5.42,5.44,5.36,5.36,323500
2012-09-13,5.36,5.43,5.36,5.36,147300
2012-09-14,5.38,5.44,5.38,5.4,129600
2012-09-17,5.4,5.45,5.36,5.37,176400
2012-09-18,5.37,6.8,5.37,6.8,2451500
