date,open,high,low,close,volume
1999-02-04,0.59,0.59,0.59,0.59,80000
1999-02-05,0.59,0.59,0.59,0.59,10000
1999-02-08,0.59,0.59,0.59,0.59,10000
1999-02-09,0.59,0.59,0.59,0.59,10000
1999-02-10,0.59,0.59,0.59,0.59,10000
1999-02-11,0.59,0.59,0.59,0.59,10000
1999-02-15,0.58,0.58,0.58,0.58,10000
1999-02-23,0.58,0.58,0.58,0.58,50000
1999-02-24,0.59,0.6,0.59,0.59,120000
1999-03-01,0.58,0.58,0.58,0.58,10000
1999-03-02,0.58,0.58,0.58,0.58,60000
1999-03-04,0.6,0.6,0.6,0.6,80000
1999-03-08,0.62,0.62,0.62,0.62,20000
1999-03-11,0.6,0.6,0.6,0.6,50000
1999-03-18,0.6,0.6,0.6,0.6,10000
1999-03-22,0.6,0.6,0.6,0.6,10000
1999-03-23,0.65,0.65,0.65,0.65,40000
1999-03-25,0.63,0.66,0.63,0.66,240000
1999-04-07,0.6,0.6,0.6,0.6,50000
1999-04-08,0.65,0.65,0.65,0.65,50000
1999-04-12,0.7,0.71,0.7,0.71,210000
1999-04-13,0.73,0.73,0.73,0.73,10000
1999-04-14,0.72,0.72,0.72,0.72,310000
1999-04-15,0.72,0.76,0.72,0.74,320000
1999-04-16,0.74,0.78,0.74,0.78,200000
1999-04-19,0.78,0.78,0.76,0.76,270000
1999-04-21,0.76,0.76,0.7,0.7,400000
1999-04-22,0.72,0.72,0.72,0.72,40000
1999-04-26,0.72,0.72,0.7,0.72,1980000
1999-04-27,0.72,0.85,0.72,0.85,230000
1999-04-28,0.76,0.78,0.76,0.76,70000
1999-04-29,0.76,0.76,0.76,0.76,30000
1999-04-30,0.8,0.9,0.8,0.8,180000
1999-05-04,0.8,0.8,0.79,0.79,120000
1999-05-05,0.78,0.78,0.78,0.78,10000
1999-05-06,0.82,0.93,0.82,0.93,360000
1999-05-07,0.93,0.93,0.9,0.9,810000
1999-05-11,0.91,0.91,0.9,0.91,300000
1999-05-13,0.92,0.92,0.92,0.92,200000
1999-05-14,0.92,0.92,0.92,0.92,150000
1999-05-17,0.9,0.91,0.9,0.91,1270000
1999-05-18,0.9,0.9,0.9,0.9,2870000
1999-05-19,0.9,0.9,0.9,0.9,110000
1999-05-20,0.91,0.91,0.9,0.9,790000
1999-05-21,0.91,0.91,0.91,0.91,100000
1999-05-24,0.9,0.92,0.9,0.92,180000
1999-05-25,0.92,0.92,0.9,0.9,320000
1999-05-26,0.9,0.9,0.9,0.9,80000
1999-05-27,0.91,0.91,0.91,0.91,100000
1999-05-28,0.9,0.9,0.9,0.9,370000
1999-05-31,0.9,0.9,0.89,0.9,2360000
1999-06-01,0.9,0.9,0.9,0.9,220000
1999-06-02,0.9,0.9,0.9,0.9,140000
1999-06-04,0.9,0.9,0.9,0.9,160000
1999-06-07,0.92,0.92,0.9,0.9,320000
1999-06-09,0.9,0.9,0.89,0.89,290000
1999-06-10,0.89,0.9,0.89,0.9,130000
1999-06-11,0.9,0.91,0.9,0.9,2270000
1999-06-14,0.91,0.91,0.9,0.9,230000
1999-06-15,0.9,0.9,0.9,0.9,30000
1999-06-16,0.9,0.9,0.9,0.9,250000
1999-06-18,0.92,0.92,0.92,0.92,60000
1999-06-23,0.93,0.93,0.93,0.93,10000
1999-06-24,0.93,0.93,0.93,0.93,60000
1999-06-25,0.92,0.92,0.92,0.92,50000
1999-06-28,0.92,0.94,0.92,0.92,80000
1999-06-29,0.92,0.92,0.92,0.92,10000
1999-06-30,0.93,0.93,0.92,0.92,110000
1999-07-01,0.94,0.94,0.94,0.94,30000
1999-07-02,0.92,0.92,0.92,0.92,50000
1999-07-06,0.93,0.93,0.92,0.92,350000
1999-07-07,0.92,0.94,0.92,0.94,150000
1999-07-08,0.93,0.94,0.93,0.94,140000
1999-07-09,0.94,0.94,0.94,0.94,20000
1999-07-12,0.97,1.12,0.97,1.12,250000
1999-07-13,1.0,1.02,0.98,0.98,105000
1999-07-14,0.96,0.96,0.92,0.92,210000
1999-07-19,0.92,0.92,0.92,0.92,50000
1999-07-21,0.92,0.93,0.92,0.92,490000
1999-07-22,0.92,0.92,0.91,0.91,40000
1999-07-23,0.91,0.91,0.91,0.91,90000
1999-07-26,0.9,0.9,0.9,0.9,80000
1999-07-27,0.9,0.9,0.89,0.89,610000
1999-07-28,0.9,0.9,0.9,0.9,310000
1999-07-29,0.89,0.89,0.75,0.82,800000
1999-07-30,0.93,1.0,0.85,0.85,340000
1999-08-05,0.91,0.91,0.9,0.9,160000
1999-08-06,0.9,0.9,0.9,0.9,300000
1999-08-09,0.9,0.9,0.9,0.9,320000
1999-08-10,0.9,0.9,0.9,0.9,30000
1999-08-11,0.9,0.91,0.9,0.9,140000
1999-08-12,0.91,0.91,0.9,0.9,170000
1999-08-13,0.9,0.9,0.9,0.9,2510000
1999-08-16,0.9,0.9,0.9,0.9,230000
1999-08-17,0.9,0.9,0.9,0.9,180000
1999-08-18,0.9,0.9,0.9,0.9,290000
1999-08-19,0.9,0.9,0.9,0.9,10000
1999-08-20,0.9,0.9,0.9,0.9,80000
1999-08-24,0.9,0.9,0.89,0.89,90000
1999-08-27,0.89,0.89,0.89,0.89,270000
1999-08-30,0.88,0.88,0.88,0.88,130000
1999-08-31,0.88,0.88,0.87,0.87,420000
1999-09-01,0.87,0.87,0.87,0.87,150000
1999-09-02,0.87,0.87,0.87,0.87,110000
1999-09-03,0.87,0.87,0.87,0.87,10000
1999-09-07,0.87,0.87,0.87,0.87,10000
