date,open,high,low,close,volume
2000-05-29,1.44,1.44,1.44,1.44,5000
2000-12-08,1.4,1.62,1.4,1.56,601000
2000-12-11,1.54,1.64,1.54,1.58,351000
2000-12-12,1.52,1.56,1.5,1.56,66000
2000-12-13,1.54,1.54,1.5,1.5,8000
2000-12-14,1.5,1.52,1.5,1.52,27000
2000-12-15,1.54,1.54,1.52,1.52,12000
2000-12-18,1.44,1.46,1.44,1.46,135000
2000-12-19,1.48,1.48,1.46,1.46,48000
2000-12-20,1.46,1.46,1.46,1.46,35000
2000-12-26,1.48,1.48,1.48,1.48,5000
2000-12-27,1.44,1.44,1.44,1.44,30000
2000-12-28,1.46,1.46,1.44,1.44,20000
2001-01-02,1.4,1.4,1.4,1.4,35000
2001-01-08,1.4,1.4,1.4,1.4,4000
2001-01-09,1.42,1.42,1.42,1.42,10000
2001-01-10,1.4,1.4,1.4,1.4,10000
2001-01-12,1.4,1.4,1.4,1.4,10000
2001-01-15,1.38,1.4,1.38,1.4,55000
2001-01-16,1.42,1.42,1.42,1.42,10000
2001-01-19,1.42,1.42,1.42,1.42,5000
2001-01-22,1.44,1.44,1.42,1.44,45000
2001-01-24,1.44,1.44,1.44,1.44,10000
2001-01-26,1.44,1.44,1.44,1.44,10000
2001-01-29,1.44,1.44,1.44,1.44,5000
2001-01-30,1.42,1.42,1.42,1.42,10000
2001-01-31,1.42,1.44,1.4,1.44,25000
2001-02-01,1.44,1.44,1.44,1.44,20000
2001-02-02,1.44,1.44,1.44,1.44,70000
2001-02-06,1.42,1.42,1.42,1.42,10000
2001-02-07,1.44,1.44,1.44,1.44,5000
2001-02-08,1.44,1.44,1.44,1.44,5000
2001-02-12,1.44,1.44,1.44,1.44,5000
2001-02-13,1.42,1.42,1.42,1.42,15000
2001-02-15,1.42,1.42,1.42,1.42,5000
2001-02-16,1.42,1.42,1.42,1.42,10000
2001-02-19,1.42,1.42,1.42,1.42,100000
2001-02-20,1.42,1.42,1.42,1.42,50000
2001-02-21,1.42,1.42,1.42,1.42,40000
2001-02-22,1.42,1.42,1.42,1.42,50000
2001-02-26,1.42,1.42,1.42,1.42,60000
2001-02-27,1.42,1.42,1.42,1.42,50000
2001-02-28,1.42,1.42,1.42,1.42,20000
2001-03-01,1.42,1.42,1.4,1.4,30000
2001-03-02,1.42,1.42,1.42,1.42,70000
2001-03-05,1.42,1.42,1.42,1.42,80000
2001-03-07,1.42,1.42,1.42,1.42,75000
2001-03-08,1.42,1.42,1.42,1.42,1000
2001-03-09,1.42,1.42,1.42,1.42,25000
2001-03-12,1.42,1.42,1.42,1.42,15000
2001-03-13,1.42,1.42,1.42,1.42,9000
2001-03-15,1.42,1.42,1.42,1.42,10000
2001-03-20,1.4,1.4,1.38,1.4,76000
2001-03-21,1.38,1.38,1.38,1.38,5000
2001-03-26,1.4,1.4,1.4,1.4,4000
2001-04-02,1.38,1.38,1.38,1.38,50000
2001-04-05,1.4,1.4,1.4,1.4,6000
2001-04-23,1.4,1.4,1.4,1.4,10000
2001-04-25,1.4,1.4,1.4,1.4,10000
2001-04-26,1.4,1.4,1.4,1.4,10000
2001-04-27,1.4,1.4,1.38,1.4,50000
2001-05-03,1.42,1.42,1.42,1.42,20000
2001-05-04,1.42,1.42,1.42,1.42,10000
2001-05-09,1.42,1.42,1.42,1.42,10000
2001-05-11,1.42,1.42,1.42,1.42,20000
2001-05-15,1.44,1.44,1.44,1.44,20000
2001-05-18,1.46,1.46,1.46,1.46,10000
2001-05-22,1.44,1.44,1.44,1.44,5000
2001-05-25,1.44,1.44,1.44,1.44,5000
2001-05-29,1.44,1.44,1.44,1.44,5000
2001-06-04,1.44,1.44,1.44,1.44,10000
2001-07-02,1.44,1.44,1.44,1.44,20000
2001-07-06,1.44,1.44,1.44,1.44,10000
2001-07-16,1.44,1.44,1.44,1.44,10000
2001-07-23,1.44,1.44,1.44,1.44,10000
2001-07-26,1.44,1.44,1.44,1.44,60000
2001-07-27,1.44,1.44,1.44,1.44,75000
2001-08-02,1.46,1.46,1.46,1.46,10000
2001-08-08,1.46,1.46,1.46,1.46,10000
2001-08-31,1.44,1.44,1.44,1.44,5000
2001-09-21,1.42,1.42,1.42,1.42,5000
2001-10-08,1.4,1.4,1.4,1.4,20000
2001-12-07,1.4,1.4,1.4,1.4,20000
2002-01-03,1.38,1.38,1.38,1.38,70000
2002-01-04,1.38,1.4,1.38,1.4,30000
2002-01-21,1.4,1.4,1.4,1.4,10000
2002-01-23,1.4,1.4,1.4,1.4,10000
2002-02-04,1.42,1.42,1.42,1.42,10000
2002-02-05,1.42,1.42,1.42,1.42,10000
2002-02-13,1.42,1.42,1.42,1.42,10000
2002-02-15,1.42,1.42,1.42,1.42,10000
2002-02-18,1.42,1.42,1.42,1.42,10000
2002-02-19,1.42,1.42,1.42,1.42,10000
2002-02-20,1.44,1.44,1.44,1.44,10000
2002-02-21,1.44,1.44,1.44,1.44,10000
2002-02-22,1.44,1.44,1.44,1.44,10000
2002-02-26,1.44,1.44,1.44,1.44,10000
2002-02-27,1.44,1.44,1.44,1.44,10000
2002-02-28,1.44,1.44,1.44,1.44,10000
2002-03-01,1.44,1.44,1.44,1.44,10000
2002-03-04,1.44,1.44,1.44,1.44,8000
2002-03-05,1.44,1.44,1.44,1.44,8000
