date,open,high,low,close,volume
1999-03-08,0.9,0.9,0.9,0.9,40000
1999-03-22,0.7,0.7,0.7,0.7,10000
1999-04-29,0.72,0.72,0.72,0.72,20000
1999-05-05,0.72,0.72,0.72,0.72,30000
1999-05-12,0.74,0.74,0.74,0.74,70000
1999-06-03,0.78,0.78,0.78,0.78,50000
1999-06-07,0.78,0.78,0.78,0.78,100000
1999-06-08,0.79,0.79,0.79,0.79,50000
1999-06-09,0.8,0.8,0.8,0.8,50000
1999-06-16,0.82,0.82,0.82,0.82,20000
1999-06-18,0.85,0.85,0.85,0.85,20000
1999-06-22,0.87,0.87,0.87,0.87,10000
1999-06-24,0.89,0.89,0.89,0.89,20000
1999-07-01,0.89,0.89,0.89,0.89,10000
1999-07-06,0.85,0.85,0.85,0.85,50000
1999-07-07,0.85,0.88,0.85,0.88,20000
1999-07-08,0.89,0.9,0.89,0.9,20000
1999-07-14,0.9,0.9,0.9,0.9,10000
1999-07-16,0.9,0.9,0.9,0.9,60000
1999-07-19,0.9,0.9,0.9,0.9,30000
1999-07-20,0.9,0.9,0.9,0.9,50000
1999-07-21,0.91,0.91,0.91,0.91,50000
1999-07-22,0.91,0.91,0.91,0.91,50000
1999-08-20,0.95,0.95,0.95,0.95,20000
1999-10-13,0.8,0.8,0.8,0.8,10000
1999-12-29,0.9,0.9,0.9,0.9,50000
2000-01-12,0.8,0.8,0.8,0.8,50000
2000-01-13,0.8,0.8,0.8,0.8,10000
2000-01-24,0.7,0.7,0.7,0.7,160000
2000-01-27,0.7,0.7,0.7,0.7,100000
2000-02-01,0.6,0.6,0.6,0.6,50000
2000-02-04,0.68,0.68,0.68,0.68,20000
2000-02-07,0.68,0.68,0.68,0.68,30000
2000-02-10,0.63,0.63,0.63,0.63,50000
2000-02-14,0.64,0.64,0.64,0.64,20000
2000-06-01,0.64,0.64,0.64,0.64,20000
2000-06-07,0.95,0.95,0.95,0.95,30000
2000-06-14,0.65,0.65,0.65,0.65,90000
2000-07-27,0.65,0.65,0.65,0.65,40000
2000-10-16,0.6,0.6,0.6,0.6,20000
2000-10-19,0.6,0.6,0.6,0.6,50000
2001-01-24,0.6,0.6,0.6,0.6,40000
2001-02-09,0.6,0.6,0.6,0.6,30000
2001-03-09,0.6,0.6,0.6,0.6,10000
2001-03-21,0.6,0.6,0.6,0.6,60000
2001-03-22,0.6,0.6,0.6,0.6,60000
2001-03-28,0.6,0.6,0.6,0.6,50000
2001-06-08,0.5,0.5,0.5,0.5,50000
2001-06-29,0.5,0.5,0.5,0.5,20000
2001-07-13,0.4,0.4,0.4,0.4,50000
2001-07-16,0.38,0.38,0.38,0.38,670000
2001-07-17,0.38,0.4,0.38,0.4,2810000
2002-03-14,0.55,0.55,0.55,0.55,10000
2002-04-26,0.7,0.7,0.7,0.7,10000
2002-10-01,0.7,0.7,0.7,0.7,40000
2002-10-04,0.9,0.9,0.9,0.9,10000
2002-10-11,0.9,0.9,0.9,0.9,10000
2002-10-21,0.7,0.7,0.7,0.7,30000
2003-03-10,0.7,0.7,0.7,0.7,10000
2003-06-02,0.55,0.55,0.55,0.55,10000
2003-07-01,0.55,0.55,0.55,0.55,10000
2003-07-03,0.55,0.55,0.55,0.55,30000
2003-07-09,0.56,0.56,0.56,0.56,70000
2003-07-11,0.56,0.56,0.56,0.56,80000
2003-09-25,0.41,0.55,0.41,0.55,60000
2003-10-21,0.42,0.42,0.42,0.42,20000
2003-11-04,0.42,0.42,0.42,0.42,100000
