date,open,high,low,close,volume
2000-10-25,2.24,2.24,2.24,2.24,30000
2001-01-24,1.36,1.36,1.36,1.36,40000
2001-07-19,0.9,0.9,0.9,0.9,100000
2001-07-27,0.6,0.6,0.6,0.6,100000
2001-08-03,0.4,0.4,0.4,0.4,1000000
2001-08-09,0.4,0.4,0.4,0.4,1000000
2003-06-20,0.4,0.4,0.4,0.4,100000
2003-07-01,0.41,0.41,0.41,0.41,10000
2003-12-09,0.41,0.41,0.41,0.41,20000
2003-12-30,0.4,0.4,0.4,0.4,20000
2004-02-18,0.4,0.4,0.4,0.4,50000
2004-08-18,0.35,0.35,0.35,0.35,20000
2004-10-18,0.35,0.35,0.35,0.35,30000
2005-02-21,0.52,0.52,0.52,0.52,50000
2005-03-04,0.78,0.78,0.78,0.78,10000
2005-05-12,0.7,0.7,0.7,0.7,50000
2005-06-02,0.6,0.6,0.6,0.6,50000
2005-06-16,0.7,0.7,0.7,0.7,50000
2005-07-11,0.7,0.7,0.7,0.7,100000
2005-07-21,0.7,0.7,0.7,0.7,300000
2005-08-02,0.45,0.45,0.45,0.45,90000
2005-10-11,0.65,0.67,0.65,0.67,20000
2005-11-03,0.67,0.67,0.67,0.67,10000
2005-11-09,0.67,0.67,0.67,0.67,30000
2005-11-21,0.67,0.68,0.67,0.68,90000
2005-11-24,0.75,0.75,0.75,0.75,10000
2005-11-29,0.75,0.75,0.75,0.75,50000
2005-12-02,0.75,0.75,0.75,0.75,40000
2006-01-16,0.78,0.78,0.78,0.78,20000
2006-02-13,0.85,0.85,0.85,0.85,20000
2006-02-16,0.88,0.88,0.88,0.88,210000
2006-02-17,0.88,0.88,0.88,0.88,190000
2006-03-06,0.95,0.95,0.95,0.95,20000
2006-03-08,0.88,0.88,0.88,0.88,50000
2006-03-09,0.88,0.88,0.88,0.88,50000
2006-03-16,0.95,0.95,0.95,0.95,50000
2006-03-27,1.0,1.0,1.0,1.0,20000
2006-03-28,1.0,1.0,1.0,1.0,30000
2006-04-10,1.0,1.0,0.96,0.96,160000
2006-04-21,0.96,0.96,0.96,0.96,30000
2006-04-24,0.96,0.96,0.96,0.96,20000
2006-05-03,1.0,1.0,1.0,1.0,200000
2006-05-04,1.0,1.2,1.0,1.2,220000
2006-05-05,1.12,1.2,1.08,1.18,645000
2006-05-18,1.04,1.1,1.04,1.1,256000
2006-05-24,1.04,1.04,1.04,1.04,298000
2006-05-25,1.04,1.04,1.04,1.04,280000
2006-05-29,1.04,1.04,1.04,1.04,2000
2006-05-30,1.0,1.0,1.0,1.0,30000
2006-06-08,1.06,1.06,1.06,1.06,40000
