date,open,high,low,close,volume
2018-04-30,101.0,101.0,100.3,100.3,29410
2018-05-02,100.3,101.0,100.3,101.0,590
2018-05-03,101.0,101.0,101.0,101.0,30000
2018-05-04,101.3,101.4,101.3,101.4,8890
2018-05-07,101.0,101.0,100.5,100.9,5230
2018-05-08,100.9,101.2,100.6,101.2,77350
2018-05-09,101.2,101.2,100.3,100.3,50640
2018-05-10,100.4,101.0,100.4,101.0,730
2018-05-11,100.9,101.2,100.8,100.8,60010
2018-05-15,100.8,100.8,100.3,100.3,10000
2018-05-16,101.2,101.2,100.3,100.3,12080
2018-05-17,101.0,101.0,101.0,101.0,42170
2018-05-18,101.0,101.2,100.7,101.2,39200
2018-05-21,101.0,101.0,101.0,101.0,8100
2018-05-22,101.0,101.0,100.3,100.3,20040
2018-05-23,101.0,101.3,101.0,101.0,7500
2018-05-24,101.0,101.0,100.5,100.5,7620
2018-05-25,101.0,101.0,101.0,101.0,50900
2018-05-28,100.5,101.0,100.5,100.5,2580
2018-05-29,101.0,101.0,100.7,100.7,174000
2018-05-30,101.3,101.3,100.6,100.6,19100
2018-05-31,100.5,101.0,100.5,101.0,180
2018-06-01,100.5,100.5,100.5,100.5,250
2018-06-04,101.0,101.0,100.5,100.5,10250
2018-06-05,101.0,101.0,101.0,101.0,25730
2018-06-06,101.3,101.3,101.0,101.0,7030
2018-06-07,101.0,101.0,100.7,100.7,40
2018-06-08,101.0,101.0,101.0,101.0,30
2018-06-11,100.7,100.7,100.7,100.7,870
2018-06-13,101.0,101.0,101.0,101.0,40350
2018-06-18,100.5,100.5,100.5,100.5,500
2018-06-19,101.0,101.0,101.0,101.0,3020
2018-06-20,101.0,101.0,101.0,101.0,38240
2018-06-21,101.3,101.3,101.0,101.2,44010
2018-06-22,101.0,101.2,101.0,101.2,12270
2018-06-25,101.2,101.2,101.0,101.2,8580
2018-06-26,101.2,101.2,101.0,101.1,33210
2018-06-27,101.3,101.6,101.3,101.6,32720
2018-06-28,100.8,100.8,100.2,100.7,13480
