date,open,high,low,close,volume
2000-05-29,8.8,8.8,8.8,8.8,2000
2000-05-31,8.0,10.0,8.0,10.0,14000
2000-10-30,10.0,10.0,9.4,9.6,42000
2000-10-31,9.1,9.5,9.0,9.5,13000
2000-11-06,9.5,9.9,9.5,9.7,49000
2000-11-08,9.6,9.6,9.5,9.5,3000
2000-11-09,8.8,9.4,8.0,9.4,10000
2000-11-10,9.0,9.2,9.0,9.2,2000
2000-11-13,9.5,9.6,9.5,9.6,3000
2000-11-22,9.2,9.5,8.9,9.4,15000
2000-11-28,7.5,9.3,7.5,8.9,7000
2000-12-04,9.1,9.1,9.1,9.1,3000
2000-12-06,9.1,9.1,9.1,9.1,1000
2000-12-20,7.2,8.8,7.2,8.8,2000
2000-12-29,8.8,10.25,8.8,10.25,18000
2001-01-04,7.5,10.0,7.5,10.0,14000
2001-01-05,9.0,9.3,7.7,9.3,5000
2001-01-22,9.9,9.9,9.9,9.9,2000
2001-01-23,8.2,9.6,8.2,9.6,3000
2001-01-26,9.7,10.0,9.7,9.8,2440000
2001-01-29,9.7,9.7,9.7,9.7,5000
2001-01-30,9.7,10.0,9.7,10.0,422000
2001-02-07,7.9,8.4,7.9,8.4,12000
2001-02-09,9.7,9.7,9.7,9.7,1000
2001-02-14,10.0,11.0,10.0,11.0,6000
2001-02-22,8.6,8.6,8.6,8.6,3000
2001-02-23,10.0,10.0,10.0,10.0,1000
2001-03-16,9.0,9.0,9.0,9.0,2000
2001-03-27,6.0,8.0,6.0,8.0,2000
2001-04-06,8.6,8.6,8.6,8.6,2000
2001-04-11,9.6,9.6,9.3,9.3,4000
2001-05-29,8.8,8.8,8.8,8.8,2000
2001-05-31,8.0,10.0,8.0,10.0,14000
2001-06-01,8.0,8.0,8.0,8.0,1000
2001-06-05,8.0,9.3,8.0,9.3,5000
2001-06-07,7.9,8.9,7.9,8.9,2000
2001-06-08,8.3,8.3,7.9,7.9,3000
2001-06-13,7.9,7.9,7.9,7.9,2000
2001-06-21,7.5,7.5,7.5,7.5,1000
2001-06-26,7.0,7.0,7.0,7.0,1000
2001-06-28,6.8,6.8,6.8,6.8,1000
2001-06-29,7.9,7.9,7.9,7.9,1000
2001-07-09,8.8,8.8,8.8,8.8,1000
2001-07-10,7.5,7.5,7.5,7.5,1000
2001-07-13,8.5,8.8,8.5,8.8,4000
2001-07-19,6.5,8.3,6.5,8.3,3000
2001-07-23,6.6,7.1,6.6,7.1,3000
2001-07-24,6.6,6.6,6.6,6.6,1000
2001-07-30,6.3,6.3,6.3,6.3,1000
2001-08-14,6.0,6.0,6.0,6.0,1000
2001-08-24,5.5,5.5,5.5,5.5,1000
2001-08-28,5.0,5.0,5.0,5.0,2000
2001-09-03,6.7,6.7,6.7,6.7,1000
2001-09-25,8.5,8.5,8.5,8.5,15000
2001-11-22,5.2,7.3,5.1,7.3,3000
2001-11-26,5.0,5.0,4.8,4.8,3000
2001-11-27,6.7,6.7,6.7,6.7,1000
2001-12-11,5.1,6.0,4.05,6.0,20000
2001-12-19,6.0,6.0,6.0,6.0,1000
2001-12-27,4.05,7.2,3.7,7.2,339000
2001-12-28,4.8,6.2,4.8,6.1,43000
2002-01-04,4.8,4.8,4.8,4.8,7000
2002-01-07,4.75,4.75,4.7,4.7,2000
2002-01-09,5.3,5.3,5.3,5.3,1000
2002-01-10,4.55,4.55,4.5,4.5,3000
2002-01-11,4.85,4.85,4.85,4.85,2000
2002-01-16,4.2,4.2,4.2,4.2,1000
2002-01-28,4.0,4.0,4.0,4.0,1000
2002-01-31,4.1,4.4,4.1,4.4,4000
2002-02-01,4.0,4.0,4.0,4.0,2000
2002-02-04,4.0,4.0,4.0,4.0,2000
2002-02-19,4.0,4.55,4.0,4.55,3000
2002-02-20,4.1,4.1,4.0,4.0,3000
2002-03-05,3.9,3.9,3.9,3.9,1000
2002-03-14,3.6,3.6,3.6,3.6,2000
2002-03-18,3.5,3.5,3.5,3.5,1000
2002-03-20,3.75,3.75,3.75,3.75,6000
2002-03-21,3.5,3.5,3.5,3.5,6000
2002-04-09,3.5,3.5,3.5,3.5,1000
2002-07-17,3.5,3.5,3.5,3.5,110000
2002-11-15,2.1,2.1,2.1,2.1,1000
2002-11-19,2.1,2.1,2.1,2.1,1000
2002-11-25,2.1,2.1,2.1,2.1,2000
2002-11-26,3.0,3.0,3.0,3.0,1000
2002-11-28,3.0,3.0,3.0,3.0,1000
2002-12-27,3.5,4.0,3.5,3.95,1835000
2003-04-11,3.75,3.75,3.75,3.75,20000
2003-04-14,4.0,4.0,4.0,4.0,21000
2003-04-16,3.8,4.0,3.8,4.0,11000
2003-04-22,4.0,4.0,4.0,4.0,10000
2003-05-05,3.8,4.05,3.8,4.05,33000
2003-05-07,3.95,4.0,3.95,4.0,20000
2003-05-09,3.1,3.1,3.1,3.1,4000
2003-05-14,3.9,3.9,3.9,3.9,1000
2003-06-03,3.0,3.0,3.0,3.0,30000
2003-06-04,3.0,3.6,2.9,3.6,11000
2003-06-05,2.9,2.9,2.9,2.9,5000
2003-06-26,2.5,3.6,2.5,3.6,677000
2003-06-27,3.6,3.6,3.6,3.6,1000
2003-06-30,2.5,2.5,2.5,2.5,5000
2003-07-01,2.5,2.5,2.5,2.5,20000
2003-07-03,2.5,2.5,2.5,2.5,40000
2003-07-08,2.24,2.24,2.1,2.12,75000
2003-07-17,2.12,2.12,2.1,2.1,66000
2003-07-23,3.0,3.0,2.2,2.2,10000
2003-08-27,2.3,2.3,2.3,2.3,1000
2003-08-29,1.8,1.8,1.8,1.8,1000
2003-09-01,2.2,2.2,2.2,2.2,1000
2003-09-02,2.2,2.2,2.2,2.2,1000
2003-09-03,2.0,2.0,2.0,2.0,7000
2003-09-22,2.5,2.5,2.5,2.5,2000
2003-09-24,2.0,2.0,2.0,2.0,5000
2003-09-26,2.5,2.5,2.5,2.5,1000
2003-10-28,2.95,2.95,2.95,2.95,1000
2003-10-31,3.0,3.0,3.0,3.0,3000
2003-11-06,2.02,2.02,2.0,2.0,25000
2003-11-07,2.0,2.0,2.0,2.0,1000
2003-11-10,2.0,2.0,2.0,2.0,100000
2003-11-11,2.0,2.0,2.0,2.0,18000
2003-11-12,2.0,2.0,1.98,2.0,93000
2003-11-14,2.0,2.0,2.0,2.0,20000
2003-12-05,2.0,2.0,2.0,2.0,2000
2003-12-12,2.0,2.0,2.0,2.0,12000
2003-12-17,2.0,2.0,2.0,2.0,10000
2003-12-23,2.0,2.0,2.0,2.0,5000
2004-01-05,2.0,2.0,2.0,2.0,10000
2004-01-06,1.98,1.98,1.98,1.98,9000
2004-01-23,2.0,2.0,2.0,2.0,60000
2004-02-18,2.0,2.0,2.0,2.0,50000
2004-03-17,2.0,2.0,2.0,2.0,21000
2004-03-24,2.0,2.0,2.0,2.0,5000
2004-04-06,3.0,3.0,3.0,3.0,5000
2004-06-03,4.0,4.0,4.0,4.0,1000
2004-06-14,3.0,3.0,3.0,3.0,5000
2004-06-17,3.5,3.5,3.5,3.5,1000
2004-09-27,5.0,5.0,5.0,5.0,1000
2005-01-13,3.0,3.95,3.0,3.95,14000
2005-01-18,3.75,3.75,3.75,3.75,9000
2005-02-14,5.0,5.0,5.0,5.0,1000
2005-06-03,3.0,3.0,3.0,3.0,1000
2005-12-29,4.0,4.0,4.0,4.0,1000
2006-08-23,3.5,3.5,3.5,3.5,2000
2006-10-26,2.1,2.1,2.1,2.1,20000
2006-10-27,3.0,3.0,3.0,3.0,2000
2006-10-30,2.0,2.0,2.0,2.0,10000
2006-10-31,3.0,3.0,3.0,3.0,7000
2006-11-07,3.8,3.8,3.8,3.8,2000
2006-11-24,2.3,2.3,2.3,2.3,8000
2007-01-30,2.1,2.5,2.1,2.5,1089000
2007-01-31,2.5,2.5,2.5,2.5,13000
2007-02-01,2.55,2.55,2.5,2.5,15000
2007-02-02,2.55,2.55,2.5,2.5,37000
2007-02-07,2.5,2.5,2.5,2.5,20000
2007-02-15,2.7,2.7,2.7,2.7,5000
2007-02-26,2.3,3.0,2.3,3.0,3000
2007-02-27,3.0,3.25,3.0,3.25,49000
2007-02-28,3.25,3.25,3.25,3.25,10000
2007-03-01,3.3,3.35,3.3,3.35,20000
2007-03-02,3.35,4.0,3.35,4.0,246000
2007-03-05,4.25,5.4,4.2,5.2,471000
2007-03-06,5.2,5.2,4.2,4.5,103000
2007-03-07,4.5,4.8,4.0,4.3,179000
2007-03-08,4.0,4.1,4.0,4.1,79000
2007-03-09,4.0,4.0,3.8,3.8,62000
2007-03-13,4.0,4.0,4.0,4.0,9000
