date,open,high,low,close,volume
2018-05-03,10.2,10.2,10.2,10.2,2490
2018-05-07,10.1,10.1,10.1,10.1,7500
2018-05-10,10.2,10.2,10.14,10.14,6510
2018-05-15,10.14,10.14,10.0,10.0,13410
2018-05-16,10.0,10.0,10.0,10.0,21690
2018-05-17,10.14,10.14,10.0,10.0,6300
2018-05-18,10.0,10.0,10.0,10.0,1870
2018-05-21,10.0,10.0,10.0,10.0,9200
2018-05-22,10.0,10.0,10.0,10.0,5000
2018-05-23,10.18,10.2,10.1,10.1,5900
2018-05-24,10.1,10.1,10.1,10.1,8000
2018-05-29,10.2,10.2,10.0,10.0,2000
2018-05-30,10.0,10.0,10.0,10.0,6730
2018-05-31,10.2,10.2,10.2,10.2,2930
2018-06-01,10.14,10.2,10.0,10.2,7890
2018-06-05,10.0,10.0,10.0,10.0,580
2018-06-07,10.2,10.2,10.0,10.0,9500
2018-06-08,10.0,10.0,10.0,10.0,10310
2018-06-11,10.0,10.0,10.0,10.0,1100
2018-06-13,10.0,10.1,10.0,10.1,4590
2018-06-14,10.1,10.1,10.1,10.1,5000
2018-06-19,10.1,10.2,10.1,10.2,4910
2018-06-20,10.2,10.2,10.2,10.2,18760
2018-06-21,10.2,10.2,10.2,10.2,2460
2018-06-26,10.1,10.1,10.1,10.1,790
2018-06-27,10.0,10.1,10.0,10.1,6500
2018-06-28,10.1,10.1,10.1,10.1,2640
2018-06-29,10.1,10.1,10.1,10.1,3050
2018-07-02,10.1,10.1,10.1,10.1,3940
2018-07-03,10.1,10.1,10.1,10.1,390
2018-07-04,10.1,10.1,10.1,10.1,1500
2018-07-05,10.1,10.1,10.1,10.1,2450
2018-07-06,10.1,10.1,10.1,10.1,5000
2018-07-13,10.1,10.1,10.1,10.1,2770
2018-07-16,10.1,10.1,10.1,10.1,9870
2018-07-18,10.1,10.1,10.1,10.1,10530
2018-07-19,10.1,10.2,10.0,10.1,12110
2018-07-20,10.1,10.18,10.1,10.18,3240
2018-07-24,10.1,10.18,10.0,10.0,16050
2018-07-25,10.1,10.1,10.0,10.0,4470
2018-07-27,10.1,10.1,10.1,10.1,1830
2018-08-02,10.18,10.18,10.18,10.18,5100
2018-08-08,10.1,10.1,10.1,10.1,10000
2018-08-09,10.18,10.18,10.1,10.1,40270
2018-08-10,10.18,10.18,10.18,10.18,8610
2018-08-14,10.16,10.2,10.16,10.2,25370
2018-08-15,10.2,10.2,10.2,10.2,11090
2018-08-16,10.32,10.32,10.32,10.32,3050
2018-08-17,10.2,10.2,10.2,10.2,3500
2018-08-22,10.3,10.3,10.3,10.3,9000
2018-08-29,10.3,10.3,10.3,10.3,17900
2018-09-04,10.3,10.3,10.24,10.28,4040
2018-09-05,10.28,10.28,10.28,10.28,400
2018-09-06,10.14,10.14,10.14,10.14,5050
2018-09-07,10.1,10.1,10.1,10.1,30800
2018-09-10,10.02,10.02,10.0,10.0,2500
2018-09-11,10.1,10.1,10.1,10.1,22220
2018-09-12,10.1,10.1,10.1,10.1,8930
2018-09-17,10.08,10.08,10.08,10.08,12000
2018-09-18,10.08,10.08,10.04,10.08,18110
2018-09-26,10.4,10.5,10.12,10.12,21000
2018-09-28,10.14,10.14,10.1,10.1,5000
2018-10-02,10.1,10.1,10.1,10.1,2860
2018-10-03,10.08,10.08,10.08,10.08,1000
2018-10-04,10.08,10.08,10.08,10.08,21840
2018-10-05,10.1,10.1,10.1,10.1,5050
2018-10-09,10.08,10.08,10.0,10.0,8400
2018-10-10,10.0,10.0,10.0,10.0,3500
2018-10-11,10.0,10.0,10.0,10.0,4950
2018-10-16,10.0,10.0,10.0,10.0,1010
