date,open,high,low,close,volume
2013-06-10,30.0,30.0,26.55,27.2,5783600
2013-06-11,27.25,28.6,26.4,26.6,1838900
2013-06-13,26.4,26.4,25.4,25.6,5397700
2013-06-14,26.0,26.9,25.9,26.4,688400
2013-06-17,26.4,26.45,25.95,26.0,2873600
2013-06-18,26.0,26.2,25.7,25.8,173900
2013-06-19,25.8,25.8,25.0,25.0,907300
2013-06-20,25.0,25.0,23.0,23.8,1352700
2013-06-21,23.0,24.8,22.3,23.0,1933800
2013-06-24,23.0,23.95,22.9,23.0,165800
2013-06-25,23.0,23.85,20.0,23.0,1422900
2013-06-26,22.2,23.7,22.2,23.0,449100
2013-06-27,23.4,23.45,23.3,23.35,27400
2013-06-28,23.35,24.75,23.35,24.0,1018200
2013-07-01,24.0,25.0,23.9,25.0,95600
2013-07-02,25.0,25.6,25.0,25.35,3018000
2013-07-03,25.1,26.15,25.1,26.0,1692000
2013-07-04,26.0,26.5,25.8,26.0,696700
2013-07-05,26.5,26.55,26.45,26.5,210600
2013-07-08,26.0,26.25,26.0,26.1,154600
2013-07-09,26.1,26.1,26.0,26.0,1449100
2013-07-10,26.0,26.3,26.0,26.0,1364900
2013-07-11,26.4,27.0,26.4,27.0,549400
2013-07-12,27.0,27.0,26.5,26.5,989300
2013-07-15,26.6,26.6,26.3,26.5,90600
2013-07-16,27.0,27.0,26.5,26.5,712500
2013-07-17,26.0,26.5,26.0,26.5,151500
2013-07-18,26.7,26.7,26.5,26.5,946600
2013-07-19,27.0,27.05,26.8,26.8,172600
2013-07-22,27.0,27.0,26.8,26.8,173300
2013-07-23,26.8,27.0,26.0,27.0,688600
2013-07-24,26.95,27.05,26.95,27.05,31800
2013-07-25,27.0,29.0,27.0,28.2,673900
2013-07-26,28.2,29.9,28.2,29.0,755600
2013-07-29,29.7,30.25,28.55,28.9,664500
2013-07-30,28.5,28.85,27.8,28.85,52700
2013-07-31,28.5,28.5,27.5,27.5,508500
2013-08-01,28.0,29.0,28.0,28.5,333100
2013-08-02,28.2,28.5,28.0,28.0,52200
2013-08-05,28.8,28.8,28.45,28.45,2900
2013-08-06,27.6,29.95,27.5,29.95,113200
2013-08-07,29.5,29.5,28.5,28.9,107300
2013-08-08,28.8,29.0,28.8,28.9,181000
2013-08-12,28.0,29.0,28.0,28.65,140200
2013-08-13,29.15,29.5,28.65,29.0,2127500
2013-08-14,29.3,30.0,29.3,29.8,802300
2013-08-15,29.75,29.75,29.4,29.5,644200
2013-08-16,29.2,29.2,28.0,29.2,322000
2013-08-22,28.0,28.6,27.5,28.5,192200
2013-08-23,28.0,28.5,28.0,28.35,854200
2013-08-27,27.5,28.0,26.5,26.5,600
2013-08-28,26.7,26.7,25.0,26.5,2123900
2013-08-29,26.5,29.0,26.5,27.5,247100
2013-08-30,27.5,27.5,27.0,27.0,864500
2013-09-02,27.5,27.5,27.5,27.5,3000
2013-09-03,27.5,27.5,27.5,27.5,58600
2013-09-04,27.5,27.95,27.5,27.95,4300
2013-09-05,28.0,28.0,26.5,27.0,48000
2013-09-06,27.0,27.0,26.95,27.0,50800
2013-09-10,27.0,27.0,27.0,27.0,1400
2013-09-11,26.5,27.0,26.0,26.5,380400
2013-09-12,26.5,26.5,25.8,25.8,403400
2013-09-13,26.0,26.0,26.0,26.0,117500
2013-09-16,26.0,26.0,25.75,25.75,1325800
2013-09-17,26.0,26.25,26.0,26.0,790400
2013-09-18,26.5,26.5,26.5,26.5,2700
2013-09-19,28.0,28.1,27.5,28.0,281600
2013-09-20,28.0,28.1,28.0,28.0,132200
2013-09-23,27.6,28.0,27.6,28.0,94800
2013-09-24,28.0,28.0,26.5,26.5,154600
2013-09-25,27.0,27.0,26.8,27.0,9700
2013-09-26,27.0,27.5,26.5,27.0,65200
2013-09-27,27.0,27.8,26.0,27.8,7900
2013-09-30,26.2,26.2,26.0,26.0,30000
2013-10-01,26.5,27.15,26.15,26.15,3200
2013-10-02,26.95,27.1,26.1,27.1,13100
2013-10-03,26.95,27.5,26.95,27.1,178500
2013-10-07,27.1,27.1,27.0,27.0,26600
2013-10-08,27.0,27.0,27.0,27.0,2394400
2013-10-09,27.0,27.0,27.0,27.0,60500
2013-10-11,30.05,39.5,29.95,30.0,3459000
2013-10-14,31.8,33.9,30.3,33.45,1788200
2013-10-16,33.5,33.5,32.2,32.85,562100
2013-10-17,32.85,33.0,32.25,32.5,235400
2013-10-18,32.95,33.4,32.5,32.85,1691000
2013-10-21,33.0,33.0,32.65,32.65,190700
2013-10-22,32.65,32.8,31.0,31.5,84000
2013-10-23,31.5,32.0,31.5,31.9,98500
2013-10-24,32.05,32.05,30.95,31.0,137400
2013-10-25,31.5,31.5,30.4,30.4,54500
