date,open,high,low,close,volume
1999-02-04,1.42,1.42,1.4,1.4,850000
1999-02-05,1.38,1.38,1.38,1.38,1495000
1999-02-08,1.38,1.38,1.38,1.38,1495000
1999-02-09,1.38,1.38,1.38,1.38,1495000
1999-02-10,1.38,1.38,1.38,1.38,1495000
1999-02-11,1.38,1.38,1.38,1.38,1495000
1999-02-12,1.3,1.3,1.3,1.3,119000
1999-02-15,1.26,1.32,1.26,1.32,22000
1999-02-16,1.28,1.3,1.28,1.3,151000
1999-02-17,1.3,1.3,1.3,1.3,50000
1999-02-18,1.28,1.32,1.28,1.3,310000
1999-02-19,1.28,1.28,1.26,1.26,722000
1999-02-22,1.26,1.26,1.24,1.24,460000
1999-02-23,1.26,1.26,1.26,1.26,60000
1999-02-24,1.24,1.24,1.24,1.24,73000
1999-02-25,1.24,1.24,1.22,1.22,1305000
1999-02-26,1.26,1.26,1.24,1.24,281000
1999-03-02,1.24,1.24,1.24,1.24,118000
1999-03-03,1.26,1.28,1.26,1.28,46000
1999-03-05,1.28,1.28,1.24,1.24,128000
1999-03-08,1.24,1.24,1.24,1.24,7000
1999-03-09,1.22,1.22,1.2,1.2,830000
1999-03-10,1.18,1.2,1.16,1.2,440000
1999-03-11,1.14,1.18,1.1,1.12,1264000
1999-03-12,1.12,1.12,1.12,1.12,141000
1999-03-15,1.1,1.1,1.1,1.1,20000
1999-03-16,1.12,1.12,1.1,1.12,568000
1999-03-17,1.14,1.18,1.12,1.12,1868000
1999-03-18,1.14,1.18,1.14,1.18,1325000
1999-03-19,1.26,1.26,1.2,1.22,1104000
1999-03-22,1.2,1.28,1.2,1.28,1099000
1999-03-23,1.3,1.3,1.28,1.28,1348000
1999-03-24,1.28,1.3,1.28,1.28,530000
1999-03-25,1.28,1.28,1.24,1.24,72000
1999-03-26,1.22,1.26,1.2,1.26,570000
1999-03-29,1.24,1.28,1.24,1.28,625000
1999-03-30,1.28,1.28,1.28,1.28,360000
1999-03-31,1.28,1.28,1.28,1.28,580000
1999-04-05,1.28,1.28,1.28,1.28,518000
1999-04-06,1.3,1.32,1.3,1.32,1069000
1999-04-07,1.3,1.38,1.3,1.38,2780000
1999-04-08,1.42,1.46,1.38,1.4,7721000
1999-04-12,1.44,1.46,1.42,1.42,2207000
1999-04-13,1.44,1.44,1.36,1.38,936000
1999-04-14,1.38,1.38,1.34,1.34,559000
1999-04-15,1.34,1.36,1.32,1.32,981000
1999-04-16,1.32,1.38,1.32,1.36,1460000
1999-04-19,1.38,1.42,1.38,1.4,1698000
1999-04-20,1.4,1.42,1.38,1.38,1195000
1999-04-21,1.36,1.36,1.34,1.36,240000
1999-04-22,1.36,1.36,1.36,1.36,400000
1999-04-23,1.36,1.42,1.36,1.4,2285000
1999-04-26,1.36,1.38,1.36,1.38,360000
1999-04-27,1.4,1.4,1.38,1.4,739000
1999-04-28,1.4,1.46,1.4,1.44,4049000
1999-04-29,1.48,1.52,1.4,1.44,6387000
1999-04-30,1.44,1.54,1.44,1.52,8847000
1999-05-03,1.54,1.72,1.54,1.64,10342000
1999-05-04,1.72,1.8,1.68,1.78,24767000
1999-05-05,1.8,1.84,1.74,1.78,9003000
1999-05-06,1.78,1.8,1.74,1.74,3422000
1999-05-07,1.74,1.82,1.74,1.74,8094000
1999-05-10,1.7,1.78,1.7,1.72,6393000
1999-05-11,1.72,1.72,1.66,1.66,3006000
1999-05-12,1.66,1.66,1.58,1.62,4011000
1999-05-13,1.64,1.64,1.6,1.62,1577000
1999-05-14,1.64,1.7,1.64,1.66,1381000
1999-05-17,1.6,1.62,1.54,1.56,2250000
1999-05-18,1.56,1.58,1.54,1.56,204000
1999-05-19,1.58,1.58,1.56,1.56,847000
1999-05-20,1.56,1.56,1.52,1.54,317000
1999-05-21,1.56,1.58,1.54,1.56,651000
1999-05-24,1.56,1.56,1.54,1.56,265000
1999-05-25,1.54,1.58,1.54,1.56,448000
1999-05-26,1.56,1.56,1.54,1.56,362000
1999-05-27,1.6,1.64,1.6,1.6,2050000
1999-05-28,1.58,1.58,1.56,1.56,1003000
1999-05-31,1.56,1.56,1.56,1.56,256000
1999-06-01,1.56,1.58,1.56,1.56,1297000
1999-06-02,1.58,1.6,1.58,1.58,465000
1999-06-03,1.6,1.6,1.54,1.54,837000
1999-06-04,1.54,1.54,1.54,1.54,750000
