date,open,high,low,close,volume
2008-01-16,0.36,0.37,0.36,0.37,400590000
2008-01-17,0.39,0.39,0.3,0.33,1900000
2008-01-18,0.33,0.33,0.33,0.33,70000
2008-01-22,0.28,0.28,0.28,0.28,120000
2008-01-23,0.28,0.3,0.28,0.3,350000
2008-01-24,0.3,0.3,0.3,0.3,430000
2008-01-25,0.31,0.32,0.31,0.32,360000
2008-01-28,0.33,0.39,0.33,0.35,12900000
2008-01-29,0.37,0.39,0.36,0.36,12320000
2008-01-30,0.37,0.37,0.33,0.33,5400000
2008-01-31,0.33,0.33,0.33,0.33,400000
2008-02-01,0.34,0.34,0.33,0.33,2920000
2008-02-04,0.33,0.38,0.33,0.38,15200000
2008-02-05,0.36,0.42,0.35,0.38,59780000
2008-02-06,0.35,0.37,0.35,0.37,3440000
2008-02-07,0.37,0.47,0.37,0.44,73500000
2008-02-08,0.47,0.48,0.4,0.42,29860000
2008-02-11,0.39,0.42,0.39,0.4,290000
2008-02-12,0.4,0.4,0.39,0.39,630000
2008-02-13,0.39,0.39,0.39,0.39,450000
2008-02-14,0.39,0.4,0.38,0.4,6850000
2008-02-15,0.4,0.4,0.4,0.4,50000
2008-02-19,0.39,0.42,0.39,0.42,3330000
2008-02-20,0.43,0.53,0.43,0.52,83440000
2008-02-21,0.53,0.53,0.52,0.53,3010000
2008-02-22,0.53,0.53,0.48,0.49,1720000
2008-02-26,0.5,0.5,0.5,0.5,5020000
2008-02-27,0.5,0.59,0.5,0.59,40070000
2008-02-28,0.6,0.61,0.48,0.48,48290000
2008-02-29,0.48,0.51,0.42,0.43,101530000
2008-03-03,0.41,0.43,0.4,0.41,11110000
2008-03-04,0.4,0.42,0.4,0.41,10940000
2008-03-05,0.4,0.41,0.39,0.4,9470000
2008-03-06,0.4,0.4,0.37,0.37,9300000
2008-03-07,0.37,0.37,0.36,0.37,2210000
2008-03-10,0.34,0.34,0.33,0.33,2620000
2008-03-11,0.33,0.34,0.33,0.33,4530000
2008-03-12,0.35,0.35,0.33,0.33,4130000
2008-03-13,0.32,0.34,0.32,0.33,1380000
2008-03-14,0.34,0.34,0.33,0.33,820000
2008-03-17,0.33,0.33,0.29,0.3,4020000
2008-03-18,0.29,0.3,0.29,0.3,400000
2008-03-19,0.31,0.31,0.31,0.31,140000
2008-03-24,0.3,0.31,0.3,0.31,280000
