date,open,high,low,close,volume
1999-04-12,1.3,1.3,1.3,1.3,441000
1999-05-04,1.3,1.32,1.3,1.32,72000
1999-05-10,1.3,1.3,1.3,1.3,6000
1999-05-12,1.3,1.3,1.3,1.3,54000
1999-05-13,1.3,1.3,1.3,1.3,50000
1999-05-14,1.3,1.3,1.3,1.3,65000
1999-05-21,1.3,1.3,1.3,1.3,50000
1999-05-24,1.3,1.3,1.3,1.3,6000
1999-05-27,1.2,1.2,1.2,1.2,100000
1999-05-28,1.2,1.2,1.2,1.2,200000
1999-05-31,1.2,1.2,1.2,1.2,20000
1999-06-14,1.2,1.2,1.2,1.2,320000
1999-06-15,1.2,1.2,1.2,1.2,200000
1999-06-16,1.2,1.2,1.2,1.2,56000
1999-06-17,1.3,1.3,1.3,1.3,29000
1999-06-21,1.3,1.3,1.3,1.3,100000
1999-06-28,1.3,1.3,1.3,1.3,100000
1999-07-02,1.7,1.7,1.7,1.7,94000
1999-07-06,1.7,1.72,1.7,1.72,287000
1999-07-07,1.72,1.72,1.72,1.72,75000
1999-07-12,1.72,1.72,1.5,1.5,225000
1999-07-26,1.5,1.5,1.5,1.5,100000
1999-07-30,1.6,1.6,1.6,1.6,70000
1999-08-02,1.5,1.5,1.5,1.5,120000
1999-08-04,1.5,1.5,1.3,1.3,120000
1999-08-09,1.5,1.5,1.5,1.5,500000
1999-08-12,1.5,1.5,1.5,1.5,594000
1999-08-13,1.5,1.5,1.5,1.5,150000
1999-08-16,1.5,1.5,1.5,1.5,5000
1999-08-25,1.4,1.5,1.3,1.5,400000
1999-08-26,1.5,1.6,1.5,1.6,296000
1999-09-07,1.5,1.5,1.5,1.5,300000
1999-09-09,1.3,1.3,1.3,1.3,100000
1999-09-23,1.3,1.3,1.3,1.3,34000
2000-01-11,1.3,1.3,1.3,1.3,3000
2000-02-10,1.3,1.3,1.3,1.3,1000
2000-02-11,1.24,1.24,1.24,1.24,50000
2000-02-14,1.3,1.3,1.3,1.3,50000
2000-02-16,1.3,1.3,1.3,1.3,50000
2000-04-04,1.24,1.24,1.24,1.24,50000
2000-04-24,1.24,1.24,1.24,1.24,50000
2000-05-25,1.3,1.3,1.3,1.3,8000
2000-08-02,1.1,1.2,1.0,1.0,167000
2000-08-09,1.3,1.3,1.3,1.3,20000
2000-08-10,1.3,1.3,1.3,1.3,1692000
2000-08-15,1.3,1.3,1.3,1.3,100000
2000-08-16,1.3,1.3,1.3,1.3,120000
2000-08-21,1.3,1.3,1.3,1.3,176000
2000-08-24,1.3,1.3,1.3,1.3,100000
2000-09-08,1.3,1.3,1.3,1.3,260000
2000-09-12,1.3,1.3,1.3,1.3,227000
2000-09-21,1.3,1.3,1.3,1.3,40000
2000-09-28,1.3,1.3,1.3,1.3,120000
2000-10-03,1.3,1.3,1.3,1.3,130000
2000-10-04,1.3,1.3,1.3,1.3,3203000
2000-10-09,1.3,1.3,1.3,1.3,277000
2000-11-17,0.78,0.78,0.78,0.78,669000
2000-11-21,0.5,0.5,0.47,0.47,500000
2000-11-23,0.4,0.4,0.29,0.29,1160000
2000-11-24,0.25,0.33,0.25,0.33,40000
2000-11-28,0.31,0.31,0.31,0.31,50000
2000-11-29,0.31,0.31,0.3,0.3,5580000
2000-12-05,0.3,0.3,0.3,0.3,3510000
2000-12-07,0.32,0.32,0.32,0.32,150000
2000-12-11,0.32,0.32,0.32,0.32,20000
2000-12-22,0.33,0.33,0.33,0.33,40000
2000-12-26,0.34,0.34,0.34,0.34,20000
2001-01-04,0.33,0.33,0.33,0.33,20000
2001-01-05,0.33,0.33,0.33,0.33,80000
2001-01-08,0.33,0.33,0.33,0.33,10000
