date,open,high,low,close,volume
1999-05-13,0.8,0.8,0.8,0.8,20000
1999-05-31,0.9,0.9,0.8,0.8,100000
1999-06-02,0.9,0.9,0.9,0.9,50000
1999-06-03,0.8,0.8,0.8,0.8,40000
1999-06-09,1.12,1.12,0.7,0.7,40000
1999-06-14,0.71,0.71,0.7,0.7,60000
1999-06-16,0.7,0.7,0.7,0.7,150000
1999-06-17,0.73,0.73,0.72,0.72,100000
1999-06-22,0.72,0.72,0.72,0.72,60000
1999-07-01,0.85,0.85,0.85,0.85,20000
1999-07-05,1.0,1.2,1.0,1.2,70000
1999-07-06,1.4,1.8,1.38,1.64,578000
1999-07-07,1.82,2.3,1.76,2.0,285000
1999-07-08,2.04,2.04,1.88,1.88,245000
1999-07-09,1.58,1.58,1.58,1.58,20000
1999-07-12,1.8,1.8,1.8,1.8,10000
1999-07-13,1.6,1.64,1.6,1.64,75000
1999-07-14,1.5,1.5,1.5,1.5,30000
1999-07-15,1.5,1.5,1.5,1.5,250000
1999-07-16,1.8,1.8,1.8,1.8,60000
1999-07-19,1.8,1.8,1.8,1.8,210000
1999-07-20,1.68,1.7,1.68,1.7,103000
1999-07-21,1.8,1.8,1.66,1.66,149000
1999-07-22,1.68,1.68,1.66,1.66,101000
1999-07-23,1.5,1.6,1.5,1.5,90000
1999-07-26,1.5,1.5,1.5,1.5,53000
1999-07-27,1.5,1.5,1.5,1.5,6000
1999-07-28,1.5,1.5,1.5,1.5,70000
1999-07-29,1.5,1.78,1.5,1.78,171000
1999-07-30,1.7,2.02,1.7,1.8,473000
1999-08-02,1.9,1.9,1.88,1.9,105000
1999-08-04,1.98,2.24,1.98,1.98,606000
1999-08-05,2.2,2.2,2.0,2.0,100000
1999-08-06,1.94,1.94,1.88,1.88,52000
1999-08-09,1.6,1.6,1.6,1.6,50000
1999-08-10,1.6,1.8,1.6,1.8,88000
1999-08-11,1.7,1.7,1.7,1.7,20000
1999-08-13,1.6,1.6,1.6,1.6,5000
1999-08-17,1.6,1.6,1.6,1.6,130000
1999-08-31,1.52,1.52,1.5,1.5,83000
1999-09-08,1.5,1.5,1.5,1.5,20000
1999-09-09,2.0,2.0,2.0,2.0,1000
1999-09-10,2.0,2.0,2.0,2.0,10000
1999-09-13,2.0,2.46,2.0,2.2,602000
1999-09-14,2.1,2.1,2.06,2.1,120000
1999-09-17,2.1,2.14,2.0,2.12,55000
1999-09-24,2.1,2.12,2.1,2.12,20000
1999-09-27,1.72,1.74,1.72,1.74,25000
1999-09-29,2.0,2.2,2.0,2.18,4865000
1999-09-30,2.0,2.0,2.0,2.0,50000
1999-10-01,2.1,2.36,2.1,2.14,186000
1999-10-04,2.3,2.46,2.2,2.32,365000
1999-10-05,2.46,2.75,2.3,2.3,728000
1999-10-06,2.5,2.5,2.2,2.2,58000
1999-10-07,2.12,2.4,2.12,2.4,66000
1999-10-11,2.02,2.02,2.02,2.02,100000
1999-10-12,2.02,2.02,1.9,1.9,285000
1999-10-13,1.8,1.8,1.7,1.74,190000
1999-10-14,2.3,2.3,1.62,1.62,18000
1999-10-15,1.62,1.62,1.62,1.62,12000
1999-10-18,1.6,1.6,1.6,1.6,60000
1999-10-19,1.8,1.8,1.8,1.8,45000
1999-10-25,1.62,1.62,1.5,1.5,100000
1999-10-26,1.52,1.52,1.52,1.52,40000
1999-10-27,1.78,1.8,1.78,1.8,21000
1999-11-05,1.5,1.5,1.5,1.5,50000
1999-11-08,1.5,1.5,1.5,1.5,10000
1999-11-18,1.5,1.5,1.5,1.5,8000
1999-11-19,1.6,1.8,1.6,1.8,15000
1999-11-24,1.8,1.8,1.8,1.8,20000
1999-11-25,1.96,1.96,1.96,1.96,15000
1999-12-14,2.0,2.0,2.0,2.0,35000
2000-01-04,2.08,2.08,1.4,1.4,20000
2000-01-07,1.94,1.94,1.94,1.94,2000
2000-01-28,1.32,1.7,1.3,1.7,25000
2000-02-02,1.32,1.32,1.32,1.32,10000
2000-02-04,1.32,1.32,1.32,1.32,20000
2000-02-10,1.92,1.92,1.92,1.92,1000
2000-02-11,1.7,1.7,1.7,1.7,5000
2000-02-17,1.7,1.86,1.7,1.86,20000
2000-02-21,1.4,1.76,1.4,1.76,51000
2000-02-22,1.6,1.6,1.6,1.6,10000
2000-02-29,1.4,1.6,1.2,1.6,44000
2000-03-06,1.6,1.6,1.6,1.6,10000
2000-03-21,1.1,1.68,1.1,1.68,50000
2000-03-22,1.6,1.78,1.6,1.68,118000
2000-03-23,1.66,1.72,1.66,1.66,50000
2000-03-24,1.4,1.4,1.4,1.4,10000
2000-03-28,1.4,1.4,1.4,1.4,29000
2000-03-30,1.6,1.6,1.6,1.6,5000
2000-04-03,1.4,1.4,1.4,1.4,10000
2000-06-16,1.3,1.3,1.3,1.3,35000
2000-07-06,1.5,1.5,1.3,1.3,40000
2000-07-10,1.1,1.1,1.1,1.1,55000
2000-07-19,1.48,1.48,1.48,1.48,2000
2000-07-28,0.9,1.2,0.9,1.0,84000
2000-08-15,1.4,1.4,1.4,1.4,10000
2000-09-13,0.85,0.9,0.85,0.85,80000
2000-09-20,1.0,1.0,1.0,1.0,10000
2000-09-29,0.8,0.8,0.8,0.8,60000
2000-10-04,0.71,0.8,0.71,0.8,20000
2000-10-19,0.51,1.18,0.51,1.16,50000
2000-10-20,0.74,0.74,0.74,0.74,5000
2000-10-24,0.74,0.74,0.74,0.74,20000
2001-01-24,0.94,0.94,0.94,0.94,20000
2001-02-26,0.94,0.94,0.94,0.94,10000
2001-03-01,0.8,0.8,0.8,0.8,60000
2001-07-16,0.89,0.89,0.89,0.89,10000
2001-08-21,0.89,0.89,0.89,0.89,30000
2001-08-31,0.62,0.62,0.62,0.62,10000
2002-01-31,0.4,0.4,0.4,0.4,10000
2002-02-04,0.44,0.44,0.44,0.44,20000
2002-02-26,0.66,0.66,0.66,0.66,10000
2002-03-06,0.43,0.45,0.43,0.45,20000
