date,open,high,low,close,volume
1999-02-04,17.5,17.75,17.5,17.75,62600
1999-02-05,17.75,17.75,17.75,17.75,6200
1999-02-08,17.75,17.75,17.75,17.75,6200
1999-02-09,17.75,17.75,17.75,17.75,6200
1999-02-10,17.75,17.75,17.75,17.75,6200
1999-02-11,17.75,17.75,17.75,17.75,6200
1999-02-12,17.0,17.0,17.0,17.0,8600
1999-02-15,16.75,17.0,16.75,17.0,13200
1999-02-16,17.5,17.5,17.0,17.0,800
1999-02-17,17.25,17.25,17.0,17.0,17300
1999-02-18,17.0,17.0,17.0,17.0,25000
1999-02-19,17.25,17.25,17.25,17.25,6000
1999-02-22,17.25,17.25,17.25,17.25,14400
1999-02-23,17.5,17.5,17.25,17.25,9600
1999-02-24,17.5,17.5,17.5,17.5,18700
1999-02-25,17.5,18.5,17.5,17.75,86800
1999-02-26,17.75,18.0,17.75,18.0,55600
1999-03-01,17.75,17.75,17.5,17.5,56900
1999-03-02,17.75,17.75,17.5,17.5,5800
1999-03-03,17.5,18.25,17.5,18.0,124400
1999-03-04,18.25,18.75,18.25,18.5,156200
1999-03-05,18.25,18.25,18.25,18.25,21000
1999-03-08,18.5,19.25,18.5,19.0,146400
1999-03-09,18.75,19.25,18.75,19.25,153900
1999-03-10,19.0,19.0,19.0,19.0,62300
1999-03-11,18.75,19.0,18.75,19.0,41100
1999-03-12,19.0,19.5,19.0,19.5,29700
1999-03-15,19.0,19.25,19.0,19.25,61000
1999-03-16,19.5,19.5,19.5,19.5,287600
1999-03-18,20.5,21.5,20.5,21.5,263600
1999-03-22,21.0,21.5,21.0,21.5,121300
1999-03-23,21.5,22.25,21.5,21.75,431900
1999-03-24,21.75,22.25,21.75,22.0,136000
1999-03-25,22.0,22.75,22.0,22.25,249900
1999-03-26,22.0,22.75,22.0,22.5,103000
1999-03-29,22.5,22.5,22.25,22.5,98700
1999-03-30,22.5,22.75,22.5,22.75,33900
1999-03-31,22.75,22.75,22.5,22.75,103300
1999-04-05,22.75,23.25,22.75,23.0,92000
1999-04-06,23.25,23.5,23.25,23.5,192900
1999-04-07,23.5,23.5,23.5,23.5,98900
1999-04-08,23.75,23.75,23.5,23.75,129200
1999-04-12,24.0,25.0,24.0,25.0,262700
1999-04-13,25.5,25.5,25.5,25.5,99000
1999-04-14,25.5,25.5,25.5,25.5,55000
1999-04-15,25.5,26.5,25.5,25.5,509000
1999-04-16,25.5,26.0,25.5,26.0,63600
1999-04-19,26.0,26.5,26.0,26.0,77300
1999-04-20,26.0,27.0,26.0,26.0,260600
1999-04-21,26.0,26.0,25.5,26.0,195400
1999-04-22,26.5,26.5,26.0,26.5,527700
1999-04-23,27.0,27.5,27.0,27.0,429300
1999-04-26,27.0,27.0,27.0,27.0,182000
1999-04-27,26.5,27.0,26.0,26.0,110200
1999-04-28,27.0,27.5,26.5,27.0,265200
1999-04-29,27.5,28.0,27.0,28.0,154000
1999-04-30,28.0,31.5,28.0,30.0,459600
1999-05-07,31.5,31.5,31.0,31.0,182000
1999-05-10,31.5,33.5,31.5,33.0,574800
1999-05-11,33.5,36.5,33.5,35.0,906100
1999-05-12,35.5,38.5,35.5,38.0,769800
1999-05-13,38.0,40.0,37.5,38.0,659400
1999-05-14,39.0,41.0,39.0,41.0,1280800
1999-05-17,41.0,41.0,39.0,40.0,709300
1999-05-18,39.5,39.5,38.5,39.0,161600
1999-05-19,38.5,39.0,37.0,37.0,339200
1999-05-20,37.0,37.0,35.0,36.0,165500
1999-05-21,36.0,36.5,34.5,35.0,122700
1999-05-24,35.0,36.0,33.5,36.0,116500
1999-05-25,36.0,36.0,34.5,35.0,85200
1999-05-26,34.5,36.0,34.5,35.5,267600
1999-05-27,37.0,38.5,36.5,38.5,497500
1999-05-28,39.0,41.5,39.0,41.0,1559700
1999-05-31,41.5,42.5,41.0,41.5,466900
1999-06-01,42.0,44.0,42.0,43.5,666400
1999-06-02,43.5,43.5,43.0,43.0,760100
1999-06-03,43.0,43.0,42.0,42.5,622400
