date,open,high,low,close,volume
2000-05-24,0.3,0.3,0.3,0.3,130000
2000-05-31,0.3,0.3,0.3,0.3,100000
2001-01-22,0.34,0.34,0.34,0.34,200000
2001-01-26,0.25,0.34,0.25,0.34,680000
2001-01-29,0.33,0.34,0.33,0.34,300000
2001-02-01,0.34,0.34,0.34,0.34,430000
2001-02-05,0.35,0.35,0.35,0.35,20000
2001-02-06,0.35,0.35,0.35,0.35,110000
2001-02-07,0.33,0.33,0.33,0.33,140000
2001-02-08,0.33,0.33,0.33,0.33,100000
2001-02-09,0.33,0.33,0.33,0.33,100000
2001-02-13,0.33,0.33,0.33,0.33,20000
2001-02-15,0.3,0.3,0.3,0.3,220000
2001-02-16,0.3,0.3,0.3,0.3,30000
2001-02-19,0.3,0.3,0.3,0.3,50000
2001-03-15,0.3,0.3,0.3,0.3,1000000
2001-03-20,0.3,0.3,0.3,0.3,30000
2001-03-30,0.3,0.3,0.3,0.3,790000
2001-04-19,0.42,0.42,0.42,0.42,10000
2001-04-20,0.3,0.3,0.3,0.3,30000
2001-05-04,0.3,0.3,0.3,0.3,10000
2001-05-15,0.3,0.3,0.3,0.3,130000
2001-05-17,0.3,0.3,0.3,0.3,10000
2001-05-24,0.3,0.3,0.3,0.3,130000
2001-05-25,0.3,0.3,0.3,0.3,10000
2001-05-31,0.3,0.3,0.3,0.3,100000
2001-06-15,0.3,0.3,0.3,0.3,60000
2001-06-20,0.25,0.3,0.25,0.3,240000
2001-07-06,0.3,0.3,0.3,0.3,200000
2001-07-12,0.3,0.3,0.3,0.3,50000
2001-07-13,0.3,0.3,0.3,0.3,150000
2001-07-16,0.3,0.3,0.3,0.3,120000
2001-07-30,0.29,0.29,0.29,0.29,50000
2001-08-01,0.29,0.29,0.29,0.29,8480000
2001-08-07,0.26,0.29,0.26,0.29,590000
2001-08-27,0.25,0.28,0.25,0.28,110000
2001-09-06,0.25,0.25,0.25,0.25,100000
2001-09-07,0.2,0.2,0.2,0.2,130000
2001-09-10,0.22,0.22,0.21,0.22,100000
2001-09-11,0.24,0.24,0.22,0.22,510000
2001-09-13,0.22,0.22,0.2,0.2,210000
2001-09-14,0.28,0.3,0.2,0.2,380000
2001-09-17,0.18,0.18,0.18,0.18,100000
2001-09-24,0.25,0.25,0.18,0.22,200000
2001-09-25,0.23,0.24,0.23,0.24,20000
2001-09-28,0.2,0.2,0.2,0.2,30000
2001-10-02,0.17,0.17,0.17,0.17,10000
2001-10-03,0.15,0.15,0.15,0.15,80000
2001-10-05,0.12,0.12,0.12,0.12,90000
2001-10-08,0.12,0.135,0.12,0.135,50000
2001-10-26,0.12,0.12,0.12,0.12,20000
2001-10-29,0.12,0.12,0.12,0.12,60000
2001-11-08,0.105,0.105,0.1,0.1,500000
2001-11-16,0.11,0.11,0.11,0.11,100000
2001-11-19,0.11,0.11,0.11,0.11,100000
2001-12-05,0.11,0.12,0.11,0.12,280000
2001-12-06,0.12,0.12,0.12,0.12,100000
2001-12-19,0.12,0.12,0.12,0.12,100000
2002-01-04,0.13,0.13,0.13,0.13,20000
2002-01-09,0.13,0.13,0.13,0.13,80000
2002-01-10,0.12,0.12,0.12,0.12,200000
2002-01-18,0.13,0.13,0.13,0.13,20000
2002-01-22,0.12,0.12,0.12,0.12,280000
2002-01-23,0.12,0.12,0.12,0.12,150000
2002-01-24,0.13,0.13,0.13,0.13,40000
2002-01-30,0.12,0.12,0.12,0.12,330000
2002-02-04,0.12,0.12,0.12,0.12,10000
2002-02-13,0.16,0.16,0.16,0.16,100000
2002-02-15,0.16,0.16,0.16,0.16,200000
2002-02-18,0.18,0.18,0.18,0.18,10000
2002-03-04,0.18,0.18,0.18,0.18,100000
2002-03-05,0.18,0.18,0.18,0.18,120000
2002-03-06,0.16,0.16,0.16,0.16,90000
2002-03-25,0.16,0.16,0.16,0.16,2680000
2002-04-02,0.12,0.12,0.12,0.12,270000
2002-04-04,0.12,0.12,0.12,0.12,150000
2002-04-15,0.12,0.12,0.12,0.12,150000
2002-04-18,0.1,0.12,0.1,0.12,170000
2002-04-19,0.12,0.12,0.12,0.12,50000
2002-04-22,0.105,0.105,0.105,0.105,10000
2002-05-02,0.09,0.09,0.09,0.09,100000
2002-05-27,0.11,0.135,0.11,0.135,600000
2002-05-30,0.135,0.135,0.135,0.135,10000
2002-06-03,0.135,0.16,0.135,0.16,510000
2002-06-04,0.16,0.16,0.16,0.16,200000
2002-06-14,0.15,0.22,0.15,0.22,80000
2002-06-18,0.16,0.22,0.16,0.22,230000
2002-06-19,0.16,0.16,0.16,0.16,50000
2002-07-09,0.1,0.1,0.1,0.1,420000
2002-07-25,0.09,0.09,0.09,0.09,300000
2002-08-22,0.09,0.09,0.09,0.09,100000
2002-08-26,0.09,0.09,0.09,0.09,100000
2002-09-02,0.13,0.13,0.13,0.13,100000
2002-09-03,0.195,0.195,0.195,0.195,100000
2002-09-04,0.2,0.25,0.2,0.25,440000
2002-09-05,0.26,0.26,0.25,0.25,120000
2002-09-06,0.24,0.24,0.24,0.24,100000
2002-09-10,0.24,0.26,0.24,0.24,180000
2002-09-11,0.25,0.28,0.25,0.28,1030000
2002-12-05,0.17,0.17,0.17,0.17,200000
2002-12-13,0.15,0.17,0.115,0.115,270000
2002-12-16,0.12,0.12,0.12,0.12,30000
2002-12-17,0.12,0.12,0.12,0.12,220000
2002-12-23,0.105,0.105,0.105,0.105,500000
2003-01-09,0.09,0.09,0.09,0.09,360000
2003-03-10,0.08,0.08,0.08,0.08,200000
2003-03-11,0.08,0.08,0.08,0.08,200000
2003-04-08,0.12,0.12,0.12,0.12,300000
2003-04-15,0.16,0.16,0.16,0.16,230000
2003-04-25,0.14,0.15,0.14,0.15,250000
2003-04-30,0.16,0.16,0.16,0.16,70000
2003-05-08,0.16,0.16,0.16,0.16,170000
2003-05-13,0.14,0.14,0.14,0.14,210000
2003-05-30,0.18,0.18,0.18,0.18,20000
2003-06-04,0.15,0.15,0.15,0.15,40000
2003-06-17,0.16,0.16,0.16,0.16,200000
2003-06-25,0.15,0.15,0.15,0.15,10000
2003-06-27,0.14,0.14,0.14,0.14,20000
2003-06-30,0.15,0.15,0.15,0.15,20000
2003-07-01,0.15,0.15,0.15,0.15,30000
2003-07-02,0.16,0.16,0.16,0.16,1250000
2003-07-04,0.16,0.16,0.16,0.16,100000
2003-07-07,0.16,0.16,0.16,0.16,500000
2003-07-10,0.16,0.16,0.16,0.16,200000
2003-07-14,0.14,0.14,0.14,0.14,10000
2003-07-22,0.18,0.18,0.18,0.18,280000
2003-07-24,0.2,0.24,0.2,0.23,1750000
2003-07-25,0.3,0.3,0.24,0.24,150000
2003-07-28,0.21,0.21,0.21,0.21,100000
2003-07-31,0.29,0.29,0.29,0.29,10000
2003-08-04,0.19,0.19,0.19,0.19,40000
2003-08-05,0.28,0.28,0.28,0.28,50000
2003-08-07,0.28,0.29,0.28,0.29,380000
2003-08-08,0.26,0.26,0.24,0.24,40000
2003-08-13,0.26,0.26,0.26,0.26,100000
2003-09-16,0.24,0.24,0.24,0.24,100000
2003-09-17,0.25,0.25,0.25,0.25,100000
2003-09-23,0.23,0.23,0.23,0.23,100000
2003-10-24,0.22,0.235,0.22,0.235,450000
2003-11-17,0.2,0.2,0.2,0.2,20000
2003-12-01,0.21,0.21,0.21,0.21,80000
2003-12-03,0.21,0.21,0.21,0.21,70000
2003-12-04,0.19,0.21,0.19,0.21,160000
2003-12-08,0.195,0.2,0.195,0.2,30000
2003-12-09,0.175,0.175,0.175,0.175,10000
2003-12-11,0.18,0.18,0.18,0.18,200000
2003-12-30,0.18,0.18,0.18,0.18,200000
2004-01-06,0.18,0.18,0.18,0.18,100000
2004-01-07,0.18,0.18,0.18,0.18,50000
2004-01-12,0.16,0.16,0.16,0.16,400000
2004-01-16,0.16,0.16,0.16,0.16,10000
2004-03-22,0.15,0.15,0.15,0.15,30000
2004-03-25,0.14,0.14,0.14,0.14,100000
2004-04-05,0.16,0.16,0.16,0.16,10000
2004-08-11,0.2,0.2,0.2,0.2,90000
2004-08-27,0.2,0.2,0.2,0.2,130000
2004-08-31,0.2,0.2,0.2,0.2,200000
2004-09-10,0.18,0.18,0.18,0.18,160000
2004-09-15,0.16,0.16,0.16,0.16,100000
2004-09-16,0.16,0.16,0.16,0.16,120000
2004-09-23,0.16,0.16,0.16,0.16,200000
2004-09-24,0.16,0.16,0.16,0.16,150000
2004-09-27,0.16,0.16,0.16,0.16,160000
2004-09-28,0.16,0.16,0.16,0.16,10000
2004-09-29,0.16,0.16,0.16,0.16,110000
2004-09-30,0.16,0.16,0.16,0.16,100000
2004-10-01,0.16,0.16,0.16,0.16,10000
2004-10-05,0.16,0.16,0.16,0.16,150000
2004-10-07,0.16,0.17,0.16,0.17,460000
2004-10-08,0.16,0.17,0.16,0.17,220000
2004-10-19,0.15,0.15,0.15,0.15,40000
2004-10-20,0.15,0.15,0.15,0.15,20000
2004-10-28,0.15,0.15,0.15,0.15,1500000
2004-11-03,0.14,0.14,0.14,0.14,400000
2004-11-05,0.15,0.15,0.15,0.15,20000
2004-11-08,0.17,0.17,0.17,0.17,10000
2004-11-09,0.15,0.15,0.14,0.14,70000
2004-11-12,0.13,0.13,0.13,0.13,50000
2004-11-18,0.13,0.13,0.13,0.13,90000
2004-11-22,0.13,0.13,0.13,0.13,200000
2004-11-24,0.13,0.13,0.13,0.13,10000
2004-12-07,0.15,0.15,0.15,0.15,100000
2004-12-08,0.16,0.17,0.16,0.17,310000
2004-12-10,0.17,0.17,0.17,0.17,200000
2004-12-14,0.16,0.18,0.16,0.18,240000
2004-12-17,0.18,0.18,0.18,0.18,10000
2004-12-20,0.19,0.19,0.19,0.19,200000
2004-12-21,0.18,0.18,0.18,0.18,300000
2005-01-06,0.14,0.14,0.14,0.14,400000
2005-01-07,0.13,0.13,0.13,0.13,50000
2005-01-11,0.14,0.15,0.14,0.15,2800000
2005-01-12,0.15,0.15,0.15,0.15,500000
2005-01-18,0.14,0.14,0.14,0.14,1050000
2005-01-19,0.14,0.14,0.14,0.14,620000
2005-01-21,0.14,0.14,0.14,0.14,120000
2005-01-24,0.14,0.14,0.14,0.14,330000
2005-01-27,0.15,0.15,0.15,0.15,50000
2005-01-28,0.2,0.21,0.2,0.21,750000
2005-01-31,0.21,0.21,0.21,0.21,100000
2005-02-03,0.17,0.17,0.17,0.17,400000
2005-02-09,0.17,0.17,0.17,0.17,100000
2005-02-14,0.22,0.22,0.22,0.22,150000
2005-02-16,0.18,0.23,0.18,0.22,520000
2005-02-17,0.22,0.25,0.22,0.25,2380000
2005-02-18,0.25,0.35,0.25,0.27,1340000
2005-02-21,0.28,0.29,0.28,0.29,1450000
2005-02-22,0.26,0.26,0.25,0.25,250000
2005-02-23,0.24,0.24,0.24,0.24,50000
2005-02-24,0.25,0.25,0.25,0.25,60000
2005-02-28,0.27,0.32,0.27,0.32,1680000
2005-03-01,0.28,0.28,0.28,0.28,640000
2005-03-02,0.26,0.26,0.24,0.24,130000
2005-03-03,0.23,0.23,0.23,0.23,110000
2005-03-04,0.23,0.28,0.23,0.28,1930000
2005-03-07,0.27,0.27,0.26,0.26,250000
2005-03-08,0.3,0.3,0.26,0.26,840000
2005-03-09,0.28,0.28,0.27,0.27,410000
2005-03-10,0.27,0.3,0.27,0.27,920000
2005-03-11,0.26,0.26,0.26,0.26,110000
2005-03-14,0.26,0.26,0.26,0.26,100000
2005-03-15,0.27,0.3,0.27,0.28,800000
2005-03-17,0.25,0.3,0.25,0.26,610000
2005-03-18,0.3,0.3,0.3,0.3,10000
2005-03-28,0.23,0.29,0.23,0.29,40000
2005-03-29,0.24,0.24,0.24,0.24,140000
2005-03-30,0.23,0.23,0.23,0.23,350000
2005-03-31,0.28,0.28,0.23,0.23,250000
2005-04-05,0.22,0.22,0.22,0.22,70000
2005-04-07,0.22,0.27,0.21,0.27,140000
2005-04-13,0.21,0.21,0.21,0.21,20000
2005-04-15,0.21,0.21,0.21,0.21,100000
2005-04-27,0.19,0.19,0.19,0.19,150000
2005-04-28,0.16,0.16,0.16,0.16,100000
2005-04-29,0.24,0.24,0.24,0.24,20000
2005-05-09,0.16,0.16,0.16,0.16,570000
2005-05-10,0.17,0.17,0.17,0.17,100000
2005-05-11,0.17,0.17,0.17,0.17,420000
2005-05-12,0.16,0.16,0.16,0.16,100000
2005-05-13,0.16,0.16,0.16,0.16,250000
2005-05-16,0.15,0.15,0.15,0.15,500000
2005-05-19,0.15,0.15,0.14,0.14,700000
2005-05-20,0.14,0.14,0.13,0.13,700000
2005-05-23,0.14,0.14,0.14,0.14,300000
2005-05-24,0.145,0.15,0.14,0.15,340000
2005-05-26,0.15,0.15,0.15,0.15,250000
2005-05-30,0.16,0.16,0.16,0.16,100000
2005-05-31,0.165,0.17,0.165,0.17,200000
2005-06-02,0.17,0.17,0.17,0.17,550000
2005-06-03,0.17,0.17,0.17,0.17,100000
2005-06-06,0.18,0.18,0.18,0.18,200000
2005-06-10,0.155,0.155,0.155,0.155,100000
2005-06-14,0.14,0.15,0.13,0.15,510000
2005-06-15,0.14,0.14,0.14,0.14,50000
2005-06-17,0.14,0.14,0.14,0.14,400000
2005-06-21,0.13,0.13,0.13,0.13,1120000
2005-06-23,0.14,0.14,0.13,0.14,300000
2005-06-24,0.14,0.14,0.13,0.13,300000
2005-06-27,0.13,0.13,0.13,0.13,400000
