date,open,high,low,close,volume
2011-11-24,2.58,2.8,2.53,2.68,4904000
2011-11-25,2.7,2.75,2.55,2.75,3193000
2011-11-28,2.75,2.85,2.7,2.85,1623000
2011-11-29,2.85,2.88,2.8,2.8,869000
2011-12-01,2.82,2.82,2.71,2.75,192000
2011-12-02,2.75,2.78,2.64,2.64,486000
2011-12-05,2.64,2.74,2.6,2.64,794000
2011-12-06,2.62,2.62,2.6,2.6,104000
2011-12-07,2.59,2.59,2.24,2.27,679000
2011-12-08,2.3,2.39,2.29,2.39,132000
2011-12-09,2.33,2.36,2.28,2.28,198000
2011-12-12,2.28,2.28,2.25,2.25,169000
2011-12-13,2.25,2.32,2.25,2.32,54000
2011-12-14,2.35,2.36,2.35,2.35,86000
2011-12-15,2.36,2.36,2.24,2.24,404000
2011-12-16,2.24,2.25,2.24,2.25,56000
2011-12-19,2.4,2.4,2.32,2.4,161000
2011-12-20,2.32,2.32,2.32,2.32,25000
2011-12-21,2.3,2.3,2.3,2.3,12000
2011-12-22,2.3,2.3,2.3,2.3,167000
2011-12-23,2.3,2.4,2.3,2.4,25000
2011-12-26,2.28,2.4,2.28,2.39,17000
2011-12-27,2.39,2.39,2.39,2.39,10000
2011-12-28,2.3,2.3,2.29,2.29,41000
2011-12-29,2.3,2.49,2.3,2.47,367000
2012-01-02,2.35,2.35,2.35,2.35,105000
2012-01-03,2.35,2.35,2.35,2.35,30000
2012-01-04,2.35,2.35,2.34,2.34,14000
2012-01-05,2.33,2.4,2.3,2.4,34000
2012-01-06,2.33,2.33,2.32,2.32,132000
2012-01-09,2.32,2.32,2.32,2.32,9000
2012-01-10,2.39,2.39,2.32,2.33,17000
2012-01-11,2.33,2.33,2.32,2.33,27000
2012-01-12,2.33,2.39,2.3,2.32,84000
2012-01-13,2.32,2.32,2.28,2.28,85000
2012-01-16,2.29,2.29,2.29,2.29,40000
2012-01-17,2.35,2.45,2.33,2.35,179000
2012-01-18,2.34,2.35,2.34,2.35,15000
2012-01-19,2.32,2.35,2.32,2.35,40000
